Image,Similarity
tw,0.33385273814201355
ws,0.31214582920074463
dz,0.26944705843925476
tk,0.24991436302661896
cg,0.2426796853542328
wf,0.22736616432666779
cn,0.215894877910614
mc,0.21572402119636536
id,0.20656317472457886
sg,0.20151309669017792
hk,0.20030105113983154
nu,0.1887696534395218
lr,0.18791308999061584
al,0.18600407242774963
kg,0.18509338796138763
tr,0.18396182358264923
de,0.18146765232086182
li,0.1813097447156906
fi,0.18074879050254822
fo,0.18057896196842194
gb-eng,0.17722627520561218
ge,0.17541895806789398
tn,0.17541372776031494
es,0.17312398552894592
cm,0.17235130071640015
ma,0.17033246159553528
gl,0.1677393764257431
gg,0.16686441004276276
th,0.1662442535161972
tl,0.16224049031734467
mk,0.16221079230308533
jp,0.15938757359981537
im,0.15916162729263306
lk,0.15841957926750183
bm,0.15604856610298157
vn,0.15020212531089783
gi,0.1479739248752594
pr,0.14727404713630676
bt,0.14609698951244354
me,0.14453426003456116
am,0.14190316200256348
be,0.14100703597068787
ca,0.13844528794288635
sz,0.13766011595726013
kp,0.13727065920829773
va,0.13237082958221436
cr,0.12788361310958862
ua,0.12761397659778595
je,0.12589329481124878
ee,0.12576918303966522
lb,0.12385448068380356
ch,0.12222874164581299
cy,0.12206332385540009
qa,0.12107613682746887
bi,0.1193513572216034
gb-nir,0.11661002784967422
gb,0.11661002784967422
sh,0.11661002784967422
gd,0.11645980924367905
pe,0.11588572710752487
pf,0.1155238077044487
ug,0.11449632793664932
bj,0.1141248568892479
ht,0.11404731124639511
bh,0.11387401074171066
at,0.11270361393690109
tt,0.11095315217971802
bv,0.11035075783729553
no,0.11035075783729553
sj,0.11035075783729553
pt,0.10981781035661697
vi,0.10770788043737411
cl,0.10581494122743607
cz,0.103275366127491
zw,0.10050050914287567
bn,0.09652013331651688
ag,0.09439942985773087
bl,0.09034349769353867
fr,0.09034349769353867
gf,0.09034349769353867
gp,0.09034349769353867
mf,0.09034349769353867
mq,0.09034349769353867
nc,0.09034349769353867
pm,0.09034349769353867
re,0.09034349769353867
yt,0.09034349769353867
mz,0.09029335528612137
um,0.08887995779514313
us,0.08887995779514313
na,0.08432669937610626
kh,0.08334270864725113
ir,0.08292370289564133
gr,0.08127900213003159
ie,0.0804135724902153
sc,0.07651945948600769
md,0.07541876286268234
io,0.07374830543994904
cu,0.06775026768445969
pl,0.06680658459663391
sn,0.060535527765750885
cv,0.060039617121219635
gq,0.05739138275384903
td,0.05515465512871742
it,0.05462309718132019
ad,0.05369020253419876
ve,0.05364428833127022
rs,0.05310620740056038
ro,0.05269847810268402
ru,0.052458200603723526
mx,0.051703110337257385
er,0.05088430643081665
mm,0.04880569502711296
si,0.04818813502788544
mh,0.047914665192365646
ss,0.045423127710819244
dk,0.042271826416254044
cf,0.041015543043613434
ph,0.04055329039692879
ml,0.035973407328128815
do,0.03414797782897949
lc,0.032394975423812866
kn,0.029787642881274223
et,0.02969762682914734
to,0.029583964496850967
lv,0.025252988561987877
ke,0.02463483437895775
gb-sct,0.02461399883031845
bw,0.02243909239768982
lt,0.02222638577222824
gm,0.021688245236873627
sr,0.021451011300086975
kw,0.02132231369614601
af,0.021022407338023186
pg,0.01987375132739544
ec,0.018151089549064636
nf,0.013654345646500587
ng,0.013401268981397152
cd,0.01169657614082098
gt,0.010125977918505669
il,0.009854009374976158
vc,0.009106669574975967
sk,0.008743634447455406
mu,0.006650090217590332
cw,0.004869498312473297
bg,0.003868493251502514
aq,0.002537274733185768
as,0.001323420787230134
mw,-0.0005434369668364525
la,-0.0005746531533077359
tg,-0.00174740981310606
kr,-0.002061623614281416
fj,-0.0021683331578969955
ar,-0.003353055566549301
ci,-0.010718211531639099
ba,-0.014284517616033554
km,-0.015641827136278152
tj,-0.016240006312727928
gy,-0.01798645220696926
gb-wls,-0.019836757332086563
np,-0.019922323524951935
jo,-0.02060777135193348
fm,-0.026591094210743904
gn,-0.02920704334974289
sm,-0.030328959226608276
ki,-0.03382521867752075
hu,-0.03521322086453438
co,-0.03912964090704918
by,-0.04039856791496277
jm,-0.048133090138435364
rw,-0.05013439059257507
mv,-0.0538393035531044
mn,-0.05517454817891121
bb,-0.05606400594115257
hr,-0.057557933032512665
az,-0.058183494955301285
ao,-0.0590335875749588
bs,-0.059112995862960815
mt,-0.05928507819771767
ls,-0.059729427099227905
lu,-0.06558465957641602
bq,-0.0659792572259903
nl,-0.0659792572259903
om,-0.06850707530975342
uy,-0.06938599050045013
xk,-0.07016148418188095
aw,-0.07188595831394196
mp,-0.07500047981739044
mr,-0.07621830701828003
py,-0.0780019536614418
st,-0.07825324684381485
tf,-0.07866279035806656
ne,-0.07946941256523132
gh,-0.08062150329351425
pa,-0.08095930516719818
za,-0.08233936131000519
vu,-0.08245477080345154
bz,-0.0827917605638504
sd,-0.08533303439617157
eh,-0.09005303680896759
sy,-0.09017584472894669
eg,-0.09551695734262466
ga,-0.0966823622584343
ye,-0.09906793385744095
ly,-0.10061615705490112
so,-0.10372109711170197
iq,-0.10376063734292984
in,-0.10423128306865692
ps,-0.10584557056427002
bd,-0.10603537410497665
hn,-0.10722948610782623
ax,-0.10865296423435211
bo,-0.11191141605377197
dm,-0.11318644136190414
sv,-0.11320807784795761
sb,-0.11522984504699707
zm,-0.11702609807252884
ni,-0.12049736827611923
mg,-0.127019003033638
uz,-0.12925079464912415
br,-0.1307336688041687
eu,-0.1308547407388687
sl,-0.13936060667037964
bf,-0.1405818611383438
sx,-0.14061599969863892
is,-0.14071305096149445
pk,-0.15280243754386902
kz,-0.1548168808221817
gu,-0.1562272310256958
ae,-0.15629561245441437
tz,-0.1622043251991272
pw,-0.17260044813156128
nr,-0.1763613224029541
gw,-0.17861947417259216
tv,-0.1972370594739914
ck,-0.19959764182567596
cx,-0.200445756316185
mo,-0.2009212225675583
dj,-0.21808771789073944
fk,-0.22274565696716309
tm,-0.22285614907741547
ky,-0.23244743049144745
ai,-0.23291827738285065
se,-0.23336070775985718
pn,-0.24038410186767578
tc,-0.24520118534564972
cc,-0.246925488114357
gs,-0.24810072779655457
sa,-0.24983753263950348
vg,-0.2533283829689026
ms,-0.2550116777420044
au,-0.27219101786613464
hm,-0.27219101786613464
nz,-0.27860239148139954
