Image,Similarity
cd,0.4728482663631439
mh,0.2682225704193115
ss,0.2519350051879883
bd,0.2488318681716919
mw,0.2435724288225174
by,0.22391273081302643
sb,0.22042995691299438
ws,0.21644030511379242
do,0.2094109058380127
tz,0.20335505902767181
vu,0.19929157197475433
jm,0.19056838750839233
ke,0.18749186396598816
ao,0.1849852353334427
nr,0.18078649044036865
tw,0.1801406592130661
kh,0.17958419024944305
gu,0.1780814528465271
jo,0.17511576414108276
az,0.171684131026268
eh,0.16986070573329926
er,0.16974209249019623
bs,0.16791610419750214
cw,0.15812638401985168
de,0.1549910455942154
cc,0.15016338229179382
gy,0.14566096663475037
xk,0.144531711935997
qa,0.13958746194839478
ps,0.13547231256961823
gb-wls,0.13506585359573364
tk,0.13474416732788086
tm,0.1305994689464569
cx,0.12740251421928406
li,0.12603417038917542
tt,0.1251695454120636
bf,0.12382321059703827
mo,0.1233358234167099
eu,0.11952262371778488
sx,0.11868499219417572
mn,0.11785079538822174
sr,0.1157880648970604
sa,0.11536841094493866
gh,0.11493085324764252
st,0.11333861947059631
cv,0.11298047751188278
ls,0.1124550849199295
pk,0.11206919699907303
mg,0.10903705656528473
kp,0.10732828080654144
ly,0.10303991287946701
hn,0.09550133347511292
mu,0.09391925483942032
sv,0.09375719726085663
dm,0.09282825887203217
sz,0.08938919752836227
kz,0.08906902372837067
np,0.08780668675899506
bo,0.08746985346078873
ne,0.08551236987113953
my,0.08432669937610626
hr,0.08345595747232437
pg,0.08138175308704376
is,0.08112652599811554
ht,0.08086224645376205
uz,0.08035534620285034
rw,0.07623261213302612
za,0.07490371912717819
om,0.0740688368678093
zw,0.07368583977222443
ae,0.072541743516922
as,0.071135513484478
ni,0.0681990459561348
eg,0.06808623671531677
ph,0.06636287271976471
sd,0.06397734582424164
ga,0.05500797554850578
bz,0.05322207510471344
ye,0.05095859616994858
gm,0.04791760444641113
cr,0.04785270616412163
nz,0.04651490971446037
bm,0.04603610932826996
dj,0.04334775730967522
iq,0.04213633015751839
sc,0.04196782410144806
aq,0.04177261143922806
af,0.038946621119976044
sy,0.03770622983574867
ua,0.03723984211683273
mz,0.036727938801050186
tc,0.03584015369415283
au,0.03397121652960777
