Image,Similarity
in,0.8297995924949646
hu,0.8015980124473572
eg,0.7715096473693848
py,0.7699095010757446
bq,0.7381172180175781
nl,0.7381172180175781
ye,0.7331364154815674
lu,0.7260704040527344
tj,0.7189226746559143
sd,0.7056610584259033
iq,0.6963118314743042
bo,0.6864999532699585
eh,0.6555328965187073
sy,0.6299082636833191
ps,0.6199986934661865
hr,0.6041660904884338
gh,0.5763405561447144
at,0.551345705986023
sl,0.5200679302215576
ae,0.5152561664581299
ls,0.47131460905075073
uz,0.46763402223587036
jo,0.45662590861320496
pf,0.4343138337135315
gq,0.43123266100883484
sv,0.4245222806930542
gm,0.41976743936538696
by,0.416293203830719
hn,0.4091322124004364
ar,0.407900869846344
lb,0.3980889916419983
bf,0.3816761374473572
ir,0.3803865909576416
ni,0.3790225684642792
as,0.3739311397075653
gw,0.35799795389175415
mg,0.3548259735107422
lv,0.3456633985042572
kw,0.33631473779678345
sx,0.325973778963089
st,0.31582942605018616
id,0.2806577682495117
sg,0.27938711643218994
il,0.2672315835952759
bt,0.2592567205429077
es,0.2445654273033142
sc,0.24036893248558044
nu,0.23993651568889618
dj,0.23606222867965698
do,0.23303641378879547
mc,0.2326071858406067
dk,0.22566165030002594
bi,0.2232164442539215
mu,0.223139226436615
wf,0.21993164718151093
va,0.21492548286914825
km,0.19805940985679626
aq,0.19597432017326355
cy,0.190924271941185
vc,0.19082535803318024
je,0.19010548293590546
ki,0.19003236293792725
cf,0.18926367163658142
ba,0.18781453371047974
ml,0.1870223730802536
ch,0.18254056572914124
nf,0.18237067759037018
bn,0.18200595676898956
sm,0.18179811537265778
ie,0.17476968467235565
gn,0.16836321353912354
ss,0.16815316677093506
pa,0.16455072164535522
gb-sct,0.16431964933872223
lk,0.1585182547569275
hk,0.15462017059326172
mw,0.150932177901268
gb-wls,0.14926369488239288
kg,0.14912228286266327
gy,0.14454713463783264
za,0.1442730724811554
ng,0.14222414791584015
jm,0.1412653923034668
sn,0.1369476318359375
mt,0.13693217933177948
mk,0.1364346742630005
ec,0.13530270755290985
tl,0.13324496150016785
co,0.13051281869411469
md,0.1277909129858017
gr,0.12520629167556763
vu,0.12416180968284607
tn,0.12313002347946167
ro,0.11976494640111923
kr,0.11894635856151581
ga,0.11642122268676758
td,0.11637253314256668
ad,0.11316351592540741
ci,0.11115655303001404
gi,0.11000312864780426
gb-nir,0.10967597365379333
gb,0.10967597365379333
sh,0.10967597365379333
gt,0.10643883049488068
mm,0.10529635101556778
lr,0.1010255217552185
gd,0.10093608498573303
tg,0.1002066433429718
