Image,Similarity
ie,0.9171323180198669
gt,0.8444944620132446
ci,0.7344587445259094
mx,0.7341293096542358
it,0.718267560005188
fm,0.6819984912872314
ar,0.6452907919883728
bl,0.6397560834884644
fr,0.6397560834884644
gf,0.6397560834884644
gp,0.6397560834884644
mf,0.6397560834884644
mq,0.6397560834884644
nc,0.6397560834884644
pm,0.6397560834884644
re,0.6397560834884644
yt,0.6397560834884644
nf,0.6126850843429565
cy,0.5857120156288147
sm,0.518997073173523
pe,0.5059418678283691
je,0.49477419257164
kr,0.49248284101486206
so,0.47690099477767944
vi,0.4711322784423828
fj,0.4708252549171448
va,0.47033220529556274
gr,0.4464845657348633
lc,0.4196576774120331
uy,0.41856518387794495
il,0.41595661640167236
sg,0.414516806602478
lu,0.4118245840072632
gb-sct,0.39551979303359985
um,0.38585758209228516
us,0.38585758209228516
aq,0.38498061895370483
bi,0.38327455520629883
ca,0.37580302357673645
aw,0.37154969573020935
gg,0.36896976828575134
pl,0.3687041997909546
sl,0.36702534556388855
uz,0.3665793538093567
fo,0.357869416475296
ni,0.3545292615890503
bt,0.35275959968566895
gb-eng,0.34967395663261414
lr,0.3484131097793579
gl,0.3388502895832062
dj,0.3388404846191406
cl,0.3351867198944092
mt,0.329429566860199
sn,0.32803875207901
pw,0.3271675109863281
mc,0.3247779607772827
mm,0.3132457137107849
ge,0.3083988130092621
hu,0.306924968957901
mp,0.3060341477394104
pa,0.29889222979545593
at,0.29494908452033997
bw,0.2909122407436371
cz,0.28671637177467346
jp,0.2837202847003937
km,0.2767816185951233
cu,0.2761366367340088
vc,0.27488088607788086
kz,0.2743496596813202
id,0.2617465853691101
dz,0.26168712973594666
ir,0.24161651730537415
bq,0.24135446548461914
nl,0.24135446548461914
do,0.2385108768939972
io,0.23688815534114838
pr,0.23504549264907837
cr,0.23090295493602753
lb,0.2306717485189438
in,0.22942273318767548
fi,0.22906596958637238
tv,0.22727294266223907
hn,0.22478723526000977
gn,0.22336545586585999
ml,0.22239939868450165
pf,0.2208261340856552
sv,0.21570396423339844
nu,0.21195244789123535
si,0.2041921615600586
ch,0.20399852097034454
sk,0.2010936439037323
rs,0.19906474649906158
py,0.1971883773803711
kw,0.19504375755786896
bg,0.1949571818113327
gq,0.18755504488945007
ro,0.1839240938425064
bn,0.1785769909620285
tj,0.17784050107002258
as,0.16978849470615387
sc,0.16530664265155792
ad,0.16443613171577454
cg,0.16168931126594543
dk,0.15728655457496643
ls,0.153266042470932
md,0.15054427087306976
ru,0.14906270802021027
ne,0.14222414791584015
th,0.1394268125295639
ki,0.13522925972938538
ga,0.13293348252773285
bz,0.11908336728811264
bb,0.11839227378368378
rw,0.11131855845451355
gd,0.11025136709213257
td,0.10847334563732147
hr,0.09618033468723297
cd,0.09592541307210922
se,0.09567934274673462
az,0.08892227709293365
be,0.08042620122432709
ua,0.07433243095874786
xk,0.07173942029476166
gy,0.06046704947948456
mo,0.05865740031003952
sd,0.05649144947528839
om,0.0558498352766037
hk,0.04925169423222542
cf,0.047794170677661896
ae,0.04564167186617851
ba,0.04069312661886215
ps,0.039643194526433945
ye,0.03510884940624237
is,0.0341520793735981
sr,0.028396129608154297
bs,0.028267260640859604
af,0.025350235402584076
ee,0.02396220713853836
gb-nir,0.021413836628198624
gb,0.021413836628198624
sh,0.021413836628198624
ec,0.013412386178970337
my,0.013401268981397152
ag,0.0007522404193878174
gw,-0.001043654978275299
lv,-0.006493590772151947
eg,-0.014491260051727295
eh,-0.014752447605133057
cv,-0.01532013714313507
ax,-0.016197897493839264
co,-0.017820190638303757
kp,-0.02348291128873825
bj,-0.026265420019626617
la,-0.03139863535761833
tn,-0.032531365752220154
za,-0.04122469574213028
sz,-0.04369024559855461
iq,-0.050710529088974
st,-0.05449919402599335
bv,-0.06269503384828568
no,-0.06269503384828568
sj,-0.06269503384828568
sy,-0.06388701498508453
mk,-0.06561523675918579
np,-0.06586214900016785
kh,-0.06696660816669464
kg,-0.0689261257648468
wf,-0.07572993636131287
jo,-0.08687271177768707
tk,-0.08972768485546112
mg,-0.09144119918346405
gi,-0.10493069142103195
es,-0.11157386004924774
br,-0.1146906316280365
ug,-0.120319664478302
er,-0.12853296101093292
