Image,Similarity
sv,0.9448080658912659
hn,0.9246600866317749
sl,0.8671561479568481
uz,0.8139175772666931
ar,0.8065543174743652
ae,0.7018701434135437
ls,0.6990637183189392
ps,0.6858183741569519
so,0.6816707253456116
bq,0.67876797914505
nl,0.67876797914505
eh,0.6529247164726257
lu,0.6496097445487976
as,0.6296988725662231
gb-sct,0.6296918988227844
fm,0.6223962306976318
py,0.6184060573577881
il,0.617760419845581
hu,0.5791959762573242
ga,0.5689330697059631
kw,0.5680762529373169
hr,0.5597742199897766
kz,0.5409960150718689
gr,0.5101026892662048
aq,0.5094932317733765
jo,0.5067389011383057
bs,0.49393123388290405
ye,0.4846951961517334
dj,0.4739539921283722
sd,0.47187143564224243
eg,0.4580841064453125
pw,0.4527719020843506
ir,0.4512922465801239
fj,0.425140380859375
tj,0.42000067234039307
iq,0.4178178012371063
xk,0.39521461725234985
gt,0.39503395557403564
aw,0.3931484818458557
tv,0.39209914207458496
sy,0.3795349895954132
ne,0.3790225684642792
gq,0.37846481800079346
in,0.3699882924556732
mp,0.36495494842529297
mh,0.36028265953063965
mo,0.3570129871368408
ng,0.3545292615890503
az,0.35008877515792847
rw,0.34815555810928345
cv,0.34591299295425415
is,0.3337993621826172
cd,0.32730668783187866
sm,0.3214876353740692
bz,0.31168898940086365
ie,0.30034297704696655
at,0.29994088411331177
do,0.2974074184894562
lc,0.2959350347518921
se,0.2945842444896698
cx,0.28141048550605774
kh,0.2745686173439026
nf,0.2667444348335266
cy,0.25277188420295715
cu,0.25241830945014954
nr,0.2385561317205429
gu,0.22240260243415833
uy,0.22193562984466553
bw,0.21923622488975525
pf,0.2151969075202942
mn,0.2147466242313385
ci,0.21020865440368652
sb,0.20113959908485413
it,0.2004169225692749
lv,0.1968766152858734
tf,0.19023965299129486
dz,0.18775469064712524
eu,0.18536031246185303
io,0.1852390617132187
pa,0.17926925420761108
kr,0.1716882884502411
lb,0.16680490970611572
jm,0.15916788578033447
je,0.15077725052833557
bl,0.14648745954036713
fr,0.14648745954036713
gf,0.14648745954036713
gp,0.14648745954036713
mf,0.14648745954036713
mq,0.14648745954036713
nc,0.14648745954036713
pm,0.14648745954036713
re,0.14648745954036713
yt,0.14648745954036713
bi,0.1421319544315338
bo,0.14012841880321503
ax,0.13952726125717163
st,0.12999747693538666
mx,0.12869247794151306
gy,0.12521997094154358
ai,0.10996660590171814
sg,0.1087283045053482
pl,0.10436591506004333
um,0.10089914500713348
us,0.10089914500713348
gb-nir,0.09975996613502502
gb,0.09975996613502502
sh,0.09975996613502502
gh,0.0924898236989975
fk,0.08813229203224182
mt,0.08295165002346039
gl,0.08103365451097488
sa,0.08051111549139023
ph,0.0696156769990921
na,0.0681990459561348
et,0.06573030352592468
vi,0.0653148666024208
mc,0.0644422322511673
tc,0.06066429615020752
ss,0.06000866740942001
lr,0.058630820363759995
ms,0.05748067796230316
za,0.055192023515701294
dm,0.04983864724636078
fo,0.04814707487821579
br,0.04752558469772339
cw,0.043963223695755005
cl,0.04166167229413986
dk,0.04058045521378517
cf,0.03716755658388138
cr,0.03692879527807236
ck,0.03684905543923378
ca,0.036661818623542786
kp,0.03573457896709442
km,0.029308512806892395
jp,0.027082636952400208
ky,0.02239169366657734
np,0.020993508398532867
pn,0.02076151967048645
ht,0.0205782949924469
nz,0.018483661115169525
au,0.01712600141763687
hm,0.01712600141763687
va,0.014413557015359402
sx,0.010838109999895096
ua,0.002659708261489868
gs,0.0019990296568721533
bd,0.0018260180950164795
gb-eng,-0.0006212517619132996
vg,-0.007100528106093407
gg,-0.015330897644162178
er,-0.016890550032258034
id,-0.019860893487930298
mg,-0.023672785609960556
ba,-0.024942869320511818
pk,-0.03202131763100624
pr,-0.033490873873233795
ki,-0.03536660224199295
pe,-0.04642987623810768
fi,-0.048372313380241394
ch,-0.05580002814531326
bv,-0.06403021514415741
no,-0.06403021514415741
sj,-0.06403021514415741
cz,-0.06614702939987183
la,-0.0667896419763565
sr,-0.06790873408317566
