Image,Similarity
eu,0.6817689538002014
gu,0.6780850887298584
cx,0.5022860765457153
sb,0.48689234256744385
mh,0.47981390357017517
nz,0.47979143261909485
au,0.47182703018188477
hm,0.47182703018188477
mn,0.4569094777107239
xk,0.45562344789505005
ms,0.4406035840511322
tc,0.4375137686729431
cw,0.4362276792526245
gs,0.4313199818134308
ky,0.42771053314208984
pn,0.4251129925251007
vg,0.4220900535583496
tf,0.4205845594406128
ai,0.41441524028778076
sa,0.4142136573791504
fk,0.41067802906036377
mo,0.4083111584186554
tm,0.3920300602912903
ck,0.3913462162017822
cv,0.37472739815711975
pk,0.33501654863357544
kz,0.3335634469985962
cc,0.3172343373298645
bz,0.31006690859794617
ly,0.2996683716773987
sv,0.29044267535209656
ht,0.28413718938827515
ph,0.28411540389060974
hn,0.28180456161499023
li,0.2771938145160675
tz,0.2756367623806
bs,0.27253225445747375
kh,0.2695050835609436
is,0.267190545797348
so,0.2506290078163147
ni,0.2385561317205429
tv,0.23803305625915527
jo,0.23766782879829407
zm,0.2329244613647461
se,0.23239539563655853
vu,0.23093029856681824
cd,0.23039689660072327
ke,0.2286382019519806
ss,0.22821034491062164
mw,0.22559551894664764
bd,0.21747741103172302
eh,0.21084430813789368
sx,0.20749515295028687
ps,0.20171120762825012
ae,0.18300580978393555
qa,0.18176902830600739
na,0.18078649044036865
ao,0.17991754412651062
mp,0.1789495199918747
ls,0.17110611498355865
et,0.16573111712932587
pg,0.1519034057855606
rw,0.14898261427879333
az,0.1418955773115158
np,0.13516230881214142
ga,0.1292404681444168
dm,0.12659193575382233
mv,0.12514489889144897
ee,0.10813465714454651
aq,0.10742343962192535
kn,0.10504768043756485
as,0.10469997674226761
br,0.09277665615081787
la,0.08533430844545364
aw,0.08463748544454575
sl,0.08444377779960632
jm,0.08131157606840134
pw,0.07626175880432129
ws,0.0735769122838974
hr,0.07306856662034988
za,0.0725632905960083
tt,0.044497713446617126
mr,0.04137515649199486
uy,0.040322333574295044
uz,0.035174183547496796
er,0.03408722206950188
io,0.02878665179014206
by,0.027881842106580734
bf,0.020782504230737686
dj,0.01885424740612507
eg,0.013444166630506516
iq,0.01140584796667099
ye,0.00541103258728981
af,0.003020377829670906
sy,0.00029822438955307007
sd,-0.0011051036417484283
ax,-0.003577151335775852
gb-sct,-0.005480378866195679
py,-0.014579621143639088
bq,-0.015559441410005093
nl,-0.015559441410005093
il,-0.01812547817826271
do,-0.020028186962008476
mu,-0.020384302362799644
ag,-0.0323532335460186
lv,-0.037351906299591064
sz,-0.04222055897116661
sr,-0.0454254075884819
gh,-0.04697402939200401
mz,-0.048912983387708664
de,-0.05430007725954056
gm,-0.05580814555287361
bo,-0.0574512854218483
gb-nir,-0.06032293289899826
gb,-0.06032293289899826
sh,-0.06032293289899826
bw,-0.06121820956468582
fj,-0.06364616006612778
kw,-0.06611495465040207
fm,-0.06718887388706207
kp,-0.0704517737030983
cu,-0.07366582751274109
bb,-0.07660244405269623
gy,-0.0779963880777359
ua,-0.08795550465583801
al,-0.09158147871494293
gb-wls,-0.09198873490095139
tw,-0.1029348075389862
tk,-0.10664565861225128
ba,-0.10670766979455948
lu,-0.11558611690998077
mg,-0.11559543013572693
fi,-0.12337971478700638
ma,-0.1313106119632721
pt,-0.1398875117301941
st,-0.14567846059799194
me,-0.14812371134757996
tj,-0.14935532212257385
cr,-0.15164604783058167
to,-0.15254685282707214
pa,-0.15707546472549438
dz,-0.15792468190193176
cf,-0.16086623072624207
ki,-0.1616559624671936
bm,-0.16549938917160034
cm,-0.16583183407783508
om,-0.1675560027360916
ar,-0.16896775364875793
am,-0.17401045560836792
bv,-0.1757843792438507
no,-0.1757843792438507
sj,-0.1757843792438507
my,-0.1763613224029541
im,-0.18134188652038574
hu,-0.18615935742855072
lc,-0.1862073689699173
th,-0.18846382200717926
dk,-0.18868882954120636
bh,-0.19597718119621277
gr,-0.19804644584655762
ir,-0.2017303854227066
ne,-0.21568644046783447
gw,-0.21965119242668152
ru,-0.22010798752307892
si,-0.22441492974758148
bj,-0.2262919396162033
tr,-0.23116439580917358
gq,-0.23879659175872803
lk,-0.24076488614082336
tg,-0.24367740750312805
ug,-0.24393236637115479
rs,-0.24441394209861755
fo,-0.24480801820755005
be,-0.2501051127910614
ve,-0.2506833076477051
gi,-0.25132572650909424
tn,-0.25282853841781616
sk,-0.2632558345794678
zw,-0.270332008600235
bg,-0.2718393802642822
kr,-0.28581827878952026
in,-0.2882962226867676
sm,-0.2883243262767792
lr,-0.2889208197593689
pf,-0.2895800471305847
tl,-0.2908047139644623
pr,-0.29284605383872986
km,-0.29371052980422974
bl,-0.29697391390800476
fr,-0.29697391390800476
gf,-0.29697391390800476
gp,-0.29697391390800476
mf,-0.29697391390800476
mq,-0.29697391390800476
nc,-0.29697391390800476
pm,-0.29697391390800476
re,-0.29697391390800476
yt,-0.29697391390800476
vn,-0.298183411359787
lt,-0.300265371799469
co,-0.3006177246570587
cn,-0.3044368028640747
cl,-0.3092085123062134
bi,-0.3139650225639343
gt,-0.3184446394443512
ad,-0.31998443603515625
ch,-0.32676005363464355
it,-0.3294977843761444
mt,-0.33307239413261414
hk,-0.3385225832462311
cz,-0.3391948640346527
cg,-0.33921605348587036
mc,-0.34323015809059143
lb,-0.3436238765716553
td,-0.34363430738449097
nf,-0.3456190824508667
mk,-0.34819525480270386
mx,-0.3518997132778168
um,-0.3528692126274109
us,-0.3528692126274109
gl,-0.3536990284919739
ro,-0.3556329905986786
ec,-0.3629412055015564
wf,-0.36346733570098877
id,-0.37249746918678284
es,-0.3726262152194977
at,-0.37378084659576416
sc,-0.3753920793533325
ng,-0.3773408532142639
ci,-0.38017693161964417
jp,-0.39321109652519226
pl,-0.39594000577926636
pe,-0.40342867374420166
gn,-0.40464746952056885
kg,-0.4070274233818054
gg,-0.41089528799057007
sg,-0.4214661419391632
ge,-0.42230743169784546
vi,-0.4303184151649475
gb-eng,-0.4329501688480377
je,-0.44768810272216797
ml,-0.4492623209953308
mm,-0.45952585339546204
ca,-0.4600212872028351
md,-0.4647239148616791
bn,-0.4648420810699463
sn,-0.46509474515914917
ie,-0.4679456353187561
cy,-0.4891166090965271
gd,-0.5288193225860596
vc,-0.5319186449050903
nu,-0.5775479674339294
va,-0.5916939377784729
bt,-0.5934544801712036
