Image,Similarity
ml,0.52009117603302
cg,0.510568380355835
md,0.5006262063980103
es,0.49821197986602783
vc,0.4969261884689331
bt,0.4805929660797119
sn,0.45927250385284424
gd,0.4516400098800659
mk,0.45092499256134033
kg,0.44790929555892944
tk,0.446938157081604
td,0.4403470754623413
ro,0.4397369921207428
gn,0.4387526512145996
va,0.4283533990383148
bn,0.42809152603149414
bm,0.4003201425075531
vn,0.3981357216835022
ad,0.3809923827648163
mm,0.3669249415397644
gg,0.362857460975647
ua,0.35764339566230774
tl,0.35692548751831055
lk,0.3440091013908386
st,0.3409140706062317
wf,0.3341083526611328
cy,0.3278072476387024
cm,0.32700788974761963
ie,0.3246854543685913
ca,0.3189084231853485
ge,0.3184264004230499
hk,0.31384268403053284
at,0.3134060204029083
cl,0.31221020221710205
tw,0.30903714895248413
cn,0.3086244463920593
ch,0.30696871876716614
be,0.30671530961990356
bj,0.30166691541671753
sg,0.299710750579834
vi,0.2945759892463684
je,0.28929030895233154
gb-eng,0.2869236171245575
ug,0.2849961221218109
id,0.27742254734039307
pe,0.271685391664505
de,0.26974374055862427
tr,0.26115548610687256
pl,0.2590196430683136
lr,0.25763410329818726
gl,0.25631460547447205
mc,0.2525825500488281
lb,0.25194329023361206
gq,0.24888525903224945
jp,0.24790170788764954
tn,0.24669770896434784
bi,0.24599482119083405
tg,0.2457623928785324
zw,0.2451288402080536
sc,0.24461409449577332
pt,0.24161294102668762
mt,0.24087229371070862
ne,0.23993651568889618
mu,0.23930850625038147
me,0.2384718358516693
in,0.23459620773792267
pf,0.23197820782661438
ci,0.22720974683761597
cf,0.22487464547157288
it,0.22223441302776337
ir,0.2208915650844574
mx,0.2191990613937378
um,0.21346396207809448
us,0.21346396207809448
to,0.21251405775547028
ng,0.21195244789123535
gi,0.21066364645957947
cz,0.20843446254730225
bh,0.20807459950447083
bl,0.205474853515625
fr,0.205474853515625
gf,0.205474853515625
gp,0.205474853515625
mf,0.205474853515625
mq,0.205474853515625
nc,0.205474853515625
pm,0.205474853515625
re,0.205474853515625
yt,0.205474853515625
ec,0.20452314615249634
bo,0.20448634028434753
tj,0.20272031426429749
gw,0.20177842676639557
im,0.20096537470817566
dk,0.1999165564775467
ma,0.1919250786304474
my,0.1887696534395218
lt,0.18247878551483154
gy,0.1819467395544052
