Image,Similarity
bl,0.786413848400116
fr,0.786413848400116
gf,0.786413848400116
gp,0.786413848400116
mf,0.786413848400116
mq,0.786413848400116
nc,0.786413848400116
pm,0.786413848400116
re,0.786413848400116
yt,0.786413848400116
it,0.7264447808265686
mx,0.6753629446029663
ci,0.6723988056182861
ie,0.5753976106643677
gt,0.5172857046127319
ng,0.5059418678283691
sn,0.48015302419662476
je,0.40499767661094666
cl,0.3878946304321289
bt,0.3788674771785736
ro,0.37675705552101135
va,0.3757549226284027
pl,0.370301216840744
cy,0.3679487109184265
ch,0.3673873543739319
hk,0.3652496337890625
dk,0.35892513394355774
be,0.35199928283691406
tn,0.3483086824417114
kg,0.34727537631988525
kr,0.3465189039707184
sg,0.3402673006057739
ml,0.33149707317352295
td,0.3314267098903656
vi,0.33077964186668396
lr,0.3289070725440979
ad,0.3214351534843445
gn,0.3201637268066406
mt,0.31635650992393494
um,0.3055112957954407
us,0.3055112957954407
ge,0.30548688769340515
cz,0.30193406343460083
gl,0.3016798794269562
nf,0.29049384593963623
id,0.29015350341796875
mc,0.28948894143104553
sc,0.28134655952453613
mm,0.2727736234664917
nu,0.271685391664505
gg,0.26038694381713867
vc,0.2581271231174469
ca,0.2578926682472229
rs,0.2512454390525818
ar,0.2459106296300888
gb-eng,0.2459004819393158
pr,0.24566519260406494
mk,0.24174943566322327
im,0.24150024354457855
at,0.24129243195056915
km,0.23806288838386536
do,0.23116783797740936
fo,0.23054790496826172
sk,0.22991521656513214
vn,0.22767961025238037
md,0.2264939397573471
sm,0.22624243795871735
fm,0.22316551208496094
ki,0.21834060549736023
cn,0.2174529731273651
bi,0.2135247141122818
th,0.21084696054458618
lb,0.21063196659088135
pa,0.20901642739772797
bn,0.20866717398166656
cr,0.20495222508907318
wf,0.19127535820007324
fj,0.19064673781394958
ag,0.1855083405971527
bg,0.1812593787908554
uy,0.180695578455925
ru,0.17977899312973022
si,0.1761794090270996
es,0.1728222817182541
pf,0.17106086015701294
fi,0.1637580543756485
gd,0.16017162799835205
cg,0.15525639057159424
gr,0.15335491299629211
me,0.15286777913570404
cu,0.15225453674793243
tl,0.15167947113513947
om,0.14189335703849792
bb,0.13613291084766388
lu,0.13251464068889618
sz,0.12970691919326782
jp,0.12932386994361877
sr,0.12676005065441132
il,0.12528672814369202
bw,0.12232422828674316
kp,0.12147615849971771
tr,0.12049320340156555
my,0.11588572710752487
ec,0.1109388917684555
aq,0.1082363873720169
gb-nir,0.10666854679584503
gb,0.10666854679584503
sh,0.10666854679584503
co,0.10366115719079971
hu,0.09785042703151703
ug,0.0968070775270462
gw,0.09340815246105194
io,0.08239808678627014
ma,0.0813581645488739
gb-wls,0.07649700343608856
ir,0.0676213800907135
dz,0.06058555096387863
lc,0.05902634561061859
lk,0.056134358048439026
lt,0.05375183746218681
ee,0.053467877209186554
mp,0.050002288073301315
ve,0.047965891659259796
in,0.04747127369046211
kh,0.04596474766731262
bj,0.04423955827951431
gq,0.04310140013694763
al,0.041980281472206116
gy,0.03839260712265968
ba,0.037696342915296555
bz,0.0373147651553154
tw,0.03650663048028946
tg,0.03507966548204422
ua,0.03153764083981514
lv,0.0268428772687912
bq,0.024714471772313118
nl,0.024714471772313118
tt,0.024424603208899498
aw,0.02423667348921299
pt,0.023341380059719086
bm,0.023019667714834213
py,0.0190199613571167
so,0.01883353292942047
tj,0.018103625625371933
dj,0.014909477904438972
er,0.013812161982059479
bv,0.005205119028687477
no,0.005205119028687477
sj,0.005205119028687477
gb-sct,0.005003992468118668
to,0.004336416721343994
ne,0.0031545646488666534
hr,0.002690559718757868
zw,0.0003772713243961334
az,-0.0007361564785242081
kw,-0.0019130110740661621
cd,-0.0029205717146396637
am,-0.006345435976982117
tk,-0.01523975282907486
mz,-0.017747506499290466
pw,-0.01934729516506195
ws,-0.021132655441761017
bh,-0.028609782457351685
ga,-0.033779434859752655
mu,-0.03654779493808746
de,-0.03695478290319443
mn,-0.03731830418109894
uz,-0.041024185717105865
la,-0.04533998668193817
ni,-0.04642987623810768
np,-0.048941563814878464
sl,-0.050426874309778214
sd,-0.05049147084355354
af,-0.05290788784623146
by,-0.053584981709718704
cf,-0.054357171058654785
as,-0.056991808116436005
ye,-0.06126120686531067
bf,-0.06707516312599182
ax,-0.0710393637418747
gh,-0.07114177197217941
se,-0.0715232565999031
za,-0.07287684082984924
ht,-0.07766719907522202
eg,-0.0797300860285759
rw,-0.08131874352693558
bo,-0.08486881852149963
st,-0.08569039404392242
iq,-0.08877500146627426
hn,-0.09028510749340057
gi,-0.09029442071914673
gm,-0.09243728220462799
ls,-0.09885494410991669
et,-0.0997096598148346
tv,-0.1012815311551094
sy,-0.10524320602416992
sv,-0.11500436067581177
qa,-0.12013646960258484
na,-0.12378419935703278
ph,-0.1354002058506012
bs,-0.13927294313907623
ao,-0.1461307555437088
xk,-0.14618714153766632
li,-0.14972731471061707
sx,-0.15041112899780273
kn,-0.15351071953773499
vu,-0.15388134121894836
is,-0.15695729851722717
cv,-0.1584720015525818
mv,-0.16220621764659882
mr,-0.16876478493213654
jm,-0.17057177424430847
mw,-0.17948390543460846
ke,-0.18498815596103668
mg,-0.18547827005386353
kz,-0.1868564337491989
jo,-0.19094306230545044
br,-0.19214969873428345
ps,-0.20063845813274384
tz,-0.20101697742938995
ae,-0.20184819400310516
pg,-0.20352621376514435
dm,-0.2224130630493164
eh,-0.2257349193096161
cm,-0.22625614702701569
bd,-0.22735196352005005
mh,-0.2491435706615448
ss,-0.2535282075405121
ly,-0.2537529468536377
ck,-0.25617480278015137
mo,-0.26275402307510376
tf,-0.27696844935417175
au,-0.28475573658943176
hm,-0.28475573658943176
tc,-0.2901097536087036
gs,-0.2908366918563843
pn,-0.29626986384391785
nz,-0.29783886671066284
zm,-0.299399733543396
vg,-0.30020013451576233
ky,-0.30160900950431824
ai,-0.3057217299938202
sb,-0.3109399378299713
cw,-0.32182547450065613
fk,-0.329228937625885
ms,-0.3312411904335022
cx,-0.3467939496040344
tm,-0.3507162928581238
sa,-0.36157700419425964
eu,-0.36687734723091125
pk,-0.3680972456932068
gu,-0.37858325242996216
nr,-0.40342867374420166
cc,-0.4429241418838501
