Image,Similarity
lb,0.8528331518173218
at,0.6494104862213135
bi,0.6269646883010864
tj,0.5933390855789185
ir,0.574982762336731
hu,0.5357660055160522
il,0.4922919273376465
pr,0.4702858030796051
gq,0.4684719741344452
bq,0.46826595067977905
nl,0.46826595067977905
bt,0.4465952515602112
py,0.44479429721832275
es,0.4412131607532501
hr,0.4363619089126587
ne,0.4343138337135315
eg,0.4316980540752411
ye,0.42781320214271545
in,0.4264926016330719
kw,0.42257851362228394
wf,0.4167858064174652
sd,0.4128955602645874
lu,0.41026395559310913
as,0.4061456322669983
iq,0.3939110040664673
lv,0.39206743240356445
ar,0.3850223422050476
sg,0.3756483197212219
tr,0.3661637008190155
lr,0.36516308784484863
dk,0.3645593225955963
gi,0.35925450921058655
cf,0.35372525453567505
cy,0.3422025144100189
hk,0.340689092874527
ls,0.34067994356155396
kg,0.340202659368515
sy,0.33567723631858826
pl,0.33303532004356384
ch,0.3289358913898468
tn,0.32826486229896545
id,0.32805752754211426
gl,0.32281410694122314
mc,0.3174685835838318
mk,0.30931881070137024
mt,0.30669423937797546
ge,0.30669134855270386
bh,0.29951897263526917
um,0.2903420925140381
us,0.2903420925140381
va,0.2858978509902954
tl,0.2857618033885956
ie,0.28011131286621094
mm,0.27481991052627563
gb-sct,0.26865601539611816
gb-eng,0.267278790473938
bm,0.26644864678382874
gg,0.2659618854522705
gb-nir,0.26470983028411865
gb,0.26470983028411865
sh,0.26470983028411865
cu,0.2507973313331604
cn,0.24837446212768555
hn,0.2466144859790802
ae,0.2441481649875641
sm,0.24406251311302185
uy,0.24354736506938934
co,0.24192553758621216
im,0.23840755224227905
sl,0.2366684228181839
ec,0.236165851354599
je,0.23590148985385895
sv,0.23432788252830505
ki,0.23247107863426208
nu,0.23197820782661438
nf,0.23130810260772705
ps,0.23047767579555511
bo,0.2288205921649933
kr,0.22791875898838043
gt,0.22690656781196594
eh,0.2261306345462799
ng,0.2208261340856552
ca,0.21704065799713135
ni,0.2151969075202942
cl,0.21428535878658295
vn,0.21210044622421265
lk,0.20784485340118408
sc,0.20775729417800903
cr,0.20106950402259827
uz,0.2003350853919983
do,0.20008394122123718
aq,0.19725266098976135
mg,0.19369956851005554
bn,0.1925991028547287
fm,0.1922319531440735
pe,0.17106086015701294
to,0.16945883631706238
gd,0.168039470911026
jp,0.16714422404766083
mx,0.16638508439064026
cz,0.16344915330410004
gh,0.16036540269851685
me,0.1596737802028656
sx,0.15726324915885925
lc,0.1564900279045105
pa,0.15495210886001587
ci,0.15495194494724274
vc,0.1548181027173996
si,0.14378418028354645
bv,0.14340007305145264
no,0.14340007305145264
sj,0.14340007305145264
fo,0.1422301083803177
km,0.1419227421283722
th,0.13904622197151184
cm,0.13125140964984894
cg,0.12840229272842407
md,0.12447049468755722
vi,0.12432046979665756
dj,0.121802419424057
it,0.11681932955980301
my,0.1155238077044487
sk,0.11471863090991974
rs,0.11287148296833038
gm,0.11017076671123505
ma,0.10759976506233215
fj,0.10622008144855499
ml,0.1054706946015358
bl,0.10185034573078156
fr,0.10185034573078156
gf,0.10185034573078156
gp,0.10185034573078156
mf,0.10185034573078156
mq,0.10185034573078156
nc,0.10185034573078156
pm,0.10185034573078156
re,0.10185034573078156
yt,0.10185034573078156
pt,0.09898336976766586
tw,0.09802667796611786
ad,0.09801755100488663
gn,0.0957675501704216
kp,0.08682114630937576
sn,0.08325285464525223
ro,0.08248752355575562
io,0.07781600952148438
dz,0.0761507898569107
jo,0.07193508744239807
bz,0.07056993991136551
ag,0.06811055541038513
ba,0.0644141435623169
bj,0.06310968101024628
bg,0.06259255111217499
am,0.06122758984565735
gr,0.060949940234422684
td,0.05983647331595421
al,0.05662217736244202
np,0.052317019551992416
ug,0.0361531600356102
ve,0.034903354942798615
mp,0.029156383126974106
la,0.026582125574350357
gw,0.026408854871988297
tt,0.020372845232486725
mr,0.01755049079656601
ru,0.017471764236688614
af,0.015545660629868507
et,0.014202320948243141
ph,0.01293418649584055
tg,0.005658924579620361
cv,0.005093768239021301
ss,-0.0033950787037611008
tk,-0.0034207887947559357
aw,-0.005803018808364868
ws,-0.007869228720664978
so,-0.011514827609062195
is,-0.012739423662424088
mv,-0.01328970119357109
qa,-0.01399574801325798
sr,-0.016549982130527496
za,-0.02220344915986061
st,-0.024024248123168945
ga,-0.025904987007379532
bf,-0.02989257127046585
be,-0.033138126134872437
lt,-0.034236129373311996
gb-wls,-0.039715200662612915
ua,-0.042044032365083694
pw,-0.0468982458114624
ke,-0.04843059927225113
se,-0.048693276941776276
ax,-0.05163102224469185
by,-0.06228138878941536
mu,-0.062369026243686676
fi,-0.07142037153244019
pg,-0.0715065449476242
bb,-0.0715334340929985
gy,-0.07399587333202362
rw,-0.08359910547733307
tf,-0.08725136518478394
de,-0.092904232442379
kn,-0.09324468672275543
om,-0.09641031175851822
ht,-0.10107752680778503
tv,-0.10178527981042862
jm,-0.10282514989376068
bw,-0.10868906229734421
na,-0.11442720144987106
kh,-0.1171761006116867
ai,-0.12642888724803925
fk,-0.12667274475097656
ao,-0.13240796327590942
cd,-0.13433201611042023
br,-0.13438978791236877
mh,-0.13459080457687378
er,-0.1376432180404663
li,-0.16312891244888306
zw,-0.16965317726135254
kz,-0.1705741435289383
dm,-0.17154023051261902
bd,-0.17160974442958832
mw,-0.18914265930652618
mz,-0.1907120794057846
tc,-0.19159530103206635
ms,-0.19278843700885773
ky,-0.1993398815393448
pk,-0.19938552379608154
pn,-0.20544777810573578
xk,-0.20961232483386993
ck,-0.21153677999973297
az,-0.21821996569633484
bs,-0.22050724923610687
gs,-0.2209426909685135
vu,-0.22292394936084747
sz,-0.22703206539154053
vg,-0.2305905520915985
