Image,Similarity
vg,0.9008710384368896
nz,0.9008192420005798
ky,0.8927446603775024
gs,0.89134681224823
ms,0.8873472213745117
au,0.8792359828948975
hm,0.8792359828948975
tc,0.8726368546485901
fk,0.8655204772949219
ai,0.8434069752693176
ck,0.8125057220458984
tv,0.5340763926506042
tf,0.5218901038169861
eu,0.4984269440174103
gu,0.4386000335216522
nr,0.4251129925251007
sa,0.3368968069553375
cx,0.3366438150405884
cw,0.3319512903690338
mn,0.3142421841621399
tm,0.30993983149528503
sx,0.3011491298675537
ao,0.3001571297645569
ly,0.28867363929748535
vu,0.27506762742996216
sb,0.272800087928772
bm,0.2684175968170166
pg,0.2591143250465393
tz,0.2520272731781006
io,0.24555590748786926
cc,0.23227296769618988
pk,0.2316245585680008
fj,0.22022560238838196
mh,0.20934239029884338
np,0.20550622045993805
is,0.19717523455619812
qa,0.1968933343887329
xk,0.19682103395462036
ss,0.18536904454231262
ke,0.17829854786396027
gm,0.17063529789447784
bf,0.1643226444721222
mv,0.16055913269519806
zm,0.15383875370025635
mo,0.15305107831954956
bd,0.14994987845420837
li,0.12897081673145294
kh,0.12780804932117462
bz,0.11546938866376877
by,0.11362552642822266
mp,0.11293814331293106
pa,0.11223595589399338
bs,0.11221195012331009
cd,0.11169032752513885
sy,0.11012326180934906
iq,0.10960093140602112
to,0.10169487446546555
mw,0.10044105350971222
kz,0.09569554030895233
br,0.09472240507602692
kn,0.09102412313222885
so,0.09082082659006119
dm,0.08876548707485199
cv,0.08757415413856506
sv,0.08543528616428375
ls,0.08181410282850266
za,0.0771765485405922
ht,0.07272475957870483
eg,0.0703803300857544
se,0.06702567636966705
sd,0.06650592386722565
gb-wls,0.06549278646707535
ae,0.06429190933704376
hn,0.06236834451556206
et,0.05909857898950577
ye,0.05777894705533981
ve,0.05311552435159683
mg,0.052668385207653046
ba,0.05083658546209335
hr,0.05072543025016785
ru,0.04880980774760246
jm,0.04816529527306557
kp,0.04437864199280739
gh,0.04182124137878418
la,0.03693569824099541
na,0.033964287489652634
bo,0.03126603737473488
eh,0.030575118958950043
ph,0.02896701917052269
jo,0.027950305491685867
om,0.02595912478864193
aw,0.025231432169675827
dj,0.023495811969041824
ni,0.02076151967048645
lt,0.02075173705816269
gw,0.01812116801738739
ps,0.01767200231552124
py,0.016781184822320938
ax,0.015328682959079742
si,0.014982527121901512
co,0.012857800349593163
aq,0.00879198033362627
er,0.00819777138531208
uy,0.005918697454035282
al,0.003205119865015149
am,0.0009938329458236694
bw,-0.0021760687232017517
bv,-0.003949250094592571
no,-0.003949250094592571
sj,-0.003949250094592571
mr,-0.007300633005797863
sz,-0.009195918217301369
bg,-0.00943154189735651
af,-0.012714442797005177
ma,-0.01625300571322441
gb-nir,-0.016584334895014763
gb,-0.016584334895014763
sh,-0.016584334895014763
gb-sct,-0.018040381371974945
tt,-0.019602179527282715
az,-0.032725997269153595
sk,-0.033406805247068405
as,-0.03661983460187912
rw,-0.03783344104886055
bq,-0.0379929281771183
nl,-0.0379929281771183
cu,-0.039269886910915375
ee,-0.04383721202611923
zw,-0.04823952168226242
tg,-0.04985111579298973
th,-0.05624958500266075
tj,-0.05953575670719147
sl,-0.06237960234284401
gi,-0.06418932229280472
me,-0.06427348405122757
pw,-0.07293596863746643
il,-0.07592860609292984
lv,-0.07692130655050278
ws,-0.07922682911157608
in,-0.07942524552345276
cf,-0.08013288676738739
bb,-0.08473417162895203
cr,-0.09148798882961273
mz,-0.09192081540822983
ag,-0.0920984223484993
im,-0.09219550341367722
ug,-0.09267410635948181
mu,-0.09321949630975723
cm,-0.09358125925064087
lu,-0.09421959519386292
ec,-0.09643588960170746
bh,-0.10258569568395615
tw,-0.10517388582229614
gy,-0.10943012684583664
ne,-0.1109311655163765
dk,-0.11205434054136276
uz,-0.11216665059328079
sm,-0.11254505813121796
pt,-0.11334064602851868
tr,-0.11598526686429977
fm,-0.13088205456733704
