Image,Similarity
eh,0.9599039554595947
jo,0.8450389504432678
ae,0.8262336850166321
bq,0.8046243190765381
nl,0.8046243190765381
hn,0.7858060598373413
hu,0.7555827498435974
sl,0.7493096590042114
ye,0.746735692024231
sd,0.7400491237640381
sv,0.7231858372688293
eg,0.7142125368118286
uz,0.7067326307296753
py,0.6888256072998047
ni,0.6858183741569519
kw,0.680467426776886
iq,0.6750276684761047
sy,0.6571562886238098
as,0.6332086324691772
tj,0.6327813863754272
lu,0.6231105327606201
ne,0.6199986934661865
ls,0.6093107461929321
gq,0.5951900482177734
hr,0.5897722840309143
in,0.5117698311805725
ir,0.4900560975074768
at,0.4819073975086212
bo,0.48069992661476135
lv,0.4589387774467468
aq,0.41558098793029785
mo,0.4020758867263794
ga,0.3773474097251892
bs,0.37094342708587646
ar,0.35401320457458496
gh,0.35330963134765625
gb-sct,0.3391580283641815
ss,0.31323760747909546
jm,0.304553359746933
il,0.3014855682849884
mh,0.2917889952659607
do,0.28006550669670105
kh,0.2788703441619873
st,0.2765679955482483
bz,0.2706971764564514
gm,0.27047643065452576
mw,0.26600685715675354
is,0.2574065923690796
dj,0.24853280186653137
gu,0.23786534368991852
so,0.23561877012252808
pf,0.23047767579555511
cv,0.2263316512107849
sa,0.20313730835914612
nr,0.20171120762825012
la,0.19410911202430725
cx,0.19363127648830414
se,0.1891859918832779
ch,0.18428301811218262
dm,0.18196876347064972
mp,0.17591729760169983
br,0.17360514402389526
kz,0.17303703725337982
ke,0.16832450032234192
lb,0.1668623685836792
gr,0.16207095980644226
sx,0.16184629499912262
dk,0.1617940217256546
bd,0.15375418961048126
rw,0.15179581940174103
gy,0.1492309421300888
bi,0.14776957035064697
by,0.14485788345336914
af,0.1437399834394455
et,0.14115862548351288
cc,0.1384250968694687
na,0.13547231256961823
pw,0.1322384625673294
xk,0.13072052597999573
ag,0.12518209218978882
sb,0.11746907979249954
mc,0.11645127087831497
pk,0.1126021221280098
bf,0.10557641088962555
ki,0.10454234480857849
tv,0.10430837422609329
cf,0.10244971513748169
tk,0.10028120130300522
mu,0.09955032169818878
id,0.09650823473930359
az,0.09609082341194153
ax,0.09524771571159363
fm,0.09523523598909378
sg,0.09072212874889374
fj,0.08428286015987396
tf,0.08081305027008057
ai,0.0779166966676712
eu,0.07732057571411133
mn,0.07664041966199875
mr,0.07637245953083038
tn,0.07142889499664307
hk,0.07119522988796234
cw,0.06659788638353348
za,0.062185585498809814
ht,0.061908066272735596
bv,0.060439448803663254
no,0.060439448803663254
sj,0.060439448803663254
aw,0.05466721951961517
pa,0.0535455048084259
es,0.05112766474485397
de,0.04737008363008499
tm,0.0460708849132061
tc,0.04248511791229248
pt,0.04215431958436966
ng,0.039643194526433945
fk,0.03955339640378952
ph,0.03734659403562546
gb-nir,0.03274998068809509
gb,0.03274998068809509
sh,0.03274998068809509
ua,0.031064007431268692
io,0.03011341206729412
dz,0.02811048924922943
ms,0.027672795578837395
cd,0.021868787705898285
zm,0.021105095744132996
kp,0.019722551107406616
ie,0.018174871802330017
ci,0.018138829618692398
pn,0.01767200231552124
it,0.011265210807323456
au,0.004753106273710728
hm,0.004753106273710728
nz,0.003732318989932537
er,0.001893751323223114
ky,0.0008393833413720131
bl,0.0002765469253063202
fr,0.0002765469253063202
gf,0.0002765469253063202
gp,0.0002765469253063202
mf,0.0002765469253063202
mq,0.0002765469253063202
nc,0.0002765469253063202
pm,0.0002765469253063202
re,0.0002765469253063202
yt,0.0002765469253063202
np,-0.0010409302776679397
ba,-0.006455849856138229
gw,-0.00760752335190773
gs,-0.00846013892441988
mg,-0.011221861466765404
ck,-0.015940073877573013
vg,-0.016448235139250755
cg,-0.017519626766443253
tg,-0.017609676346182823
me,-0.017851628363132477
cu,-0.030820243060588837
vu,-0.03442607820034027
ao,-0.035604797303676605
lk,-0.03617285564541817
vn,-0.038332320749759674
gt,-0.03912068158388138
pg,-0.03958341106772423
im,-0.04092729464173317
wf,-0.041462402790784836
bt,-0.04175718501210213
gn,-0.04205898940563202
tt,-0.043425410985946655
sz,-0.04778430238366127
be,-0.048126380890607834
mk,-0.04999787360429764
tz,-0.05308953672647476
ml,-0.05763859301805496
ro,-0.05872579291462898
mm,-0.060310520231723785
cm,-0.06112416461110115
tl,-0.06254568696022034
td,-0.06283573806285858
mt,-0.06433025747537613
nu,-0.0684528648853302
ad,-0.07731077075004578
um,-0.0796266421675682
us,-0.0796266421675682
tr,-0.08222420513629913
kg,-0.08584684878587723
nf,-0.09098739922046661
pr,-0.0915350615978241
lc,-0.09391527622938156
va,-0.09649097919464111
sn,-0.09952917695045471
km,-0.10225559026002884
my,-0.10584557056427002
li,-0.10776013135910034
mv,-0.10777471214532852
uy,-0.11714785546064377
bm,-0.11723171174526215
qa,-0.12104947865009308
ly,-0.1215556412935257
lr,-0.12367291748523712
gl,-0.1252560019493103
bj,-0.12780800461769104
sc,-0.13060903549194336
mx,-0.13667865097522736
je,-0.1377803385257721
ws,-0.13789308071136475
kr,-0.13811835646629333
gb-wls,-0.1393188238143921
bb,-0.1447969526052475
vc,-0.14971454441547394
sr,-0.15832111239433289
ec,-0.16146112978458405
ug,-0.16577890515327454
cn,-0.16647130250930786
cy,-0.17118141055107117
am,-0.17160633206367493
to,-0.17460814118385315
bh,-0.17469961941242218
bn,-0.17476125061511993
sm,-0.1753295212984085
md,-0.17566537857055664
rs,-0.17878445982933044
cl,-0.18188916146755219
ma,-0.18424449861049652
kn,-0.1855388730764389
gi,-0.19153253734111786
co,-0.193775475025177
tw,-0.19692915678024292
pe,-0.20063845813274384
pl,-0.2158442586660385
bw,-0.21647992730140686
vi,-0.2238139808177948
al,-0.23919804394245148
ge,-0.2609127461910248
gd,-0.2694661021232605
gg,-0.29294639825820923
cr,-0.3018307387828827
fo,-0.3068732023239136
gb-eng,-0.31084293127059937
zw,-0.32922083139419556
jp,-0.3337990343570709
cz,-0.33698874711990356
ca,-0.3416038751602173
mz,-0.3536376953125
om,-0.3565262258052826
fi,-0.4085247814655304
si,-0.4389176070690155
ve,-0.4478941857814789
sk,-0.4858940541744232
ee,-0.5631935596466064
lt,-0.5923519134521484
bg,-0.5997903347015381
th,-0.6154389381408691
ru,-0.652692437171936
