Image,Similarity
tl,0.6693632006645203
me,0.6403398513793945
cn,0.6310955286026001
vn,0.6207090616226196
ma,0.6071667671203613
bj,0.5850850343704224
cm,0.578823447227478
kg,0.5584048628807068
ws,0.558175265789032
tr,0.547163724899292
es,0.5406525135040283
tw,0.5395734310150146
im,0.5312276482582092
ml,0.5237231254577637
qa,0.5176559090614319
to,0.5164082050323486
td,0.5153117179870605
al,0.5143470764160156
be,0.5134677886962891
mk,0.5045257210731506
hk,0.483589231967926
ro,0.4774756133556366
tn,0.4682294428348541
ao,0.4285636246204376
de,0.4268932342529297
pg,0.426721453666687
bh,0.4199746549129486
wf,0.4152418076992035
mw,0.4065922498703003
sn,0.40560609102249146
ad,0.39798009395599365
lk,0.39011427760124207
md,0.3874211311340332
ch,0.384391188621521
af,0.3840844929218292
by,0.37898069620132446
cg,0.37585872411727905
ug,0.35727012157440186
bm,0.35315200686454773
lv,0.3446410596370697
tt,0.3375786542892456
zw,0.3307005763053894
gh,0.326143741607666
dk,0.3242150545120239
bo,0.31196925044059753
kn,0.2889058589935303
ke,0.28861483931541443
kp,0.28506165742874146
zm,0.2776872217655182
nu,0.24161294102668762
gd,0.23685726523399353
at,0.2266707420349121
tk,0.22516560554504395
la,0.22430020570755005
bt,0.2222784459590912
ss,0.22144851088523865
bv,0.22035138309001923
no,0.22035138309001923
sj,0.22035138309001923
vu,0.21986380219459534
ly,0.21760182082653046
eg,0.21645283699035645
sx,0.21286004781723022
am,0.21081934869289398
li,0.20963191986083984
bf,0.20798802375793457
sd,0.20771615207195282
ec,0.2068633884191513
sy,0.20564772188663483
ye,0.20542319118976593
co,0.2051682472229004
iq,0.19404661655426025
mm,0.18970850110054016
ve,0.18672962486743927
bd,0.18432745337486267
lt,0.18256324529647827
mv,0.17904484272003174
vc,0.17840898036956787
gb-wls,0.17730826139450073
mu,0.16624806821346283
gq,0.16616041958332062
ht,0.16428092122077942
mt,0.1618099957704544
st,0.1574186086654663
dm,0.1573363095521927
ba,0.15709759294986725
bb,0.15571439266204834
ki,0.14795082807540894
kh,0.14352905750274658
cf,0.14289014041423798
gi,0.12957361340522766
gb-nir,0.12840071320533752
gb,0.12840071320533752
sh,0.12840071320533752
id,0.12656545639038086
ag,0.12206403911113739
pr,0.1218828335404396
tj,0.11879133433103561
cl,0.11575683951377869
ph,0.11158658564090729
my,0.10981781035661697
gm,0.10718508064746857
sc,0.10457189381122589
bn,0.10231880098581314
gn,0.10133450478315353
bl,0.10101892054080963
fr,0.10101892054080963
gf,0.10101892054080963
gp,0.10101892054080963
mf,0.10101892054080963
mq,0.10101892054080963
nc,0.10101892054080963
pm,0.10101892054080963
re,0.10101892054080963
yt,0.10101892054080963
jm,0.1006397008895874
pf,0.09898336976766586
ne,0.08881237357854843
cc,0.08757814764976501
kw,0.08573766052722931
sr,0.08520126342773438
er,0.08407945930957794
tg,0.08183553814888
ir,0.07888370007276535
sz,0.07886394113302231
hu,0.07865201681852341
bi,0.07713621854782104
mr,0.07534077018499374
do,0.07315710186958313
it,0.06970740854740143
cz,0.054725661873817444
ax,0.04833552986383438
om,0.04716665297746658
lb,0.046900488436222076
ge,0.04643908888101578
ps,0.04215431958436966
hr,0.04110310971736908
bq,0.04071766138076782
nl,0.04071766138076782
as,0.040685608983039856
km,0.03949705883860588
mc,0.03848730027675629
et,0.03847804293036461
br,0.03834360092878342
jo,0.035803865641355515
eh,0.03480922803282738
in,0.032596856355667114
ae,0.029602909460663795
gl,0.028845705091953278
pa,0.028213828802108765
pl,0.026122719049453735
pe,0.023341380059719086
mz,0.020487681031227112
py,0.01656530797481537
gw,0.014141872525215149
sg,0.010823220014572144
um,0.010579675436019897
us,0.010579675436019897
za,0.00433710590004921
lr,0.0036149099469184875
rs,0.0017363876104354858
mx,0.0014920905232429504
