Image,Similarity
gu,0.48849159479141235
nr,0.48689234256744385
eu,0.4727761745452881
rw,0.4424576163291931
cw,0.43544360995292664
mh,0.4237159788608551
sa,0.41330525279045105
xk,0.382781058549881
tm,0.37090522050857544
mo,0.3648020625114441
kz,0.34849831461906433
bs,0.3470947742462158
cc,0.3358370065689087
mn,0.3291736841201782
az,0.318365216255188
cx,0.30892953276634216
jm,0.3088420033454895
ht,0.3066727817058563
ph,0.3066239655017853
nz,0.30538004636764526
pk,0.2963322401046753
vg,0.29024991393089294
au,0.2887750566005707
hm,0.2887750566005707
tc,0.2835507094860077
ms,0.2819196581840515
dj,0.27966031432151794
gs,0.27301475405693054
pn,0.272800087928772
cv,0.27225470542907715
ai,0.264700710773468
li,0.256766140460968
ky,0.2537888288497925
cd,0.24940405786037445
tk,0.2487277090549469
fk,0.2458752691745758
ck,0.24559441208839417
ls,0.24324344098567963
ss,0.23862874507904053
zm,0.23765452206134796
so,0.2275562882423401
sv,0.22585570812225342
ua,0.22260341048240662
aw,0.22161853313446045
na,0.22042995691299438
ae,0.20630131661891937
uz,0.201790913939476
ni,0.20113959908485413
hn,0.19932883977890015
bz,0.17196200788021088
tf,0.1699313074350357
ke,0.16983932256698608
et,0.15032660961151123
gb-sct,0.15008951723575592
tv,0.1406586468219757
is,0.13404372334480286
kh,0.13044533133506775
mp,0.1273866891860962
dm,0.12416112422943115
se,0.12265224009752274
bd,0.12173019349575043
vu,0.12061721831560135
ps,0.11746907979249954
eh,0.11621680855751038
ly,0.1032390370965004
ws,0.10275508463382721
br,0.10065731406211853
jo,0.0993591696023941
pg,0.09098104387521744
ee,0.08649814873933792
mz,0.08336176723241806
ao,0.08235903084278107
pw,0.08154037594795227
kn,0.07712838053703308
aq,0.07536108791828156
ga,0.07071665674448013
as,0.06556464731693268
mw,0.06471414864063263
mr,0.06386308372020721
bw,0.055638402700424194
om,0.04951222985982895
mv,0.047708723694086075
tz,0.040623895823955536
mu,0.028999749571084976
np,0.023821856826543808
st,0.023676350712776184
sy,0.0226528812199831
lc,0.020380841568112373
cf,0.015303373336791992
bg,0.005951240658760071
ax,0.005583424121141434
il,0.005218535661697388
sl,0.003916420042514801
tw,0.002460591495037079
kw,-0.0025994963943958282
qa,-0.005814939737319946
ru,-0.01104261726140976
iq,-0.012090057134628296
eg,-0.016798269003629684
si,-0.01688867062330246
la,-0.01823241077363491
gr,-0.021887071430683136
ye,-0.02508854866027832
sd,-0.026414159685373306
gm,-0.02672411873936653
gy,-0.027754824608564377
tt,-0.02907172590494156
cu,-0.03097464144229889
tg,-0.034464478492736816
sr,-0.036030612885951996
gb-wls,-0.038056280463933945
de,-0.04003231227397919
fm,-0.04215415567159653
cl,-0.04421587288379669
do,-0.04731394350528717
sx,-0.05210089683532715
bf,-0.056550171226263046
za,-0.05780218541622162
fi,-0.05839744210243225
gb-nir,-0.06083434820175171
gb,-0.06083434820175171
sh,-0.06083434820175171
hr,-0.06526824831962585
cg,-0.06759114563465118
kp,-0.06802161782979965
sz,-0.06871411204338074
cz,-0.06957599520683289
mg,-0.07190460711717606
ir,-0.07245182991027832
fj,-0.07682980597019196
by,-0.07762196660041809
bb,-0.07810556888580322
uy,-0.08051170408725739
io,-0.08095158636569977
cr,-0.08215516805648804
af,-0.08341909945011139
ar,-0.08724621683359146
gh,-0.09860330075025558
bv,-0.1030542254447937
no,-0.1030542254447937
sj,-0.1030542254447937
bo,-0.10323990881443024
tj,-0.10574410855770111
to,-0.10782909393310547
bm,-0.10805480182170868
my,-0.11522984504699707
cm,-0.13130606710910797
gi,-0.13207319378852844
dz,-0.13212603330612183
ag,-0.13532288372516632
zw,-0.13598957657814026
er,-0.13695713877677917
lv,-0.13784116506576538
bq,-0.13806232810020447
nl,-0.13806232810020447
bj,-0.1430511176586151
pt,-0.1470898687839508
pl,-0.15390895307064056
am,-0.1575460135936737
ug,-0.16126155853271484
th,-0.16253718733787537
ba,-0.16809631884098053
sk,-0.16883650422096252
gq,-0.17333273589611053
sm,-0.17893950641155243
in,-0.18078358471393585
py,-0.18217208981513977
ne,-0.18681442737579346
hu,-0.1868676096200943
al,-0.18759863078594208
nf,-0.19561366736888885
gw,-0.19618010520935059
gt,-0.20237226784229279
be,-0.20541644096374512
pa,-0.20704814791679382
nu,-0.2116137444972992
bh,-0.2127927988767624
it,-0.21380309760570526
bl,-0.21380318701267242
fr,-0.21380318701267242
gf,-0.21380318701267242
gp,-0.21380318701267242
mf,-0.21380318701267242
mq,-0.21380318701267242
nc,-0.21380318701267242
pm,-0.21380318701267242
re,-0.21380318701267242
yt,-0.21380318701267242
bi,-0.21674753725528717
ad,-0.22000382840633392
fo,-0.2211802899837494
mt,-0.22350749373435974
pr,-0.225680410861969
ma,-0.2270113229751587
me,-0.22725306451320648
gl,-0.23111754655838013
um,-0.23327913880348206
us,-0.23327913880348206
ro,-0.23369574546813965
lu,-0.2340226173400879
td,-0.2371327131986618
ng,-0.23935061693191528
im,-0.2410496175289154
dk,-0.24192552268505096
lk,-0.25090163946151733
mx,-0.2519557476043701
kr,-0.25797367095947266
tr,-0.2586652636528015
lt,-0.2602757215499878
km,-0.26042014360427856
ci,-0.27114617824554443
es,-0.27531319856643677
ve,-0.27628037333488464
lr,-0.27837491035461426
pf,-0.2814646363258362
bn,-0.28229862451553345
lb,-0.2859744131565094
ml,-0.2864307463169098
vn,-0.29355621337890625
gn,-0.29457390308380127
tn,-0.2948864698410034
ie,-0.2995583415031433
sn,-0.30402252078056335
jp,-0.3062739968299866
gd,-0.3068220317363739
pe,-0.3109399378299713
vi,-0.3119044005870819
gb-eng,-0.31385403871536255
mk,-0.314253568649292
md,-0.31891393661499023
