Image,Similarity
id,0.4383160471916199
sg,0.4337538480758667
ca,0.4015583097934723
cr,0.39115452766418457
mc,0.3886544108390808
ge,0.38131529092788696
je,0.36406853795051575
gb-eng,0.3530701696872711
cy,0.35278430581092834
sr,0.3492851257324219
wf,0.3482702970504761
gg,0.34724390506744385
jp,0.33870843052864075
va,0.33716070652008057
cn,0.32929712533950806
kg,0.3135529160499573
mt,0.3133378326892853
by,0.3085346817970276
zw,0.29287275671958923
er,0.287579208612442
mk,0.2862893044948578
pe,0.28134655952453613
kp,0.27503103017807007
tl,0.2749934196472168
vi,0.27217215299606323
mg,0.269413560628891
pa,0.26916709542274475
to,0.26672255992889404
gb-wls,0.26250994205474854
gb-nir,0.26040512323379517
gb,0.26040512323379517
sh,0.26040512323379517
bh,0.2603111267089844
bt,0.2577231526374817
ml,0.25545385479927063
gy,0.2461664378643036
nu,0.24461409449577332
es,0.24405357241630554
md,0.24229973554611206
ne,0.24036893248558044
lk,0.23830321431159973
rs,0.23725658655166626
tr,0.23692917823791504
gn,0.23605966567993164
ki,0.23558449745178223
sm,0.23056358098983765
vn,0.22860078513622284
vc,0.22552722692489624
om,0.22216863930225372
lr,0.22048740088939667
th,0.21538665890693665
gh,0.21517932415008545
ie,0.21475395560264587
ci,0.21263428032398224
sn,0.2108931690454483
lu,0.21041373908519745
mx,0.20994290709495544
kr,0.20957408845424652
pf,0.20775729417800903
hk,0.20435167849063873
fo,0.2017306685447693
bo,0.20106539130210876
gd,0.200290709733963
gw,0.1961435228586197
ro,0.18481972813606262
td,0.18089735507965088
bf,0.17834024131298065
st,0.17545461654663086
cu,0.17285403609275818
pr,0.17261828482151031
km,0.17159780859947205
mu,0.171437606215477
ma,0.16759492456912994
tn,0.1673814207315445
ng,0.16530664265155792
gt,0.16400788724422455
bn,0.16265630722045898
in,0.16260012984275818
bm,0.16227157413959503
gi,0.16159707307815552
ad,0.16020560264587402
im,0.15951186418533325
tg,0.15715576708316803
ax,0.15610024333000183
ch,0.1557694673538208
it,0.1508580595254898
mm,0.14571179449558258
dk,0.14544972777366638
ec,0.14258112013339996
lb,0.1396254599094391
me,0.1392846405506134
um,0.1384599506855011
us,0.1384599506855011
pl,0.13480010628700256
ar,0.13217145204544067
tj,0.1314360797405243
ba,0.12808601558208466
at,0.12780864536762238
bl,0.12771274149417877
fr,0.12771274149417877
gf,0.12771274149417877
gp,0.12771274149417877
mf,0.12771274149417877
mq,0.12771274149417877
nc,0.12771274149417877
pm,0.12771274149417877
re,0.12771274149417877
yt,0.12771274149417877
py,0.12663941085338593
tw,0.12470754981040955
mw,0.1229773759841919
sx,0.12228566408157349
de,0.11775702238082886
hu,0.11677690595388412
hr,0.1159396767616272
al,0.11281271278858185
co,0.11239909380674362
bi,0.11037266254425049
be,0.10539250820875168
pt,0.10457189381122589
nf,0.10178311169147491
gl,0.10118281096220016
cm,0.09446705877780914
ug,0.09321902692317963
bd,0.08938287198543549
vu,0.08663105964660645
tz,0.0847083032131195
ga,0.0821002796292305
cd,0.07834210991859436
za,0.07820628583431244
my,0.07651945948600769
bq,0.06987326592206955
nl,0.06987326592206955
uy,0.06692066788673401
sz,0.06617362052202225
do,0.05937831476330757
bw,0.052062686532735825
tt,0.04992421343922615
bb,0.0490938276052475
qa,0.0449075847864151
na,0.04196782410144806
il,0.04149835556745529
ke,0.040760550647974014
se,0.03385678678750992
kh,0.03276494890451431
lt,0.03172575682401657
pw,0.03159736096858978
ss,0.030126720666885376
fj,0.02845846489071846
jm,0.027905117720365524
af,0.025831906124949455
bv,0.024316521361470222
no,0.024316521361470222
sj,0.024316521361470222
io,0.020245162770152092
np,0.020071351900696754
bj,0.019971229135990143
gm,0.018720582127571106
ve,0.01368812844157219
br,0.011720705777406693
dm,0.010589353740215302
fm,0.009415540844202042
ao,0.006102327257394791
dz,0.0004938878118991852
eg,-0.00016498565673828125
gr,-0.005468958988785744
ws,-0.005501622334122658
cg,-0.007727408781647682
sl,-0.012239444069564342
pg,-0.013881763443350792
lc,-0.016891535371541977
lv,-0.017064906656742096
iq,-0.018542785197496414
sk,-0.01878131926059723
cl,-0.01914381980895996
ye,-0.019738368690013885
is,-0.02008003741502762
gb-sct,-0.023901352658867836
fi,-0.02846653386950493
sy,-0.029808614403009415
cz,-0.031351327896118164
mz,-0.033846620470285416
sd,-0.03391182795166969
ee,-0.038366273045539856
am,-0.03920099511742592
ir,-0.03950033709406853
tk,-0.0399312749505043
gq,-0.040159083902835846
az,-0.04347487539052963
cf,-0.050831474363803864
as,-0.06192842125892639
ag,-0.06359873712062836
mp,-0.06648819148540497
aq,-0.07059241086244583
ls,-0.07425475120544434
bs,-0.08209115266799927
ru,-0.08934137225151062
jo,-0.09093038737773895
uz,-0.09564447402954102
eh,-0.10651344805955887
cv,-0.11115162819623947
ly,-0.11245310306549072
ni,-0.11406134814023972
pk,-0.11543193459510803
bg,-0.11606894433498383
tf,-0.11806129664182663
kn,-0.12780910730361938
ps,-0.13060903549194336
ky,-0.13450902700424194
kw,-0.1433345526456833
sv,-0.1447506844997406
dj,-0.15270622074604034
si,-0.15540575981140137
ua,-0.15727725625038147
ai,-0.1619914025068283
fk,-0.16279302537441254
pn,-0.16360796988010406
vg,-0.1661442071199417
tc,-0.16654850542545319
hn,-0.1684993952512741
ck,-0.17761820554733276
gs,-0.1987931728363037
au,-0.20039395987987518
hm,-0.20039395987987518
so,-0.20277997851371765
bz,-0.2046915888786316
kz,-0.2057756930589676
mh,-0.20591038465499878
rw,-0.20602740347385406
nz,-0.20736533403396606
aw,-0.207584947347641
ae,-0.20837268233299255
tv,-0.20930303633213043
ms,-0.21451060473918915
zm,-0.22564896941184998
xk,-0.22786420583724976
cw,-0.24386745691299438
et,-0.24803532660007477
li,-0.24839618802070618
la,-0.2576461136341095
mr,-0.25838059186935425
cc,-0.2690905034542084
ph,-0.275544673204422
cx,-0.276419073343277
tm,-0.2900822162628174
mn,-0.29101866483688354
mv,-0.3048872649669647
mo,-0.30679768323898315
sa,-0.3301210403442383
ht,-0.33206743001937866
nr,-0.3753920793533325
eu,-0.39565542340278625
sb,-0.4116097390651703
gu,-0.4433121681213379
