Image,Similarity
ru,0.9411711096763611
bg,0.8874924182891846
sk,0.776063859462738
cz,0.6668152213096619
pl,0.5801578760147095
ve,0.5799485445022583
cl,0.5170236229896545
lt,0.49377819895744324
gi,0.40276116132736206
aw,0.351327121257782
gl,0.34583139419555664
lc,0.320980966091156
mm,0.31226229667663574
th,0.3082427978515625
fi,0.3016364276409149
sm,0.281963586807251
am,0.281086266040802
bn,0.2726888060569763
co,0.2693108916282654
pr,0.2682621479034424
nf,0.2534676194190979
uy,0.24593238532543182
gt,0.24503891170024872
fm,0.24042510986328125
lb,0.23917073011398315
fo,0.22779113054275513
om,0.22700445353984833
bm,0.2215569168329239
bt,0.2210921049118042
ec,0.22061800956726074
ir,0.209932342171669
ie,0.2066209763288498
ng,0.2041921615600586
gd,0.20278236269950867
at,0.20030425488948822
ph,0.19652003049850464
kr,0.19435161352157593
cy,0.18540145456790924
mx,0.1851838231086731
jp,0.1839911788702011
bi,0.1822604387998581
vi,0.17651817202568054
pe,0.1761794090270996
dj,0.16920390725135803
lr,0.16215087473392487
gb-eng,0.15977488458156586
bl,0.15499836206436157
fr,0.15499836206436157
gf,0.15499836206436157
gp,0.15499836206436157
mf,0.15499836206436157
mq,0.15499836206436157
nc,0.15499836206436157
pm,0.15499836206436157
re,0.15499836206436157
yt,0.15499836206436157
it,0.15368014574050903
km,0.1497896909713745
bv,0.14556922018527985
no,0.14556922018527985
sj,0.14556922018527985
ca,0.14532169699668884
ci,0.1450972557067871
pf,0.14378418028354645
mt,0.14131109416484833
la,0.14050915837287903
ht,0.13865911960601807
je,0.13537712395191193
um,0.13528040051460266
us,0.13528040051460266
mv,0.13309773802757263
wf,0.12497442960739136
so,0.1249186098575592
gq,0.11785203218460083
to,0.11524742841720581
gr,0.11278805881738663
gg,0.10821875929832458
ge,0.10361770540475845
li,0.09926745295524597
va,0.09909999370574951
cu,0.0979214757680893
tw,0.09754395484924316
dk,0.0966527983546257
bw,0.09531983733177185
in,0.09143604338169098
ch,0.08765119314193726
bj,0.08117333799600601
cf,0.08053846657276154
pa,0.08010309934616089
rw,0.07910633832216263
kw,0.07724790275096893
fk,0.07563342154026031
fj,0.07480882108211517
hk,0.06997948884963989
ck,0.06497081369161606
io,0.06371176242828369
tv,0.060302428901195526
dz,0.060010526329278946
im,0.057199519127607346
gs,0.05689449608325958
ms,0.053985465317964554
vc,0.05200829356908798
il,0.05106654390692711
tn,0.050625599920749664
my,0.04818813502788544
ws,0.046995874494314194
ad,0.046483419835567474
cg,0.04548795521259308
et,0.044668540358543396
ua,0.044419825077056885
md,0.04023725539445877
do,0.03491102159023285
ug,0.03452146798372269
bb,0.032603152096271515
mp,0.03133675456047058
nz,0.030304543673992157
au,0.029714006930589676
hm,0.029714006930589676
ai,0.027471497654914856
ky,0.027093814685940742
sn,0.02632133476436138
bh,0.02518325299024582
gb-wls,0.02310927025973797
vg,0.022334923967719078
mn,0.02073584869503975
ar,0.020640332251787186
kn,0.02046489156782627
al,0.01769382506608963
nu,0.017405912280082703
gm,0.015367284417152405
pn,0.014982527121901512
tr,0.01455669105052948
mz,0.012590172700583935
gb-sct,0.0053359270095825195
lv,0.005079895257949829
cn,-0.00045048724859952927
tc,-0.0008128851186484098
tf,-0.0015817172825336456
sd,-0.00983111560344696
za,-0.0112263523042202
sz,-0.01315612718462944
tt,-0.015533408150076866
eu,-0.015648631379008293
ma,-0.01602928526699543
sb,-0.01688867062330246
cr,-0.01836751401424408
sy,-0.018782079219818115
aq,-0.020167358219623566
iq,-0.02044692635536194
kg,-0.023344261571764946
bz,-0.0263790525496006
ye,-0.030057400465011597
ag,-0.030986007302999496
ro,-0.0336037315428257
xk,-0.034199099987745285
ba,-0.0403180755674839
be,-0.041504815220832825
zw,-0.04220537841320038
mr,-0.042509809136390686
np,-0.047157179564237595
mk,-0.048433952033519745
eg,-0.05030132830142975
gn,-0.05338123440742493
tl,-0.05501553788781166
rs,-0.06234581768512726
td,-0.0634676069021225
ml,-0.0664333924651146
cm,-0.06795315444469452
mg,-0.06892988830804825
ae,-0.07204551994800568
gb-nir,-0.07309666275978088
gb,-0.07309666275978088
sh,-0.07309666275978088
ee,-0.07311797142028809
qa,-0.0732017457485199
pg,-0.0762375220656395
cw,-0.07962699234485626
me,-0.08335331082344055
vn,-0.08755664527416229
lk,-0.09003837406635284
hu,-0.09384003281593323
uz,-0.0944356918334961
gw,-0.09820953756570816
cd,-0.09822845458984375
gu,-0.10739409178495407
as,-0.10886138677597046
kz,-0.11444155126810074
ao,-0.11483965814113617
es,-0.11977395415306091
tj,-0.12123620510101318
az,-0.12388752400875092
pt,-0.12499885261058807
kp,-0.1269778162240982
tg,-0.1293114870786667
af,-0.1378960758447647
is,-0.14032039046287537
sc,-0.15540575981140137
hr,-0.16165763139724731
tm,-0.17708051204681396
pw,-0.17843757569789886
sa,-0.18448597192764282
ls,-0.1882648915052414
sr,-0.1900278776884079
hn,-0.1961551010608673
na,-0.2007923722267151
sg,-0.20532363653182983
py,-0.2062436044216156
sx,-0.20651386678218842
ni,-0.20657959580421448
mo,-0.2093525528907776
bq,-0.21111628413200378
nl,-0.21111628413200378
cv,-0.21190476417541504
tk,-0.21507619321346283
ly,-0.21971462666988373
nr,-0.22441492974758148
pk,-0.22643956542015076
sv,-0.22742097079753876
br,-0.23379206657409668
ne,-0.23625119030475616
mh,-0.23669648170471191
cx,-0.2408674657344818
lu,-0.26139670610427856
dm,-0.26936033368110657
zm,-0.2720722258090973
sl,-0.2744540870189667
tz,-0.27550992369651794
mu,-0.2828736901283264
mc,-0.2877286672592163
kh,-0.29396066069602966
bd,-0.29978469014167786
se,-0.30582377314567566
id,-0.3134228587150574
vu,-0.3138028383255005
ki,-0.3161405920982361
gy,-0.3193534016609192
bf,-0.3273352086544037
ax,-0.3345067501068115
cc,-0.3526204526424408
er,-0.3956511616706848
ke,-0.4099346101284027
ps,-0.4389176070690155
de,-0.43951013684272766
bo,-0.45905324816703796
eh,-0.4612489342689514
jm,-0.4779660105705261
by,-0.4837842583656311
st,-0.48681747913360596
jo,-0.5079436898231506
gh,-0.5083219408988953
ss,-0.5168322324752808
bs,-0.5509578585624695
ga,-0.6393992900848389
mw,-0.6502184867858887
