Image,Similarity
ml,0.907421350479126
ro,0.8706896305084229
td,0.8509323000907898
ad,0.7847025394439697
be,0.6716217398643494
it,0.6622115969657898
bl,0.6473264098167419
fr,0.6473264098167419
gf,0.6473264098167419
gp,0.6473264098167419
mf,0.6473264098167419
mq,0.6473264098167419
nc,0.6473264098167419
pm,0.6473264098167419
re,0.6473264098167419
yt,0.6473264098167419
md,0.591105580329895
mx,0.5589677095413208
bb,0.5318988561630249
bj,0.4883788228034973
pe,0.48015302419662476
cg,0.47746139764785767
nu,0.45927250385284424
ie,0.42889347672462463
vc,0.42763370275497437
gn,0.41092854738235474
pt,0.40560609102249146
gd,0.39727234840393066
bt,0.3961934745311737
kg,0.3841590881347656
mm,0.36534902453422546
es,0.34012576937675476
va,0.33095940947532654
ng,0.32803875207901
gt,0.32716119289398193
vn,0.3116454482078552
cl,0.3095206022262573
mk,0.30728521943092346
ch,0.2967754006385803
hk,0.2913917899131775
bn,0.285847932100296
st,0.28566765785217285
tn,0.2630329430103302
ec,0.2594287693500519
me,0.25630754232406616
ci,0.24983349442481995
ug,0.2496946156024933
tl,0.24435314536094666
pr,0.23585627973079681
cz,0.23315858840942383
km,0.23301714658737183
lt,0.22487463057041168
ba,0.22210350632667542
cm,0.2205166071653366
mt,0.22026798129081726
cn,0.21674127876758575
sc,0.2108931690454483
tk,0.20798499882221222
zw,0.20337072014808655
co,0.20337000489234924
af,0.2005196064710617
id,0.19740112125873566
je,0.19676946103572845
dk,0.1961599588394165
sg,0.19599685072898865
um,0.19414785504341125
us,0.19414785504341125
ag,0.18559153378009796
ki,0.1853906214237213
cy,0.18500646948814392
gw,0.18071645498275757
at,0.17429392039775848
im,0.1726648211479187
zm,0.17052631080150604
bi,0.16938571631908417
vi,0.1673673689365387
mc,0.1640245020389557
ge,0.1633506417274475
gh,0.1604292392730713
tr,0.16034187376499176
pl,0.16015945374965668
dz,0.15999799966812134
gq,0.15899378061294556
gg,0.1581437736749649
pa,0.15680751204490662
gl,0.1539810746908188
wf,0.15385812520980835
in,0.14689432084560394
ve,0.14261436462402344
lr,0.14158566296100616
ne,0.1369476318359375
do,0.1363891363143921
de,0.13093969225883484
bo,0.12798729538917542
lb,0.12558522820472717
ma,0.12374380230903625
tg,0.11845116317272186
nf,0.11406082659959793
bg,0.11399857699871063
kr,0.11259093880653381
om,0.10982614755630493
kn,0.10905299335718155
lk,0.10418407618999481
ca,0.10158218443393707
ir,0.10069670528173447
to,0.1003977358341217
ua,0.09504628926515579
tw,0.09400413930416107
fo,0.09100373089313507
mu,0.08971238881349564
gb-eng,0.0887451022863388
tj,0.08384381234645844
pf,0.08325285464525223
gy,0.08052068948745728
sz,0.07618530094623566
am,0.07614970207214355
hu,0.07492956519126892
ws,0.06885938346385956
mr,0.06603335589170456
tt,0.06565675139427185
sr,0.06488773226737976
my,0.060535527765750885
bh,0.06032361090183258
cr,0.057862624526023865
rs,0.05697028338909149
aq,0.05445462465286255
sk,0.0534282922744751
kp,0.05342644453048706
th,0.05326060205698013
al,0.046899646520614624
by,0.046440303325653076
ax,0.04419206827878952
cc,0.0414026603102684
lc,0.04092327505350113
gb-wls,0.036761119961738586
la,0.03289029747247696
cf,0.030774541199207306
kw,0.027443721890449524
si,0.02632133476436138
ru,0.02476535364985466
bf,0.02374410256743431
mz,0.022386975586414337
ga,0.02234070934355259
lv,0.020446769893169403
gb-nir,0.018990255892276764
gb,0.018990255892276764
sh,0.018990255892276764
pg,0.015582337975502014
ao,0.008649177849292755
fi,0.008340179920196533
sm,0.006555549800395966
bm,0.004725337028503418
ar,0.004270397126674652
lu,0.00424446165561676
dm,-0.001489780843257904
mw,-0.00408538430929184
sd,-0.004373908042907715
pw,-0.005357034504413605
jm,-0.006038971245288849
vu,-0.006810858845710754
eg,-0.011013384908437729
ye,-0.012643048539757729
bz,-0.016892027109861374
jp,-0.019945278763771057
se,-0.019969727843999863
bs,-0.020418867468833923
gm,-0.022842397913336754
br,-0.023032762110233307
za,-0.02305927872657776
gr,-0.02471914142370224
mv,-0.03132205829024315
ss,-0.031961750239133835
iq,-0.03260945528745651
sy,-0.033844735473394394
bq,-0.03509565815329552
nl,-0.03509565815329552
az,-0.03784910589456558
py,-0.0393044576048851
bv,-0.05027833208441734
no,-0.05027833208441734
sj,-0.05027833208441734
uz,-0.05152081698179245
rw,-0.05701640620827675
ke,-0.05914457142353058
gi,-0.06876921653747559
io,-0.07148683071136475
bw,-0.07759912312030792
as,-0.0802977904677391
sl,-0.08135411888360977
cu,-0.0833071693778038
tz,-0.08337938785552979
fm,-0.08347845822572708
ly,-0.08430954813957214
fj,-0.09236907958984375
ae,-0.09629935026168823
ee,-0.09647589921951294
ps,-0.09952917695045471
hr,-0.10420262813568115
eh,-0.10587678104639053
qa,-0.11009664088487625
uy,-0.11091823875904083
mp,-0.11112883687019348
kh,-0.1151304543018341
il,-0.11570568382740021
jo,-0.11811139434576035
mg,-0.11857426911592484
mo,-0.11981739103794098
er,-0.12484419345855713
bd,-0.12760797142982483
ls,-0.13213646411895752
dj,-0.14487946033477783
sa,-0.1502813696861267
et,-0.1588296890258789
ht,-0.15950852632522583
kz,-0.1681705117225647
na,-0.17255893349647522
sx,-0.176030233502388
aw,-0.17901870608329773
gb-sct,-0.18120399117469788
hn,-0.20510908961296082
ni,-0.20666435360908508
li,-0.21388009190559387
pk,-0.22804170846939087
xk,-0.2339993268251419
ph,-0.23441338539123535
sv,-0.23503491282463074
is,-0.23544128239154816
cx,-0.2366694211959839
cv,-0.25974372029304504
cd,-0.27615028619766235
mh,-0.2880610227584839
so,-0.29513412714004517
sb,-0.30402252078056335
cw,-0.3167254626750946
tv,-0.31696033477783203
ck,-0.3308328092098236
np,-0.3332447111606598
tm,-0.3491978049278259
tc,-0.3655552566051483
pn,-0.36636343598365784
gs,-0.36913713812828064
