Image,Similarity
fm,0.7939049005508423
ni,0.6816707253456116
kz,0.6684987545013428
aw,0.6406264305114746
gb-sct,0.6400227546691895
ar,0.6375266909599304
tv,0.6105931997299194
fj,0.5916484594345093
hn,0.588487982749939
gt,0.5652813911437988
xk,0.5580325126647949
sv,0.5558017492294312
sl,0.551676869392395
gr,0.5407298803329468
uz,0.5053260326385498
il,0.5021587610244751
ng,0.47690099477767944
dj,0.4600653350353241
mp,0.45853230357170105
uy,0.4551911950111389
sm,0.4542648196220398
pw,0.4425166845321655
mo,0.4402734637260437
aq,0.4219352900981903
lu,0.41795143485069275
cd,0.40167585015296936
bw,0.3987596929073334
gu,0.3974289000034332
lc,0.38487333059310913
ie,0.3752742111682892
eu,0.35185015201568604
cv,0.3418431878089905
as,0.3397544026374817
mn,0.336351215839386
bz,0.326961874961853
ls,0.32496610283851624
it,0.316878080368042
cu,0.3162667751312256
fi,0.3161837160587311
cx,0.31307241320610046
bq,0.30132827162742615
nl,0.30132827162742615
ci,0.3002508878707886
nf,0.2986316978931427
cy,0.291822612285614
mh,0.2887469530105591
tf,0.2791413962841034
io,0.2689904570579529
rw,0.26392823457717896
bl,0.2584238350391388
fr,0.2584238350391388
gf,0.2584238350391388
gp,0.2584238350391388
mf,0.2584238350391388
mq,0.2584238350391388
nc,0.2584238350391388
pm,0.2584238350391388
re,0.2584238350391388
yt,0.2584238350391388
fo,0.2506384551525116
nr,0.2506290078163147
ae,0.24567481875419617
bs,0.24050107598304749
py,0.2387058585882187
ps,0.23561877012252808
is,0.23119941353797913
sb,0.2275562882423401
mx,0.22216492891311646
kr,0.21701809763908386
hu,0.21667422354221344
hr,0.19086235761642456
az,0.19040228426456451
dz,0.18793796002864838
pa,0.1873609870672226
kw,0.1841999739408493
vi,0.18061292171478271
um,0.17128950357437134
us,0.17128950357437134
ga,0.17076559364795685
eh,0.16612255573272705
fk,0.16205450892448425
je,0.15873047709465027
ck,0.15729263424873352
ms,0.15004971623420715
do,0.14503444731235504
ai,0.13503482937812805
nz,0.13473890721797943
cw,0.1324588656425476
ee,0.13211190700531006
au,0.1316014528274536
hm,0.1316014528274536
se,0.1308867186307907
bi,0.12847214937210083
si,0.1249186098575592
ky,0.12262703478336334
kh,0.12245208024978638
cr,0.12175288051366806
ca,0.11605708301067352
jo,0.11259885877370834
jp,0.10782968997955322
gs,0.10343383252620697
tc,0.10048047453165054
ir,0.0989927351474762
vg,0.09560299664735794
pl,0.09167289733886719
pn,0.09082082659006119
sg,0.090654656291008
lr,0.09005729109048843
tj,0.08468692004680634
sd,0.07671007513999939
la,0.07541650533676147
gb-eng,0.07536377012729645
sa,0.07066395878791809
gl,0.06841010600328445
mt,0.06732498109340668
ye,0.06518696248531342
ru,0.06418504565954208
cl,0.04875696450471878
cz,0.046213142573833466
gg,0.04609820619225502
sy,0.042416930198669434
mc,0.04236146807670593
np,0.04213792830705643
km,0.04091668128967285
pr,0.03392433375120163
bg,0.02900119125843048
rs,0.028006315231323242
in,0.025746598839759827
za,0.024680521339178085
ht,0.01915319263935089
pe,0.01883353292942047
at,0.016940385103225708
th,0.012337863445281982
pk,0.010890096426010132
iq,0.010667596012353897
na,0.005710601806640625
sk,0.0014526303857564926
eg,-0.001705951988697052
gq,-0.005696594715118408
pf,-0.011514827609062195
va,-0.013335464522242546
lb,-0.02624308317899704
ua,-0.029709339141845703
et,-0.04083571210503578
gb-nir,-0.042450372129678726
gb,-0.042450372129678726
sh,-0.042450372129678726
ph,-0.04323650896549225
sr,-0.04909896478056908
tm,-0.05155711621046066
ne,-0.05419088527560234
ki,-0.06522133946418762
lv,-0.07150435447692871
gy,-0.07202767580747604
id,-0.07285891473293304
ge,-0.07442252337932587
ba,-0.08219949901103973
ax,-0.09051073342561722
cf,-0.09129063785076141
ag,-0.09147290885448456
tz,-0.09584234654903412
dk,-0.09928887337446213
mg,-0.10130839049816132
my,-0.10372109711170197
mm,-0.10472168028354645
bv,-0.10632527619600296
no,-0.10632527619600296
sj,-0.10632527619600296
jm,-0.11813919246196747
om,-0.12026093900203705
sx,-0.1278139054775238
dm,-0.13474322855472565
mr,-0.13600963354110718
sz,-0.13629624247550964
bd,-0.14541518688201904
kp,-0.14597152173519135
ss,-0.14658431708812714
