Image,Similarity
cr,0.5964215993881226
cu,0.43585634231567383
zw,0.3836698532104492
er,0.38089314103126526
th,0.35767072439193726
sc,0.3492851257324219
gy,0.3388180732727051
tg,0.3267555236816406
az,0.32478201389312744
om,0.31155499815940857
bd,0.30961576104164124
ug,0.2942681610584259
jm,0.27090808749198914
mw,0.2581634819507599
gb-nir,0.23915249109268188
gb,0.23915249109268188
sh,0.23915249109268188
gg,0.2359447479248047
by,0.23007875680923462
de,0.2231673002243042
kp,0.22308944165706635
kh,0.22025001049041748
st,0.21996617317199707
ga,0.20457448065280914
bs,0.18995484709739685
ax,0.18497741222381592
gb-eng,0.18208275735378265
ke,0.17277276515960693
ge,0.17077046632766724
vn,0.16463744640350342
ee,0.16086700558662415
mk,0.16002190113067627
um,0.15513232350349426
us,0.15513232350349426
ca,0.15503567457199097
cn,0.1529838740825653
pr,0.14970612525939941
pw,0.14141124486923218
cg,0.14070312678813934
tk,0.1399233639240265
kg,0.13575361669063568
td,0.13457460701465607
ro,0.1312149316072464
uy,0.12935197353363037
ml,0.127818763256073
pe,0.12676005065441132
be,0.1266610324382782
gn,0.1237211525440216
tw,0.12326250970363617
gb-sct,0.12125896662473679
fo,0.11602956801652908
na,0.1157880648970604
gb-wls,0.11293694376945496
km,0.11223083734512329
va,0.11143038421869278
tr,0.10974603146314621
cv,0.10210441052913666
bt,0.10146695375442505
sz,0.10094296187162399
mz,0.09841106832027435
cy,0.09724331647157669
im,0.09570415318012238
xk,0.09554387629032135
id,0.09547516703605652
se,0.09466753900051117
es,0.09401946514844894
tl,0.0909636989235878
bh,0.09024491906166077
ad,0.08790791034698486
sg,0.08686978369951248
pt,0.08520126342773438
cm,0.08469781279563904
dm,0.08293008804321289
ki,0.08177116513252258
cd,0.08145210146903992
mc,0.07904050499200821
jp,0.07834316045045853
gl,0.07826061546802521
br,0.07651904225349426
mp,0.07474130392074585
to,0.07468270510435104
cl,0.07454681396484375
ch,0.07452800869941711
pl,0.0744943842291832
mx,0.07391447573900223
mt,0.07275403290987015
ss,0.06899158656597137
bl,0.06892755627632141
fr,0.06892755627632141
gf,0.06892755627632141
gp,0.06892755627632141
mf,0.06892755627632141
mq,0.06892755627632141
nc,0.06892755627632141
pm,0.06892755627632141
re,0.06892755627632141
yt,0.06892755627632141
bj,0.06829090416431427
ma,0.06783963739871979
aq,0.06688515096902847
wf,0.06647168844938278
md,0.06616785377264023
sn,0.06488773226737976
nu,0.06475158035755157
qa,0.0642453134059906
me,0.06344547867774963
ws,0.06333330273628235
bf,0.06328266859054565
lk,0.062259942293167114
pk,0.05995341017842293
rw,0.05591244623064995
bw,0.05587484687566757
hk,0.05580700561404228
it,0.05517445504665375
ao,0.05387144535779953
je,0.053349025547504425
mu,0.05302790552377701
af,0.052841782569885254
ci,0.0515671968460083
ie,0.05032527074217796
tn,0.048441894352436066
mh,0.04109470173716545
gw,0.036606770008802414
ba,0.03629397228360176
vc,0.034999191761016846
bi,0.034959618002176285
gd,0.03436246141791344
gt,0.02981308102607727
ng,0.028396129608154297
il,0.02776242047548294
np,0.026256848126649857
sm,0.024083130061626434
is,0.023337416350841522
dz,0.02285173162817955
bb,0.021622193977236748
my,0.021451011300086975
dj,0.021301977336406708
bn,0.01919672079384327
mg,0.018334684893488884
vu,0.016664154827594757
as,0.013798236846923828
ua,0.013028539717197418
cz,0.011672336608171463
fi,0.009831424802541733
li,0.009806441143155098
kn,0.00797443836927414
ar,0.00596170499920845
uz,-0.0008871033787727356
kz,-0.004703264683485031
pg,-0.008572297170758247
bm,-0.009316752664744854
vi,-0.016097506508231163
zm,-0.01612614095211029
pf,-0.016549982130527496
bz,-0.017098620533943176
cw,-0.018312683328986168
dk,-0.019238993525505066
al,-0.021190110594034195
sa,-0.02730921283364296
ht,-0.027344148606061935
cf,-0.02784779481589794
gi,-0.02798617072403431
cx,-0.03217366337776184
mo,-0.033197276294231415
sb,-0.036030612885951996
tz,-0.03611605241894722
rs,-0.03789931908249855
lc,-0.038718901574611664
kr,-0.04001390188932419
gh,-0.0401010662317276
nr,-0.0454254075884819
so,-0.04909896478056908
cc,-0.05039677023887634
ag,-0.05086536705493927
sx,-0.05224248021841049
pa,-0.05269321799278259
bo,-0.05661563575267792
fm,-0.058412160724401474
jo,-0.06059252843260765
sk,-0.062407176941633224
sl,-0.06354109942913055
ph,-0.06607512384653091
tt,-0.06706438958644867
ni,-0.06790873408317566
do,-0.06812943518161774
ru,-0.08103784918785095
mm,-0.08422543108463287
gu,-0.08990944921970367
lr,-0.09329821914434433
tm,-0.09387633949518204
lu,-0.09741152822971344
ne,-0.1005915030837059
co,-0.10130558162927628
nf,-0.10143065452575684
et,-0.10246030986309052
fj,-0.10282230377197266
hr,-0.10547509789466858
mn,-0.10817050188779831
lb,-0.11009152978658676
bv,-0.11013268679380417
no,-0.11013268679380417
sj,-0.11013268679380417
aw,-0.11045648157596588
lv,-0.11306452751159668
tf,-0.11596235632896423
ky,-0.11650148779153824
ec,-0.11768026649951935
sv,-0.12065823376178741
ir,-0.12424111366271973
ck,-0.1262190341949463
fk,-0.12751558423042297
vg,-0.12877321243286133
ly,-0.13406656682491302
hn,-0.13453543186187744
ls,-0.13529592752456665
tj,-0.1380470097064972
bg,-0.13806991279125214
eu,-0.14406542479991913
gs,-0.14646153151988983
au,-0.14817631244659424
hm,-0.14817631244659424
ve,-0.1485227346420288
tc,-0.14875614643096924
lt,-0.15071967244148254
gr,-0.15163418650627136
in,-0.151655912399292
pn,-0.15183396637439728
eh,-0.15532907843589783
za,-0.15546151995658875
ps,-0.15832111239433289
nz,-0.1603551059961319
ai,-0.16120097041130066
ae,-0.16212715208530426
ms,-0.16601726412773132
kw,-0.17272932827472687
io,-0.1765010952949524
gq,-0.18082523345947266
py,-0.18092763423919678
hu,-0.1824008822441101
tv,-0.18331626057624817
bq,-0.18532243371009827
nl,-0.18532243371009827
si,-0.1900278776884079
at,-0.20591434836387634
eg,-0.21304374933242798
gm,-0.21614953875541687
sd,-0.21870718896389008
sy,-0.21948188543319702
ye,-0.22006100416183472
am,-0.22355270385742188
iq,-0.23296725749969482
la,-0.2846388518810272
mr,-0.337275892496109
mv,-0.41708213090896606
