Image,Similarity
ke,0.7557158470153809
mw,0.5775724053382874
by,0.4332696199417114
de,0.42918360233306885
jm,0.4029618203639984
bs,0.3814241588115692
jo,0.3777161240577698
bd,0.36613357067108154
ls,0.3612648844718933
st,0.3583890497684479
eh,0.3548945188522339
cc,0.3389050364494324
ps,0.31323760747909546
kh,0.3035760521888733
tj,0.30111730098724365
mh,0.29859980940818787
vu,0.2958819270133972
ao,0.29551151394844055
cw,0.29451504349708557
zm,0.28780999779701233
er,0.28639447689056396
pg,0.27718499302864075
tk,0.2650986909866333
qa,0.258967787027359
sa,0.2587587833404541
gh,0.25846144556999207
gu,0.2544192969799042
na,0.2519350051879883
mz,0.24902701377868652
dm,0.2415277659893036
pk,0.23993507027626038
bo,0.2387399673461914
sb,0.23862874507904053
cv,0.22953584790229797
nr,0.22821034491062164
pt,0.22144851088523865
gm,0.22010645270347595
af,0.21628431975841522
cx,0.2131168097257614
bf,0.20746885240077972
tc,0.20388728380203247
gy,0.20326825976371765
ws,0.1996835172176361
ax,0.19661128520965576
gb-nir,0.19653187692165375
gb,0.19653187692165375
sh,0.19653187692165375
ga,0.19534219801425934
az,0.1941831260919571
ai,0.19122695922851562
mu,0.18996647000312805
ky,0.18747003376483917
pn,0.18536904454231262
vg,0.1845903843641281
nz,0.1843148171901703
sx,0.18142105638980865
cm,0.17768844962120056
au,0.1732102632522583
hm,0.1732102632522583
ly,0.17001201212406158
me,0.16955840587615967
mo,0.16903793811798096
gs,0.1689251959323883
as,0.16837948560714722
ne,0.16815316677093506
eu,0.1667536199092865
kp,0.16624200344085693
li,0.16459697484970093
ms,0.1577562838792801
fk,0.14952710270881653
tr,0.14568598568439484
kn,0.14056488871574402
ae,0.13945837318897247
ck,0.13378581404685974
tw,0.1334528625011444
br,0.13142399489879608
tz,0.12959733605384827
tg,0.12847180664539337
bz,0.12364622950553894
es,0.1220051497220993
is,0.12107300758361816
ma,0.12052317708730698
zw,0.11989153921604156
hr,0.11794836819171906
sv,0.11703269183635712
tm,0.11263918876647949
hn,0.11229420453310013
tf,0.11043871939182281
xk,0.10935207456350327
tl,0.10758867859840393
ag,0.10614435374736786
td,0.10599426925182343
eg,0.09931600838899612
cn,0.0969596803188324
bh,0.09491592645645142
sy,0.09456115961074829
be,0.09330733120441437
tt,0.09248446673154831
aq,0.09179769456386566
cr,0.09040571749210358
gb-wls,0.08944648504257202
iq,0.08827654272317886
se,0.08664677292108536
to,0.0852295532822609
im,0.08424830436706543
ug,0.080901600420475
ro,0.08050744980573654
vn,0.0791626125574112
ht,0.07839402556419373
np,0.07304723560810089
ye,0.07290298491716385
cf,0.07117664813995361
al,0.07070101797580719
sd,0.069298155605793
sr,0.06899158656597137
sl,0.06276082247495651
ad,0.062271468341350555
ni,0.06000866740942001
bq,0.05636409670114517
nl,0.05636409670114517
ph,0.05569162219762802
tn,0.052033983170986176
bm,0.051506198942661285
lk,0.05021730437874794
bj,0.04618387296795845
cd,0.045802079141139984
my,0.045423127710819244
py,0.043943531811237335
ml,0.043838974088430405
bb,0.039645105600357056
et,0.031701065599918365
sc,0.030126720666885376
ki,0.02486373856663704
id,0.02461066097021103
kg,0.02451186627149582
kz,0.02409495785832405
mp,0.023801229894161224
gb-sct,0.022458702325820923
rw,0.01905781403183937
io,0.017527062445878983
uz,0.01713826134800911
ua,0.014536984264850616
ba,0.013156519271433353
cu,0.012353423982858658
ir,0.01135699450969696
cg,0.008980706334114075
mk,0.007553376257419586
mg,0.007036250084638596
mr,0.00632709264755249
mn,0.005338229238986969
hu,0.004357371479272842
mc,-0.00045255571603775024
hk,-0.0025282464921474457
pf,-0.0033950787037611008
la,-0.003592854365706444
lu,-0.0063727498054504395
lr,-0.00832007359713316
il,-0.012636199593544006
pr,-0.012862585484981537
kw,-0.020709145814180374
md,-0.021593816578388214
ee,-0.022593200206756592
am,-0.03085804544389248
sn,-0.031961750239133835
lv,-0.03242344409227371
om,-0.033064715564250946
nu,-0.036907002329826355
pw,-0.04130196198821068
sz,-0.04503899812698364
in,-0.046498920768499374
bi,-0.05151434242725372
gq,-0.052525755017995834
gw,-0.05458351969718933
bv,-0.056271761655807495
no,-0.056271761655807495
