Image,Similarity
cn,0.9034866690635681
me,0.816057026386261
vn,0.8146275281906128
kg,0.8110687136650085
ma,0.8109356164932251
tr,0.7645249366760254
al,0.7311341166496277
im,0.7080904245376587
wf,0.6944041848182678
mk,0.689879834651947
to,0.6867280602455139
es,0.6855546832084656
pt,0.6693632006645203
hk,0.6669474840164185
qa,0.6637017130851746
tn,0.6487331986427307
tw,0.6413205862045288
bh,0.6342632174491882
lk,0.6076797842979431
ws,0.5633087158203125
bm,0.523793637752533
ch,0.5215770602226257
cm,0.5009442567825317
de,0.4854815602302551
lv,0.437990665435791
ao,0.4371221363544464
dk,0.4332713782787323
by,0.4203947186470032
td,0.4141257405281067
tt,0.408939003944397
at,0.40803220868110657
bt,0.3991602659225464
ml,0.39876848459243774
md,0.3976115584373474
gh,0.39681029319763184
kp,0.39439162611961365
pg,0.3856247067451477
ug,0.3686351776123047
bo,0.3678581118583679
zw,0.36606138944625854
ro,0.365815132856369
gi,0.3574383556842804
nu,0.35692548751831055
mw,0.34829193353652954
be,0.3354335427284241
bj,0.3301510810852051
ec,0.3255000114440918
sx,0.3224947452545166
af,0.32181334495544434
id,0.30574485659599304
gd,0.3036816716194153
co,0.30116504430770874
gn,0.29553043842315674
cg,0.29377901554107666
ad,0.2936145067214966
am,0.2879531979560852
pf,0.2857618033885956
er,0.28516674041748047
mm,0.2789120674133301
lt,0.2758313715457916
sc,0.2749934196472168
ve,0.27198076248168945
li,0.2663368582725525
mt,0.2626844644546509
eg,0.255997896194458
gb-wls,0.25208842754364014
vc,0.24758973717689514
sd,0.24641366302967072
bv,0.2450927495956421
no,0.2450927495956421
sj,0.2450927495956421
sn,0.24435314536094666
ge,0.23900364339351654
ki,0.2389475405216217
ye,0.22698181867599487
bn,0.22191855311393738
vu,0.2218177616596222
gq,0.2184762954711914
iq,0.21797339618206024
ke,0.2175670713186264
sy,0.20871451497077942
lb,0.20740288496017456
bf,0.2013033777475357
mc,0.19716721773147583
gl,0.19117721915245056
pl,0.18996256589889526
la,0.1879255175590515
sg,0.18551167845726013
mu,0.18228331208229065
gb-nir,0.18157947063446045
gb,0.18157947063446045
sh,0.18157947063446045
cf,0.18139271438121796
ph,0.18118759989738464
bi,0.17699448764324188
mv,0.17535194754600525
bd,0.1718931645154953
my,0.16224049031734467
mg,0.1567818522453308
cl,0.15633800625801086
ly,0.155632883310318
kn,0.15362408757209778
pe,0.15167947113513947
lr,0.14915117621421814
rs,0.14691121876239777
tj,0.1459391713142395
tk,0.14565354585647583
ht,0.14502352476119995
tg,0.1413688361644745
gg,0.1366422474384308
ir,0.133666530251503
ne,0.13324496150016785
hu,0.1313581019639969
va,0.12379751354455948
ax,0.11518584191799164
gm,0.11108212172985077
ss,0.10758867859840393
pr,0.10753954946994781
hr,0.106597900390625
sz,0.10352475941181183
st,0.09977687895298004
kh,0.09859088063240051
cz,0.09513387084007263
sr,0.0909636989235878
kw,0.08879488706588745
bb,0.0871349573135376
om,0.08365269750356674
sk,0.0781884714961052
do,0.07350732386112213
gb-eng,0.07196082174777985
ag,0.06594762206077576
km,0.06375608593225479
gw,0.06270961463451385
bq,0.062171414494514465
nl,0.062171414494514465
np,0.05984475836157799
py,0.055329397320747375
in,0.05381704494357109
um,0.05288548767566681
us,0.05288548767566681
je,0.05055278539657593
jm,0.04211195558309555
zm,0.03898940980434418
jp,0.03874451667070389
dm,0.03675498813390732
mz,0.03516963869333267
ca,0.026746660470962524
cr,0.025158412754535675
na,0.023658502846956253
ba,0.023399759083986282
et,0.019675418734550476
mr,-0.001707412302494049
bl,-0.02529924362897873
fr,-0.02529924362897873
gf,-0.02529924362897873
gp,-0.02529924362897873
mf,-0.02529924362897873
mq,-0.02529924362897873
nc,-0.02529924362897873
pm,-0.02529924362897873
re,-0.02529924362897873
yt,-0.02529924362897873
pa,-0.03212609142065048
ua,-0.03789195418357849
th,-0.039317239075899124
eh,-0.04115023836493492
as,-0.04990631341934204
si,-0.05501553788781166
