Image,Similarity
cc,0.6414070725440979
sa,0.5388917326927185
zm,0.4923771917819977
pk,0.4309639632701874
mn,0.3971341848373413
nr,0.3920300602912903
eu,0.38751429319381714
tz,0.3868657052516937
gu,0.3736741840839386
sb,0.37090522050857544
cx,0.35505640506744385
mo,0.3478063941001892
cw,0.3448430299758911
nz,0.34438642859458923
au,0.33028024435043335
hm,0.33028024435043335
ms,0.32444751262664795
ly,0.3222499489784241
vg,0.3182350993156433
pn,0.30993983149528503
gs,0.3028944432735443
br,0.2968398630619049
tc,0.29102230072021484
ky,0.28785440325737
ck,0.26054179668426514
ai,0.2600650489330292
fk,0.2560093402862549
jm,0.24410778284072876
mr,0.22742153704166412
kz,0.22605085372924805
vu,0.22168709337711334
mz,0.21808429062366486
et,0.2158423662185669
gw,0.20983299612998962
mv,0.1999441385269165
tf,0.19800367951393127
tv,0.19381296634674072
ke,0.1880216747522354
st,0.18651536107063293
mh,0.17387205362319946
tg,0.16840502619743347
rw,0.1680123209953308
gy,0.1634955108165741
dm,0.15918222069740295
bs,0.1535676121711731
kn,0.13211941719055176
na,0.1305994689464569
ao,0.12314917147159576
ss,0.11263918876647949
dj,0.11153779923915863
mw,0.11080221086740494
jo,0.10654596239328384
li,0.09573189914226532
bf,0.0956069603562355
ee,0.0952594131231308
xk,0.09519398957490921
za,0.09411368519067764
pg,0.08867256343364716
cv,0.08823037892580032
lt,0.0820951759815216
cd,0.08067259937524796
bd,0.0737084224820137
np,0.07146899402141571
ga,0.06760144233703613
zw,0.06472351402044296
eh,0.06354212760925293
ae,0.05718522518873215
se,0.05470436066389084
mu,0.04856034368276596
ps,0.0460708849132061
az,0.0434035025537014
gm,0.03839818015694618
gh,0.02988482639193535
pw,0.027275659143924713
bo,0.023037660866975784
ag,0.021275732666254044
ua,0.013376139104366302
mg,0.0014940109103918076
ph,-0.0015320703387260437
sx,-0.0017847567796707153
ls,-0.0024001039564609528
aw,-0.007001444697380066
bw,-0.011993460357189178
mp,-0.013961993157863617
by,-0.0167391300201416
sz,-0.023313773795962334
de,-0.027798600494861603
bz,-0.02883826196193695
sv,-0.02916211634874344
ve,-0.03183760121464729
tt,-0.03217339143157005
ht,-0.034150440245866776
am,-0.03468494862318039
ug,-0.045924022793769836
uz,-0.04625881835818291
sl,-0.04780448228120804
so,-0.05155711621046066
gn,-0.054918594658374786
is,-0.057806797325611115
kh,-0.06272108852863312
tk,-0.06361261010169983
bg,-0.06361329555511475
er,-0.07015538960695267
om,-0.0734531581401825
hn,-0.07417932897806168
ni,-0.07477960735559464
ax,-0.07483835518360138
cu,-0.07826009392738342
la,-0.0803370550274849
qa,-0.08449310064315796
bb,-0.08786635100841522
sy,-0.08858884871006012
al,-0.09326785802841187
sr,-0.09387633949518204
co,-0.0950005054473877
io,-0.09518317133188248
iq,-0.09566333144903183
aq,-0.10326534509658813
fi,-0.10345876216888428
gb-wls,-0.11347310990095139
vc,-0.11751820147037506
