Image,Similarity
hk,0.7775106430053711
me,0.7327319979667664
kg,0.7321242094039917
cn,0.7051345705986023
vn,0.6948292851448059
ch,0.6786792278289795
im,0.6782113909721375
tl,0.6487331986427307
ma,0.617344319820404
es,0.5874813199043274
mk,0.5818774104118347
wf,0.5804172158241272
tr,0.5766263604164124
al,0.525444507598877
at,0.5055357813835144
qa,0.482666552066803
lv,0.47179001569747925
pt,0.4682294428348541
tw,0.46678149700164795
dk,0.46483278274536133
lk,0.4482633173465729
to,0.43345728516578674
ws,0.42237359285354614
be,0.40390151739120483
bi,0.39081233739852905
mm,0.38426998257637024
bt,0.38299036026000977
bh,0.3802562355995178
la,0.37743139266967773
td,0.37427818775177
bm,0.3599328398704529
ro,0.3564825654029846
ao,0.35362768173217773
pe,0.3483086824417114
ug,0.3423648476600647
sd,0.3332209289073944
ye,0.32988888025283813
pf,0.32826486229896545
eg,0.322123646736145
tt,0.307984322309494
ad,0.30361831188201904
ml,0.30306142568588257
lb,0.3017333149909973
de,0.299324631690979
sy,0.2962932884693146
id,0.2935490608215332
iq,0.29187899827957153
gn,0.28712207078933716
bl,0.2868894338607788
fr,0.2868894338607788
gf,0.2868894338607788
gp,0.2868894338607788
mf,0.2868894338607788
mq,0.2868894338607788
nc,0.2868894338607788
pm,0.2868894338607788
re,0.2868894338607788
yt,0.2868894338607788
ki,0.2835988402366638
gq,0.2815347909927368
hu,0.28007271885871887
tj,0.27935755252838135
by,0.272483229637146
af,0.2691723108291626
ag,0.26791322231292725
am,0.2674749195575714
bv,0.26671847701072693
no,0.26671847701072693
sj,0.26671847701072693
sn,0.2630329430103302
ec,0.25915440917015076
cm,0.25613290071487427
ir,0.2504156231880188
bo,0.249406635761261
pg,0.2479761838912964
nu,0.24669770896434784
co,0.24628469347953796
cg,0.24541012942790985
pr,0.2433260977268219
kh,0.24065662920475006
cl,0.23933735489845276
ve,0.23502260446548462
gh,0.2337811440229416
md,0.23142991960048676
pl,0.2270851731300354
gd,0.22706007957458496
gl,0.22310498356819153
kw,0.2223554253578186
bq,0.22211168706417084
nl,0.22211168706417084
mc,0.22105538845062256
do,0.21739378571510315
kp,0.2160668522119522
sg,0.21446487307548523
mw,0.20404918491840363
ht,0.20326271653175354
bj,0.20113688707351685
lr,0.19352661073207855
li,0.19128622114658356
sz,0.18924224376678467
it,0.18684121966362
mt,0.18362076580524445
py,0.17817771434783936
hr,0.17628541588783264
mv,0.1762261986732483
my,0.17541372776031494
zw,0.1739743947982788
cz,0.16757570207118988
sc,0.1673814207315445
as,0.16384123265743256
um,0.15667536854743958
us,0.15667536854743958
gm,0.15382423996925354
lt,0.1523737907409668
sx,0.15012423694133759
bn,0.150032639503479
bz,0.14198045432567596
ke,0.13968385756015778
ci,0.1367877572774887
jo,0.13599607348442078
vc,0.1357298493385315
in,0.13109982013702393
gb-nir,0.1267457902431488
gb,0.1267457902431488
sh,0.1267457902431488
ne,0.12313002347946167
tk,0.12246453762054443
gb-wls,0.12235599011182785
ge,0.12163140624761581
bf,0.11742718517780304
va,0.1173935979604721
tg,0.10673929005861282
mu,0.09971758723258972
gi,0.09951011091470718
km,0.09832985699176788
rs,0.09707280248403549
sk,0.09378845989704132
ph,0.09173859655857086
mx,0.08901843428611755
cf,0.07722070813179016
er,0.07375278323888779
ps,0.07142889499664307
lu,0.07138824462890625
eh,0.06879221647977829
ie,0.0606631264090538
vu,0.05941693112254143
et,0.058209873735904694
aq,0.057589512318372726
ly,0.05512893572449684
bb,0.0548095703125
bd,0.05397954210639
ss,0.052033983170986176
ae,0.0507705956697464
si,0.050625599920749664
sr,0.048441894352436066
pa,0.04538325220346451
ba,0.04275111109018326
gw,0.04003789275884628
gg,0.03777569532394409
np,0.028104552999138832
je,0.027318216860294342
ax,0.020385097712278366
th,-0.0008963532745838165
om,-0.00440555065870285
mr,-0.006639532744884491
is,-0.012492720037698746
za,-0.01263755839318037
gb-eng,-0.013539120554924011
kn,-0.015977950766682625
gy,-0.01762351393699646
na,-0.018250400200486183
ru,-0.020364295691251755
cr,-0.02485092356801033
mg,-0.027873851358890533
ng,-0.032531365752220154
jm,-0.03862541913986206
st,-0.045731522142887115
bg,-0.04603661224246025
ua,-0.04766272008419037
hn,-0.05352834612131119
mz,-0.06607070565223694
cu,-0.07526573538780212
fo,-0.07795921713113785
cy,-0.08249720931053162
io,-0.08280635625123978
il,-0.09825675189495087
zm,-0.106843501329422
gt,-0.11721771955490112
ls,-0.12988336384296417
vi,-0.13097968697547913
dz,-0.13393434882164001
ck,-0.134439155459404
pk,-0.1348295509815216
mh,-0.14006268978118896
cv,-0.14582538604736328
ca,-0.14630958437919617
se,-0.1489589810371399
au,-0.1509997397661209
hm,-0.1509997397661209
uy,-0.15251459181308746
gb-sct,-0.15370047092437744
gs,-0.1538127362728119
tc,-0.1545061618089676
dm,-0.15562981367111206
mp,-0.15888047218322754
uz,-0.16334253549575806
vg,-0.16394910216331482
pn,-0.16436539590358734
nz,-0.16512270271778107
ky,-0.16894645988941193
ga,-0.17042496800422668
sl,-0.17131328582763672
sv,-0.17158925533294678
ar,-0.17439746856689453
ai,-0.17852173745632172
az,-0.1935584545135498
bs,-0.1983708292245865
fk,-0.20179148018360138
ms,-0.2021351009607315
tf,-0.20463749766349792
gu,-0.20485509932041168
jp,-0.20547199249267578
mn,-0.20870521664619446
fj,-0.21229898929595947
ni,-0.21544957160949707
nf,-0.21658679842948914
gr,-0.22233939170837402
cw,-0.22260397672653198
br,-0.2322157919406891
kr,-0.24404309689998627
nr,-0.25282853841781616
rw,-0.2531172037124634
mo,-0.2545785903930664
fi,-0.25484490394592285
cc,-0.2589932680130005
xk,-0.25917622447013855
dj,-0.27941858768463135
cd,-0.2801342308521271
cx,-0.29081839323043823
sb,-0.2948864698410034
sa,-0.2994688153266907
tz,-0.31897976994514465
sm,-0.3367534875869751
ee,-0.33923810720443726
pw,-0.3468801975250244
lc,-0.34782856702804565
bw,-0.3481324315071106
eu,-0.34898748993873596
fm,-0.3619214594364166
tm,-0.3657454550266266
aw,-0.3686714172363281
so,-0.3750074505805969
tv,-0.42221298813819885
kz,-0.6033109426498413
