Image,Similarity
cn,0.6993023753166199
tw,0.6879919767379761
tl,0.6867280602455139
bh,0.6656566858291626
tr,0.6492818593978882
ma,0.6432663798332214
me,0.6042633056640625
qa,0.6004087924957275
al,0.5992414951324463
wf,0.5729275941848755
vn,0.5725434422492981
ws,0.5639477968215942
kg,0.5610196590423584
bm,0.5530905723571777
im,0.5195414423942566
pt,0.5164082050323486
lk,0.47019925713539124
mk,0.46646934747695923
es,0.4521154761314392
gi,0.44090479612350464
hk,0.43649905920028687
ao,0.434658944606781
tn,0.43345728516578674
cm,0.379546582698822
kp,0.3591115176677704
zw,0.3497084379196167
pg,0.34602683782577515
mt,0.33734163641929626
tt,0.33585113286972046
dk,0.3259897232055664
li,0.3256677985191345
by,0.3237479627132416
pl,0.3214389681816101
de,0.3158700466156006
ve,0.2879136800765991
mg,0.2832587957382202
ph,0.2826760411262512
co,0.28097042441368103
md,0.27956104278564453
sx,0.2765690088272095
lv,0.27151384949684143
sc,0.26672255992889404
lt,0.2636070251464844
ec,0.2625844478607178
ch,0.2594582140445709
bn,0.258746862411499
cf,0.25730258226394653
td,0.2516295909881592
kn,0.24827855825424194
ug,0.24202218651771545
ml,0.24104905128479004
gh,0.23864105343818665
bj,0.23434169590473175
mw,0.233161062002182
om,0.23196712136268616
ge,0.23108536005020142
gb-wls,0.23032207787036896
ro,0.22974893450737
bv,0.22101914882659912
no,0.22101914882659912
sj,0.22101914882659912
nu,0.21251405775547028
at,0.20688724517822266
bo,0.2040397673845291
ad,0.20246079564094543
gd,0.19707000255584717
am,0.1945357620716095
ke,0.19203099608421326
er,0.18544040620326996
ht,0.18279075622558594
bt,0.18122407793998718
sk,0.18112415075302124
eg,0.17862938344478607
cz,0.1785082221031189
bd,0.17306840419769287
pf,0.16945883631706238
gb-nir,0.16838712990283966
gb,0.16838712990283966
sh,0.16838712990283966
iq,0.16817724704742432
pa,0.16490578651428223
af,0.1496097594499588
sy,0.14225152134895325
ly,0.14137689769268036
ye,0.13954585790634155
sd,0.13132557272911072
cl,0.13034451007843018
vc,0.1291881799697876
ru,0.12891660630702972
mv,0.12494177371263504
gg,0.1237303614616394
vu,0.12135478854179382
mm,0.11991212517023087
np,0.11932310461997986
gs,0.11565720289945602
si,0.11524742841720581
lb,0.11075224727392197
vg,0.10699785500764847
tc,0.10368955135345459
nz,0.10304760187864304
gb-eng,0.10244640707969666
gn,0.10206788778305054
pn,0.10169487446546555
sn,0.1003977358341217
au,0.0971062034368515
hm,0.0971062034368515
ky,0.09247663617134094
gq,0.09032320231199265
bg,0.08987799286842346
cg,0.08806529641151428
gm,0.08733843266963959
ir,0.08640483021736145
ss,0.0852295532822609
la,0.08483752608299255
bf,0.08460221439599991
ax,0.08074133843183517
mz,0.07999465614557266
lr,0.07810266315937042
sr,0.07468270510435104
be,0.0712679922580719
pr,0.0700988918542862
ai,0.06776351481676102
jp,0.06539364159107208
ms,0.0641794502735138
zm,0.05995658040046692
bb,0.0597357451915741
sz,0.05845589190721512
ck,0.05605483800172806
cr,0.05373569205403328
mu,0.0509345680475235
kh,0.04810667037963867
fk,0.046950824558734894
et,0.04664437100291252
ba,0.046063777059316635
hr,0.041749007999897
tg,0.03987720608711243
tk,0.0392916202545166
ca,0.03770539164543152
ne,0.03427980840206146
my,0.029583964496850967
na,0.028599297627806664
in,0.02546740509569645
tj,0.023513630032539368
st,0.021834999322891235
kw,0.018767990171909332
bi,0.01856251060962677
gl,0.012012243270874023
km,0.01138358935713768
gw,0.006064116954803467
pe,0.004336416721343994
je,0.0036518797278404236
dm,0.00037720054388046265
rs,-0.0038917511701583862
jm,-0.009008452296257019
th,-0.014785170555114746
hu,-0.019342422485351562
is,-0.028567511588335037
za,-0.034744538366794586
mr,-0.03494631499052048
do,-0.03894888237118721
ag,-0.04776335135102272
ki,-0.04780978709459305
tz,-0.0487600602209568
py,-0.04994206130504608
id,-0.05038882791996002
ae,-0.05606379359960556
ua,-0.057466909289360046
az,-0.05838391184806824
bq,-0.07044088840484619
nl,-0.07044088840484619
pk,-0.07639114558696747
gy,-0.0915713906288147
br,-0.09627930819988251
cc,-0.09743177890777588
sg,-0.10210350900888443
um,-0.10548684000968933
us,-0.10548684000968933
sb,-0.10782909393310547
bz,-0.11838152259588242
kr,-0.11870568990707397
tf,-0.12019094824790955
va,-0.12031915783882141
vi,-0.12373858690261841
se,-0.13004395365715027
cw,-0.13172823190689087
mx,-0.13385802507400513
eh,-0.13654282689094543
mc,-0.13913273811340332
cy,-0.14085571467876434
nr,-0.15254685282707214
as,-0.1526479423046112
cd,-0.1535423994064331
io,-0.15551094710826874
bl,-0.16577553749084473
fr,-0.16577553749084473
gf,-0.16577553749084473
gp,-0.16577553749084473
mf,-0.16577553749084473
mq,-0.16577553749084473
nc,-0.16577553749084473
pm,-0.16577553749084473
re,-0.16577553749084473
yt,-0.16577553749084473
rw,-0.17246247828006744
ps,-0.17460814118385315
nf,-0.18468478322029114
uy,-0.18598221242427826
jo,-0.1873612403869629
sm,-0.1896606832742691
mh,-0.19225040078163147
sa,-0.19342166185379028
it,-0.1946030855178833
ga,-0.19468435645103455
fo,-0.19862321019172668
ls,-0.20025458931922913
cu,-0.22169359028339386
lu,-0.22197797894477844
ie,-0.22446192800998688
gu,-0.22730210423469543
dj,-0.23099642992019653
cx,-0.23144829273223877
tm,-0.23395481705665588
lc,-0.24277225136756897
ee,-0.24421894550323486
eu,-0.24485710263252258
xk,-0.2465139925479889
bs,-0.24874991178512573
cv,-0.2512320578098297
il,-0.253949373960495
mn,-0.2581941485404968
hn,-0.26062989234924316
ci,-0.2613346576690674
mp,-0.2635093331336975
sv,-0.2784590721130371
aq,-0.2850571870803833
uz,-0.2938307225704193
ng,-0.30619823932647705
bw,-0.3186827003955841
gb-sct,-0.3245266079902649
pw,-0.3281759023666382
ar,-0.3314763307571411
gt,-0.349734365940094
dz,-0.3515770137310028
ni,-0.36532485485076904
sl,-0.3692665696144104
fi,-0.37214910984039307
gr,-0.3794059753417969
aw,-0.42175811529159546
mo,-0.4289596974849701
fj,-0.46005943417549133
fm,-0.5086004734039307
tv,-0.5091347098350525
kz,-0.5328500866889954
so,-0.5370497107505798
