Image,Similarity
cn,0.7920783758163452
tl,0.7645249366760254
ma,0.7068977952003479
bh,0.7005966305732727
vn,0.6947245597839355
kg,0.6895247101783752
me,0.6854991316795349
im,0.6807698011398315
to,0.6492818593978882
wf,0.6396719217300415
al,0.6376611590385437
qa,0.6301649212837219
es,0.6081807613372803
tw,0.6067279577255249
mk,0.6051661372184753
hk,0.6005424857139587
tn,0.5766263604164124
pt,0.547163724899292
ws,0.5239631533622742
lk,0.5238305330276489
bm,0.464897096157074
dk,0.44233617186546326
cm,0.4276837110519409
ch,0.4235321283340454
lv,0.414116233587265
de,0.4005824327468872
at,0.39272671937942505
ao,0.37032291293144226
gi,0.3678761124610901
pf,0.3661637008190155
kp,0.36237674951553345
by,0.35934221744537354
ug,0.33983346819877625
bt,0.3354080617427826
zw,0.32880133390426636
tt,0.32484087347984314
td,0.3220239281654358
pg,0.3152635991573334
md,0.3112080693244934
ro,0.2998621463775635
mt,0.29530033469200134
mw,0.2942012846469879
ml,0.2921351492404938
id,0.28804826736450195
am,0.2867158353328705
lb,0.2827475666999817
bv,0.28259438276290894
no,0.28259438276290894
sj,0.28259438276290894
gh,0.2708699107170105
ec,0.26334699988365173
ge,0.26323702931404114
bj,0.26305824518203735
sx,0.26282548904418945
nu,0.26115548610687256
ad,0.25859153270721436
co,0.25574806332588196
li,0.2539847791194916
bo,0.25211384892463684
ve,0.24786168336868286
gd,0.24637284874916077
af,0.24284330010414124
be,0.2410014569759369
sc,0.23692917823791504
sy,0.23136553168296814
eg,0.23100624978542328
gb-wls,0.2284187227487564
ph,0.22633862495422363
gb-nir,0.22189275920391083
gb,0.22189275920391083
sh,0.22189275920391083
iq,0.22035850584506989
ye,0.21937252581119537
la,0.21825407445430756
mm,0.21733179688453674
bn,0.21722349524497986
mg,0.21578949689865112
lr,0.2134610265493393
cg,0.21345534920692444
ki,0.21157145500183105
ke,0.20949241518974304
pr,0.2044200450181961
pl,0.20162969827651978
lt,0.20100609958171844
mc,0.200875923037529
gl,0.20084567368030548
sg,0.19991105794906616
tj,0.19883352518081665
sd,0.1942048966884613
bi,0.19019898772239685
er,0.1897074282169342
ht,0.18655380606651306
my,0.18396182358264923
cf,0.18089260160923004
gn,0.18073973059654236
gq,0.17939969897270203
kn,0.16156497597694397
sn,0.16034187376499176
ir,0.15944719314575195
ss,0.14568598568439484
bf,0.14556826651096344
hu,0.14456090331077576
gg,0.1430083066225052
vc,0.13792799413204193
hr,0.13726434111595154
cl,0.1341981589794159
gm,0.13331857323646545
np,0.13312694430351257
mv,0.1318005919456482
bd,0.13042058050632477
