Image,Similarity
cc,0.42115166783332825
tm,0.3868657052516937
kn,0.36555296182632446
zm,0.31811174750328064
cx,0.30230963230133057
sa,0.29966893792152405
eu,0.296384334564209
nr,0.2756367623806
ly,0.25655415654182434
pn,0.2520272731781006
dm,0.24275444447994232
nz,0.2399863451719284
ky,0.2302461862564087
gu,0.22165662050247192
tc,0.21901221573352814
br,0.21744653582572937
vg,0.21739307045936584
vu,0.21299859881401062
ms,0.20751291513442993
na,0.20335505902767181
mw,0.20224496722221375
au,0.2017299234867096
hm,0.2017299234867096
pk,0.1993267834186554
ai,0.19892463088035583
gs,0.1965874433517456
cw,0.18767106533050537
fk,0.18738698959350586
er,0.18619677424430847
tf,0.18446874618530273
ee,0.17896278202533722
bd,0.1780702769756317
ck,0.17006786167621613
cd,0.16599340736865997
se,0.15696664154529572
kz,0.1558164805173874
ke,0.1528647243976593
mo,0.15053990483283997
st,0.14704741537570953
ga,0.14155516028404236
bs,0.13999399542808533
mn,0.13384070992469788
za,0.13133098185062408
mh,0.12988564372062683
ss,0.12959733605384827
pw,0.1291089951992035
gw,0.10955841839313507
ax,0.10688582807779312
ao,0.10587602108716965
gy,0.10386370122432709
mr,0.10116809606552124
pa,0.09893308579921722
bb,0.0973319560289383
sx,0.0895891860127449
sc,0.0847083032131195
mz,0.08448876440525055
xk,0.08364889025688171
bf,0.08361440151929855
by,0.08122970163822174
zw,0.07888644188642502
gh,0.07700071483850479
cv,0.050355151295661926
pg,0.04330357536673546
is,0.040902286767959595
sb,0.040623895823955536
lt,0.03884796053171158
tv,0.03540392220020294
tt,0.03476357087492943
de,0.032968103885650635
mv,0.031040266156196594
bw,0.0308648943901062
ag,0.02906224876642227
bo,0.028654994443058968
jo,0.02761949598789215
et,0.02655036374926567
jm,0.026468832045793533
mu,0.013577934354543686
af,0.009162537753582
dz,0.008607074618339539
ba,0.0023696664720773697
eh,0.0012494027614593506
qa,-0.00023862440139055252
li,-0.0007054759189486504
gb-wls,-0.0018108631484210491
sz,-0.007788218557834625
mp,-0.010234808549284935
do,-0.01173486839979887
tg,-0.014883071184158325
fi,-0.018904339522123337
np,-0.022033816203475
sl,-0.029554639011621475
ve,-0.0302114374935627
az,-0.03059609979391098
sv,-0.0345037616789341
bz,-0.035453636199235916
sr,-0.03611605241894722
kr,-0.041392792016267776
kh,-0.04667409881949425
gm,-0.04676198214292526
co,-0.04808387905359268
to,-0.0487600602209568
ws,-0.04921058192849159
rs,-0.052778154611587524
rw,-0.05289505422115326
ps,-0.05308953672647476
ec,-0.05328892916440964
be,-0.05494377017021179
ki,-0.0593196265399456
gn,-0.0606042705476284
al,-0.06344622373580933
mg,-0.06540793180465698
vc,-0.06824323534965515
om,-0.06860485672950745
io,-0.07370320707559586
ls,-0.0787108987569809
ni,-0.08302588015794754
sn,-0.08337938785552979
ne,-0.08475697040557861
md,-0.0860680490732193
ph,-0.08870911598205566
td,-0.08957047015428543
gb-nir,-0.09030717611312866
gb,-0.09030717611312866
sh,-0.09030717611312866
ae,-0.09381477534770966
hr,-0.09539582580327988
ma,-0.09584228694438934
so,-0.09584234654903412
aw,-0.09585794806480408
am,-0.09673525393009186
aq,-0.10002768784761429
ml,-0.10303308069705963
pt,-0.10679952055215836
lc,-0.10915224999189377
bj,-0.11125392466783524
hn,-0.11258438229560852
uy,-0.11709586530923843
th,-0.11752795428037643
lk,-0.12088359892368317
cr,-0.1250564455986023
tw,-0.12713265419006348
cm,-0.1283273994922638
py,-0.12897485494613647
kp,-0.12901407480239868
ro,-0.12957654893398285
cu,-0.12967664003372192
gd,-0.13105644285678864
sm,-0.1356511116027832
ad,-0.1430250108242035
km,-0.143653005361557
mx,-0.14686468243598938
ug,-0.14810441434383392
gr,-0.1496042162179947
fm,-0.15216746926307678
jp,-0.15331001579761505
ht,-0.15350091457366943
me,-0.1547253131866455
ua,-0.15473884344100952
vi,-0.15488708019256592
fj,-0.15501095354557037
tk,-0.15779314935207367
bv,-0.1610143482685089
no,-0.1610143482685089
sj,-0.1610143482685089
nf,-0.1610584259033203
my,-0.1622043251991272
uz,-0.16356104612350464
bn,-0.16447901725769043
id,-0.16466808319091797
iq,-0.1648436337709427
va,-0.16906771063804626
fo,-0.17053166031837463
mc,-0.17538924515247345
bm,-0.17549139261245728
il,-0.17698201537132263
lu,-0.18075843155384064
in,-0.1812189817428589
ca,-0.186763197183609
ci,-0.18860004842281342
eg,-0.19095158576965332
gi,-0.19159558415412903
cf,-0.1918168067932129
je,-0.19520044326782227
ru,-0.1963624358177185
la,-0.1985408216714859
pe,-0.20101697742938995
bg,-0.2023043930530548
gt,-0.20246095955371857
sy,-0.20303162932395935
tl,-0.20672088861465454
as,-0.21170398592948914
cn,-0.2118758261203766
bq,-0.2150121033191681
nl,-0.2150121033191681
cy,-0.2212669849395752
it,-0.22186055779457092
