Image,Similarity
rw,0.6812262535095215
tk,0.5577964782714844
ph,0.5160276889801025
li,0.48968374729156494
ht,0.4739764332771301
mz,0.46802687644958496
de,0.41328203678131104
mu,0.3680821657180786
nu,0.35764339566230774
ee,0.30260127782821655
cv,0.2984527349472046
lc,0.28322267532348633
az,0.2792101502418518
cg,0.2644059658050537
aw,0.25268685817718506
kw,0.22503124177455902
sb,0.22260341048240662
uz,0.21579614281654358
cf,0.2102113962173462
ws,0.20641636848449707
cw,0.1987989991903305
ir,0.19509756565093994
tw,0.1944175511598587
et,0.15914230048656464
cl,0.1558685302734375
gq,0.15171101689338684
dj,0.14641845226287842
am,0.13856276869773865
ag,0.1365983933210373
kn,0.13064917922019958
my,0.12761397659778595
st,0.12592780590057373
ls,0.12321845442056656
mr,0.121010921895504
va,0.11828740686178207
ml,0.09713628143072128
sn,0.09504628926515579
um,0.09441184997558594
us,0.09441184997558594
gn,0.08521122485399246
md,0.08207058906555176
ie,0.08092439919710159
gd,0.07986685633659363
ci,0.07606436312198639
ng,0.07433243095874786
gy,0.07254191488027573
tg,0.06573325395584106
zm,0.0653153508901596
mo,0.06439155340194702
bg,0.05766031891107559
vi,0.05648241937160492
gt,0.05457821488380432
pw,0.054161131381988525
mh,0.053966544568538666
vc,0.05359308421611786
xk,0.052831850945949554
jm,0.05265315622091293
ar,0.05242912471294403
ro,0.05211910605430603
gg,0.051932282745838165
td,0.05167891085147858
cy,0.05138227343559265
it,0.0511273592710495
ca,0.04888191074132919
gr,0.04815484583377838
br,0.045712217688560486
si,0.044419825077056885
cc,0.042756587266922
ad,0.041802212595939636
mx,0.04115087538957596
mc,0.03881922364234924
na,0.03723984211683273
fm,0.03679750859737396
se,0.03639628738164902
je,0.03526812046766281
nf,0.03487071394920349
dz,0.03450235351920128
gb-eng,0.03191143274307251
pe,0.03153764083981514
ps,0.031064007431268692
jp,0.029679976403713226
fo,0.026350945234298706
bi,0.026347123086452484
eh,0.02633783034980297
bt,0.02520274743437767
bl,0.024250924587249756
fr,0.024250924587249756
gf,0.024250924587249756
gp,0.024250924587249756
mf,0.024250924587249756
mq,0.024250924587249756
nc,0.024250924587249756
pm,0.024250924587249756
re,0.024250924587249756
yt,0.024250924587249756
bs,0.022578764706850052
be,0.02248469740152359
ge,0.02056482434272766
bb,0.01855137199163437
lb,0.01795586571097374
pk,0.017696555703878403
cz,0.017339907586574554
mk,0.015515238046646118
gb-sct,0.01543225347995758
ss,0.014536984264850616
mt,0.013919830322265625
lr,0.013811983168125153
tm,0.013376139104366302
il,0.013313457369804382
zw,0.013115912675857544
sr,0.013028539717197418
jo,0.012476872652769089
ga,0.010157085955142975
at,0.009467174299061298
ug,0.007155612111091614
ax,0.007154122926294804
gl,0.0059693120419979095
ke,0.005424924194812775
rs,0.0048761069774627686
es,0.0044496506452560425
fi,0.003910467028617859
bw,0.003034070134162903
ni,0.002659708261489868
ru,0.0025992058217525482
gi,0.0024802759289741516
bm,0.0015058815479278564
lk,0.0005633756518363953
sg,0.00042669475078582764
mw,-0.0036625936627388
ch,-0.0038797594606876373
cr,-0.004574678838253021
al,-0.006650060415267944
do,-0.00883927009999752
pl,-0.009035453200340271
pr,-0.009047359228134155
cu,-0.00922904908657074
cm,-0.009282775223255157
kg,-0.009564347565174103
th,-0.010864153504371643
ae,-0.01239744946360588
as,-0.017939046025276184
kz,-0.017986133694648743
aq,-0.02126462012529373
hn,-0.02205648273229599
mp,-0.02443186193704605
sz,-0.026276882737874985
vn,-0.02749347686767578
pt,-0.027666941285133362
dk,-0.028247326612472534
sv,-0.029249384999275208
so,-0.029709339141845703
hk,-0.03213886916637421
af,-0.0321413055062294
mv,-0.03271138668060303
lv,-0.03457615524530411
bn,-0.03677448630332947
wf,-0.03677622973918915
dm,-0.03693045675754547
tl,-0.03789195418357849
gb-nir,-0.03819052502512932
gb,-0.03819052502512932
sh,-0.03819052502512932
io,-0.039628393948078156
sk,-0.04168995842337608
kp,-0.04188631474971771
pf,-0.042044032365083694
bd,-0.04623975604772568
tn,-0.04766272008419037
bh,-0.048474349081516266
bv,-0.05123079568147659
no,-0.05123079568147659
sj,-0.05123079568147659
tr,-0.05742041766643524
to,-0.057466909289360046
kr,-0.059121958911418915
me,-0.06019178032875061
tt,-0.06167619675397873
la,-0.06183776259422302
is,-0.06292839348316193
uy,-0.0640692263841629
im,-0.0641927644610405
sa,-0.06621202826499939
np,-0.066264808177948
bz,-0.06850863993167877
ma,-0.06953494250774384
id,-0.07412903010845184
