Image,Similarity
zw,0.5025588274002075
gd,0.479802668094635
vn,0.44472289085388184
me,0.44346311688423157
es,0.43618112802505493
mk,0.4186484217643738
de,0.4142725467681885
cn,0.3983202278614044
kg,0.3963092565536499
im,0.39519840478897095
ma,0.38736093044281006
hk,0.372481107711792
tl,0.3686351776123047
pt,0.35727012157440186
ch,0.35645753145217896
tg,0.35393649339675903
mm,0.34534311294555664
tn,0.3423648476600647
th,0.3405759036540985
tr,0.33983346819877625
be,0.3371007740497589
am,0.3355734944343567
td,0.3328477144241333
ml,0.32288599014282227
ve,0.32190537452697754
lt,0.3174876272678375
cg,0.31505969166755676
al,0.31504106521606445
co,0.30122560262680054
tw,0.296633243560791
ro,0.2965216040611267
gn,0.29643648862838745
sr,0.2942681610584259
ec,0.2912513315677643
md,0.2863866090774536
nu,0.2849961221218109
mz,0.2786960005760193
ao,0.27537986636161804
tk,0.2722710371017456
qa,0.2600077986717224
cr,0.2549009621143341
ad,0.25089403986930847
sn,0.2496946156024933
bt,0.24235668778419495
to,0.24202218651771545
af,0.23447659611701965
cm,0.23359736800193787
bj,0.2285023182630539
ws,0.22687295079231262
lk,0.2220563292503357
ag,0.22146320343017578
mw,0.21471074223518372
sz,0.21362628042697906
vc,0.2134370356798172
wf,0.20968757569789886
bn,0.20012277364730835
la,0.19480803608894348
zm,0.18578296899795532
ke,0.18443536758422852
bm,0.1833195686340332
kp,0.17962826788425446
gw,0.1792254000902176
bh,0.17565596103668213
pr,0.16818028688430786
bf,0.16814333200454712
bi,0.1681385636329651
mv,0.15942654013633728
cf,0.15580907464027405
pg,0.1471550464630127
tt,0.12881149351596832
bd,0.12151426076889038
st,0.1211334839463234
by,0.11828432232141495
cc,0.11797966808080673
dk,0.11718256026506424
jm,0.11461959779262543
my,0.11449632793664932
gy,0.11400280147790909
va,0.10813048481941223
lv,0.10413984954357147
ki,0.10223492980003357
kn,0.0994986742734909
ly,0.09786522388458252
li,0.09702371805906296
pe,0.0968070775270462
id,0.09323163330554962
sc,0.09321902692317963
pk,0.08997882157564163
bb,0.08869051933288574
er,0.08660133183002472
vu,0.08486045897006989
ss,0.080901600420475
bv,0.080093152821064
no,0.080093152821064
sj,0.080093152821064
ht,0.07643625885248184
sk,0.06940903514623642
gq,0.06775196641683578
rs,0.06547939777374268
cl,0.06481374055147171
ru,0.06217802315950394
bl,0.05902387946844101
fr,0.05902387946844101
gf,0.05902387946844101
gp,0.05902387946844101
mf,0.05902387946844101
mq,0.05902387946844101
nc,0.05902387946844101
pm,0.05902387946844101
re,0.05902387946844101
yt,0.05902387946844101
cu,0.05837039649486542
cz,0.05653630942106247
et,0.05196688696742058
at,0.04125325009226799
br,0.04070538282394409
pf,0.0361531600356102
si,0.03452146798372269
gg,0.03201643377542496
ba,0.029149796813726425
bg,0.028508305549621582
mc,0.02698025107383728
pl,0.026933547109365463
mt,0.024826988577842712
it,0.02144540473818779
np,0.020546600222587585
ci,0.015561874955892563
sg,0.014169961214065552
om,0.01227269321680069
gb-nir,0.010519042611122131
gb,0.010519042611122131
sh,0.010519042611122131
ir,0.010251590050756931
ge,0.010235041379928589
mr,0.00875476747751236
ua,0.007155612111091614
ee,0.00625215470790863
kh,0.003940004855394363
mg,0.0030482951551675797
lb,0.0015713050961494446
gl,-2.2176653146743774e-05
km,-0.0008230097591876984
sa,-0.002738162875175476
na,-0.0050482358783483505
gb-wls,-0.013325922191143036
gm,-0.017944227904081345
gi,-0.018459443002939224
kw,-0.025160446763038635
az,-0.02577563375234604
dm,-0.026777461171150208
ax,-0.035586897283792496
do,-0.03977522626519203
tj,-0.04130557179450989
sx,-0.04143286496400833
um,-0.044677987694740295
us,-0.044677987694740295
tm,-0.045924022793769836
gb-eng,-0.05116887390613556
bo,-0.06258739531040192
aq,-0.06269468367099762
jo,-0.06350414454936981
ie,-0.06553703546524048
lr,-0.06569459289312363
sy,-0.06779956817626953
mx,-0.06819438934326172
gh,-0.06832925230264664
fo,-0.07738971710205078
vg,-0.07928037643432617
ph,-0.08075250685214996
mp,-0.08166993409395218
as,-0.0848829373717308
cw,-0.08601384609937668
mu,-0.0861673653125763
pn,-0.09267410635948181
ky,-0.09636270254850388
gu,-0.10040207952260971
ck,-0.10096016526222229
gs,-0.10226795077323914
au,-0.10866066813468933
hm,-0.10866066813468933
ca,-0.11233705282211304
nz,-0.11559327691793442
pa,-0.11670109629631042
mo,-0.11964728683233261
ng,-0.120319664478302
tc,-0.12069176137447357
sd,-0.12335380911827087
bz,-0.12457612156867981
ye,-0.1250682920217514
dz,-0.12840840220451355
io,-0.12885533273220062
fi,-0.12993189692497253
iq,-0.13005073368549347
uy,-0.1328001618385315
fk,-0.13793277740478516
vi,-0.14066210389137268
se,-0.14676527678966522
ai,-0.1473560482263565
tz,-0.14810441434383392
hu,-0.14931659400463104
ms,-0.14995504915714264
je,-0.1510814130306244
is,-0.15345986187458038
in,-0.16092777252197266
eg,-0.1611606925725937
sb,-0.16126155853271484
gb-sct,-0.16525116562843323
ps,-0.16577890515327454
jp,-0.1676417589187622
za,-0.17261508107185364
ae,-0.18013876676559448
cy,-0.18639342486858368
ne,-0.19279257953166962
cx,-0.19454555213451385
bs,-0.19728296995162964
eh,-0.20446419715881348
dj,-0.20679622888565063
ga,-0.2092224657535553
mh,-0.2136687934398651
pw,-0.2141709327697754
rw,-0.23326097428798676
aw,-0.23436230421066284
mn,-0.23475238680839539
gt,-0.2385047823190689
bq,-0.2409747838973999
nl,-0.2409747838973999
kr,-0.24146319925785065
nr,-0.24393236637115479
cv,-0.24747365713119507
tf,-0.2508360743522644
xk,-0.2620159983634949
eu,-0.26313960552215576
cd,-0.26708680391311646
uz,-0.26800063252449036
fj,-0.2725658714771271
nf,-0.27673637866973877
bw,-0.27781015634536743
lc,-0.289054274559021
sm,-0.290046364068985
hr,-0.2998080849647522
ls,-0.3038543164730072
lu,-0.30572885274887085
py,-0.31051474809646606
gr,-0.3203006386756897
tv,-0.33355414867401123
sl,-0.33416152000427246
il,-0.34402400255203247
kz,-0.3899989724159241
hn,-0.39076927304267883
