Image,Similarity
um,1.0001217126846313
cy,0.43974798917770386
ie,0.4347322881221771
gt,0.39947375655174255
sg,0.39876437187194824
ng,0.38585758209228516
ki,0.38506972789764404
je,0.3818032145500183
vi,0.3720821738243103
ca,0.3614198565483093
mc,0.3587929308414459
it,0.35272231698036194
mx,0.3498691916465759
bl,0.3459510803222656
fr,0.3459510803222656
gf,0.3459510803222656
gp,0.3459510803222656
mf,0.3459510803222656
mq,0.3459510803222656
nc,0.3459510803222656
pm,0.3459510803222656
re,0.3459510803222656
yt,0.3459510803222656
ar,0.34548842906951904
va,0.33955317735671997
id,0.3300169110298157
jp,0.3255375325679779
kr,0.32534146308898926
gl,0.32375600934028625
cl,0.3096972703933716
fm,0.30876854062080383
pe,0.3055112957954407
fo,0.29859843850135803
ci,0.29325613379478455
pf,0.2903420925140381
gb-eng,0.2826254963874817
nf,0.2805429995059967
pl,0.27914297580718994
bt,0.27126890420913696
lb,0.26910775899887085
sm,0.2676657438278198
ge,0.2652200758457184
at,0.264375776052475
gg,0.2614777088165283
bi,0.2520522177219391
mt,0.24519820511341095
cz,0.24013787508010864
do,0.23989243805408478
dz,0.23057615756988525
il,0.2274467945098877
lr,0.22671447694301605
ch,0.2256249487400055
uy,0.22398382425308228
cg,0.2239813506603241
rs,0.22190824151039124
lc,0.2201925665140152
nu,0.21346396207809448
fj,0.20571200549602509
gr,0.20244574546813965
hk,0.2002263367176056
lu,0.19925346970558167
pr,0.19488833844661713
sn,0.19414785504341125
lv,0.18941327929496765
fi,0.18815359473228455
km,0.177886500954628
dk,0.17350947856903076
mm,0.17347748577594757
gb-sct,0.1719948947429657
so,0.17128950357437134
wf,0.17009887099266052
kg,0.16933438181877136
be,0.16819843649864197
ro,0.16596871614456177
aw,0.1639658361673355
ad,0.159186452627182
hu,0.15789632499217987
bv,0.1566847562789917
no,0.1566847562789917
sj,0.1566847562789917
tn,0.15667536854743958
sr,0.15513232350349426
ml,0.15400797128677368
ir,0.14464186131954193
sc,0.1384599506855011
si,0.13528040051460266
sk,0.13358809053897858
cr,0.12959015369415283
uz,0.1287470906972885
mk,0.12802720069885254
td,0.12609124183654785
bw,0.12594349682331085
as,0.12531018257141113
bn,0.11361180990934372
gq,0.11338552087545395
bj,0.11217570304870605
ru,0.10989141464233398
md,0.10854385048151016
es,0.10808409750461578
kw,0.10737770050764084
pa,0.10630370676517487
bq,0.10332280397415161
nl,0.10332280397415161
ni,0.10089914500713348
vc,0.09701672196388245
gi,0.09519802778959274
ua,0.09441184997558594
aq,0.09363299608230591
bg,0.09306272864341736
gn,0.08964641392230988
bh,0.08913359045982361
my,0.08887995779514313
cn,0.08501675724983215
is,0.08496333658695221
tr,0.08314315974712372
sl,0.083012655377388
ee,0.07799297571182251
vn,0.07639632374048233
cm,0.07236908376216888
cf,0.07184216380119324
py,0.06999154388904572
pw,0.06691489368677139
cu,0.0668669044971466
in,0.06549584120512009
tk,0.05914846807718277
im,0.05730766803026199
bm,0.05499289557337761
tj,0.05396167188882828
tl,0.05288548767566681
th,0.05057160556316376
ba,0.0504424087703228
cv,0.045146018266677856
gb-wls,0.043176811188459396
dj,0.03619515523314476
hr,0.03536669909954071
hn,0.03238800913095474
gd,0.03213481605052948
mp,0.031950756907463074
cd,0.030706066638231277
gb-nir,0.02900831587612629
gb,0.02900831587612629
sh,0.02900831587612629
om,0.02818138152360916
sv,0.02506396174430847
tw,0.02149852365255356
ne,0.020274337381124496
er,0.011111609637737274
pt,0.010579675436019897
ga,0.010468235239386559
ec,0.008994373492896557
lk,0.007330223917961121
az,0.006093211472034454
kp,0.00403195433318615
ag,-0.003043016418814659
bb,-0.004227675497531891
ht,-0.004295976832509041
bz,-0.004980728030204773
rw,-0.006392493844032288
ws,-0.008245296776294708
kz,-0.013285525143146515
co,-0.014189643785357475
ax,-0.01710462011396885
mg,-0.022986216470599174
sd,-0.02409401349723339
la,-0.02657373435795307
ye,-0.029443802312016487
ve,-0.03042486123740673
sz,-0.030620872974395752
na,-0.03169013559818268
ls,-0.03385550528764725
am,-0.034204334020614624
mu,-0.04143201559782028
af,-0.04429420456290245
ug,-0.044677987694740295
de,-0.04489430412650108
gy,-0.045616183429956436
eg,-0.052598461508750916
me,-0.05375480651855469
dm,-0.06189657375216484
ph,-0.06400961428880692
tv,-0.06528299301862717
xk,-0.06627195328474045
tt,-0.06854364275932312
ma,-0.06933125108480453
sy,-0.07040403038263321
se,-0.07337707281112671
kh,-0.07386443018913269
io,-0.07549989968538284
ps,-0.0796266421675682
gw,-0.08375424891710281
bs,-0.08663628250360489
iq,-0.08915629982948303
lt,-0.09055633842945099
np,-0.0911937728524208
eh,-0.09820196032524109
ae,-0.10239540040493011
mh,-0.10393409430980682
al,-0.10483487695455551
