Image,Similarity
ni,0.8139175772666931
hn,0.7781320810317993
sl,0.7748538851737976
ae,0.758785605430603
sv,0.7548918724060059
ps,0.7067326307296753
ar,0.6890534162521362
ls,0.6754704713821411
kw,0.6545555591583252
eh,0.6539911031723022
hu,0.6162134408950806
dj,0.5888204574584961
bq,0.5878949165344238
nl,0.5878949165344238
as,0.5630980730056763
ir,0.5466115474700928
gb-sct,0.5383550524711609
jo,0.5219739675521851
lu,0.5215291976928711
ye,0.5172857046127319
in,0.5166023969650269
il,0.5128396153450012
gq,0.5120214819908142
so,0.5053260326385498
fm,0.5040111541748047
sd,0.5019461512565613
tj,0.4788835048675537
eg,0.47285357117652893
ne,0.46763402223587036
az,0.46392005681991577
py,0.4617310166358948
aq,0.44180062413215637
rw,0.4319823384284973
hr,0.4278579354286194
iq,0.42779064178466797
ga,0.4203304350376129
kz,0.42005085945129395
sy,0.40760308504104614
gr,0.40322721004486084
aw,0.3956069052219391
bs,0.38974446058273315
pw,0.36813071370124817
ng,0.3665793538093567
at,0.3663417100906372
mo,0.3570246696472168
gt,0.34127599000930786
ie,0.3372383415699005
lc,0.3182793855667114
st,0.30895161628723145
fj,0.28297799825668335
do,0.27746039628982544
ci,0.2712593972682953
lv,0.26835572719573975
nf,0.26185011863708496
sm,0.24508178234100342
se,0.24440088868141174
jm,0.24337846040725708
cy,0.24196472764015198
mp,0.2415299415588379
tv,0.23432262241840363
gy,0.2272394597530365
it,0.22650758922100067
cv,0.2158064991235733
ua,0.21579614281654358
is,0.208851158618927
sb,0.201790913939476
xk,0.2005462944507599
pf,0.2003350853919983
mh,0.19434545934200287
dz,0.1777334213256836
pl,0.1760391741991043
uy,0.17060446739196777
bz,0.16890564560890198
cd,0.16526232659816742
bo,0.1648491621017456
va,0.15929493308067322
br,0.15855498611927032
cf,0.1564154028892517
kh,0.15302090346813202
bl,0.15254303812980652
fr,0.15254303812980652
gf,0.15254303812980652
gp,0.15254303812980652
mf,0.15254303812980652
mq,0.15254303812980652
nc,0.15254303812980652
pm,0.15254303812980652
re,0.15254303812980652
yt,0.15254303812980652
je,0.15061263740062714
lb,0.14913077652454376
kr,0.1452038735151291
bi,0.14209093153476715
pa,0.13981397449970245
cl,0.13916388154029846
um,0.1287470906972885
us,0.1287470906972885
cu,0.12649790942668915
gl,0.12457256019115448
mx,0.11734356731176376
io,0.1030522808432579
mt,0.09465658664703369
vi,0.09381160885095596
bt,0.09285581111907959
sa,0.08592444658279419
dk,0.08446502685546875
ax,0.08349955081939697
dm,0.08232825994491577
na,0.08035534620285034
ph,0.06539921462535858
tk,0.06383690237998962
et,0.062410108745098114
cg,0.061075981706380844
sg,0.0592057891190052
gu,0.05851948261260986
cx,0.054802585393190384
gh,0.054214030504226685
ch,0.05355845019221306
mn,0.047422781586647034
bw,0.04539915919303894
nu,0.038717593997716904
nr,0.035174183547496796
om,0.02918987348675728
cz,0.026094604283571243
lr,0.02234777994453907
bd,0.021307941526174545
