Image,Similarity
cy,0.6213448643684387
bt,0.5832533240318298
ci,0.5212600231170654
ca,0.520051896572113
ie,0.5172111392021179
je,0.5150162577629089
gg,0.513858437538147
vi,0.513658881187439
ng,0.47033220529556274
fo,0.4643365740776062
sg,0.4553759694099426
jp,0.4497551918029785
dz,0.44369491934776306
gb-eng,0.442999929189682
gt,0.44042637944221497
nu,0.4283533990383148
sm,0.40906742215156555
mm,0.40105003118515015
nf,0.3998146057128906
gn,0.3994269073009491
ge,0.3984329402446747
ar,0.3962526321411133
pl,0.39081472158432007
vc,0.38577958941459656
lr,0.37708383798599243
pe,0.3757549226284027
mc,0.37501680850982666
id,0.37328898906707764
gl,0.3604639768600464
it,0.3552335798740387
bn,0.35108569264411926
ml,0.3509194254875183
um,0.33955317735671997
us,0.33955317735671997
sc,0.33716070652008057
at,0.33600613474845886
kr,0.3330753445625305
sn,0.33095940947532654
mx,0.33009159564971924
gd,0.3176921606063843
cl,0.3167153596878052
bi,0.3143838346004486
km,0.30416634678840637
fm,0.297489196062088
lb,0.2969713807106018
mk,0.2933920621871948
cg,0.2904059588909149
bl,0.2896386981010437
fr,0.2896386981010437
gf,0.2896386981010437
gp,0.2896386981010437
mf,0.2896386981010437
mq,0.2896386981010437
nc,0.2896386981010437
pm,0.2896386981010437
re,0.2896386981010437
yt,0.2896386981010437
pf,0.2858978509902954
kg,0.2708457112312317
in,0.2622053027153015
ch,0.26212450861930847
cz,0.25665104389190674
md,0.25583821535110474
lc,0.25370240211486816
lu,0.24803493916988373
fj,0.24348141252994537
ec,0.241008922457695
hu,0.24037905037403107
pw,0.23913155496120453
es,0.2359982132911682
sk,0.23399686813354492
fi,0.2262105941772461
ir,0.2250356823205948
wf,0.22242344915866852
gq,0.22059425711631775
uy,0.21763241291046143
ne,0.21492548286914825
rs,0.21332959830760956
ki,0.2110133320093155
hk,0.20827828347682953
cr,0.199447900056839
gw,0.19923479855060577
gr,0.19659370183944702
td,0.19586502015590668
ro,0.19434887170791626
bg,0.1909361481666565
il,0.1903407871723175
be,0.18898068368434906
st,0.18508298695087433
gi,0.18492509424686432
co,0.17553351819515228
tj,0.17495012283325195
om,0.16612699627876282
vn,0.16585464775562286
uz,0.15929493308067322
gy,0.15203946828842163
ax,0.144932359457016
lk,0.14389821887016296
pa,0.1411665976047516
gb-sct,0.13668975234031677
ga,0.13634459674358368
my,0.13237082958221436
th,0.1305534541606903
ad,0.129542738199234
pr,0.12810978293418884
se,0.12779557704925537
dj,0.12755966186523438
sl,0.1271820366382599
kw,0.1265917718410492
tl,0.12379751354455948
ua,0.11828740686178207
tn,0.1173935979604721
sr,0.11143038421869278
cf,0.10953221470117569
ug,0.10813048481941223
cn,0.10699637234210968
bq,0.10608191043138504
nl,0.10608191043138504
cu,0.10256865620613098
si,0.09909999370574951
do,0.09753267467021942
ru,0.08850117772817612
dk,0.08726353943347931
io,0.08520331978797913
tg,0.08105836063623428
py,0.07783881574869156
bj,0.06999385356903076
bw,0.06802615523338318
mt,0.06678745150566101
lt,0.0648118257522583
sz,0.05110738426446915
lv,0.05068404972553253
bo,0.0473332479596138
tr,0.03660552576184273
as,0.03615383058786392
er,0.03264927119016647
gb-nir,0.030211299657821655
gb,0.030211299657821655
sh,0.030211299657821655
aq,0.024488814175128937
aw,0.023737801238894463
im,0.020974837243556976
kp,0.020737923681735992
tk,0.017419733107089996
ni,0.014413557015359402
gb-wls,0.010132206603884697
az,0.009776740334928036
zw,0.003967810422182083
bb,0.003232543356716633
gh,0.002844317350536585
mu,0.0027881981804966927
cm,-0.0002703070640563965
mg,-0.004007451236248016
ye,-0.004598839208483696
sd,-0.005796967074275017
hr,-0.00674474285915494
bh,-0.012068182229995728
so,-0.013335464522242546
ve,-0.01462590042501688
bm,-0.014937109313905239
rw,-0.017475081607699394
ls,-0.02291613072156906
eg,-0.024622928351163864
mz,-0.029215900227427483
ba,-0.03508016839623451
jm,-0.044791191816329956
iq,-0.047129467129707336
de,-0.04929298534989357
me,-0.0503329262137413
sy,-0.05310799181461334
pt,-0.05322587490081787
bf,-0.05644034966826439
ee,-0.05707584321498871
br,-0.06914448738098145
hn,-0.07165616750717163
af,-0.07248792052268982
cd,-0.07707709819078445
tv,-0.07976663112640381
ae,-0.08730610460042953
sv,-0.08887166529893875
ma,-0.09172617644071579
ps,-0.09649097919464111
am,-0.0984758660197258
mr,-0.10313507914543152
by,-0.10650871694087982
ag,-0.1113944947719574
bs,-0.11149810999631882
to,-0.12031915783882141
eh,-0.12265584617853165
jo,-0.12499883770942688
kz,-0.12899886071681976
za,-0.12933343648910522
al,-0.1326630711555481
mp,-0.13895092904567719
np,-0.14922833442687988
dm,-0.15151795744895935
la,-0.15497195720672607
bv,-0.15898928046226501
no,-0.15898928046226501
sj,-0.15898928046226501
tz,-0.16906771063804626
tt,-0.17337244749069214
et,-0.18946945667266846
gm,-0.19106847047805786
tw,-0.1935853362083435
na,-0.19777002930641174
is,-0.20194780826568604
kh,-0.20327171683311462
bd,-0.21026234328746796
vu,-0.23671141266822815
cv,-0.23811431229114532
bz,-0.2409335970878601
kn,-0.24900631606578827
mo,-0.2604847550392151
sx,-0.2611331045627594
mv,-0.2666871249675751
mw,-0.28482869267463684
ke,-0.2849762439727783
ph,-0.2967604696750641
ss,-0.3011201024055481
zm,-0.30282703042030334
xk,-0.30884501338005066
ht,-0.31603896617889404
ws,-0.3277047574520111
pk,-0.32842686772346497
cc,-0.3337962031364441
pg,-0.3403461277484894
ao,-0.3488999903202057
tm,-0.35257136821746826
tf,-0.36188754439353943
li,-0.372016042470932
qa,-0.37774091958999634
mh,-0.3785097002983093
mn,-0.3991963863372803
sa,-0.4074762761592865
ly,-0.4182153642177582
fk,-0.41884544491767883
ck,-0.4342312812805176
ai,-0.43701276183128357
sb,-0.45176607370376587
cx,-0.45367106795310974
ky,-0.47396841645240784
cw,-0.4799136817455292
tc,-0.48242563009262085
ms,-0.49386170506477356
pn,-0.4961036443710327
vg,-0.5067465305328369
gs,-0.5099129676818848
au,-0.5171154737472534
hm,-0.5171154737472534
nz,-0.5445466041564941
nr,-0.5916939377784729
gu,-0.6093969941139221
eu,-0.6265664100646973
