Image,Similarity
md,0.668652355670929
nu,0.4969261884689331
ml,0.4730513095855713
gn,0.4686812162399292
gd,0.4674009084701538
sn,0.42763370275497437
bt,0.41143423318862915
td,0.40961334109306335
ro,0.39614301919937134
va,0.38577958941459656
ad,0.3791031241416931
gw,0.3775605857372284
bn,0.37043553590774536
nf,0.35401400923728943
lt,0.34843263030052185
es,0.3425518870353699
mm,0.33543476462364197
ec,0.32470035552978516
mk,0.3141772747039795
co,0.3132769763469696
kg,0.31148257851600647
cg,0.2792564928531647
ng,0.27488088607788086
vn,0.2720353603363037
st,0.27102047204971313
ie,0.2622101306915283
pe,0.2581271231174469
lk,0.25604140758514404
zw,0.25140976905822754
tl,0.24758973717689514
gg,0.2461833655834198
tg,0.24600528180599213
bb,0.24489498138427734
bj,0.23555444180965424
sc,0.22552722692489624
mx,0.22465172410011292
be,0.2239084243774414
ge,0.2237633615732193
ve,0.21899297833442688
in,0.21884247660636902
cy,0.21555308997631073
ug,0.2134370356798172
vi,0.21272039413452148
lb,0.20963051915168762
cn,0.207606703042984
ci,0.20742514729499817
bo,0.20587056875228882
kr,0.1953476369380951
ca,0.19244930148124695
cm,0.19085019826889038
ne,0.19082535803318024
je,0.19036798179149628
km,0.18558242917060852
gb-eng,0.18551599979400635
pt,0.17840898036956787
hk,0.1762566715478897
bg,0.1753614991903305
id,0.17526331543922424
ch,0.1746070832014084
ma,0.170981764793396
wf,0.16962361335754395
me,0.16716307401657104
cz,0.166394904255867
cl,0.16350731253623962
sg,0.163004070520401
gy,0.16117215156555176
ba,0.1593843698501587
pl,0.15861879289150238
br,0.1561150848865509
pf,0.1548181027173996
gh,0.15136206150054932
it,0.15091374516487122
zm,0.15027514100074768
om,0.14992108941078186
at,0.149569571018219
jp,0.1458892524242401
al,0.14458733797073364
gt,0.13991829752922058
bf,0.1391596794128418
af,0.13894781470298767
tr,0.13792799413204193
tn,0.1357298493385315
bi,0.13536331057548523
gq,0.1352716088294983
mg,0.1350785195827484
ki,0.1320110261440277
to,0.1291881799697876
mr,0.12884929776191711
bl,0.12799090147018433
fr,0.12799090147018433
gf,0.12799090147018433
gp,0.12799090147018433
mf,0.12799090147018433
mq,0.12799090147018433
nc,0.12799090147018433
pm,0.12799090147018433
re,0.12799090147018433
yt,0.12799090147018433
mt,0.12784069776535034
lr,0.12527355551719666
mc,0.12511089444160461
gl,0.12026114016771317
am,0.11821005493402481
gi,0.11816798150539398
mz,0.113365039229393
tk,0.11140178143978119
de,0.10783708095550537
im,0.10281714051961899
cf,0.09986705332994461
um,0.09701672196388245
us,0.09701672196388245
sk,0.09610845148563385
pr,0.09532858431339264
bh,0.088385209441185
dk,0.0875571221113205
sm,0.08375108242034912
tj,0.08304540812969208
kn,0.08289305865764618
mu,0.07755964994430542
rs,0.07705952972173691
ir,0.07080535590648651
by,0.0705423578619957
ax,0.06841953098773956
ru,0.060088515281677246
th,0.05825372785329819
ua,0.05359308421611786
hu,0.0532028004527092
si,0.05200829356908798
bm,0.04864788427948952
se,0.0415724441409111
pa,0.041388139128685
gb-wls,0.037271156907081604
dz,0.03618262708187103
sr,0.034999191761016846
fo,0.033656537532806396
lc,0.02897406741976738
pg,0.02431444823741913
tw,0.02005039155483246
vu,0.017357654869556427
sz,0.01317649893462658
tt,0.009156450629234314
my,0.009106669574975967
mv,0.008585184812545776
cc,0.007521376013755798
jm,0.004651859402656555
gm,-0.0004984103143215179
eg,-0.011177744716405869
cr,-0.012200217694044113
lv,-0.01319960504770279
ga,-0.01400885172188282
ag,-0.014927469193935394
lu,-0.021923556923866272
iq,-0.02228771522641182
za,-0.022323695942759514
sd,-0.023832127451896667
bv,-0.024110645055770874
no,-0.024110645055770874
sj,-0.024110645055770874
ye,-0.026961132884025574
kp,-0.028432998806238174
dj,-0.02950931526720524
