Image,Similarity
ky,0.9307436943054199
nz,0.9194726347923279
gs,0.9167979955673218
ms,0.9119457602500916
pn,0.9008710384368896
au,0.8958989977836609
hm,0.8958989977836609
tc,0.8948158621788025
fk,0.8782740831375122
ai,0.8472920656204224
ck,0.8183428645133972
tv,0.5361214876174927
tf,0.5273248553276062
eu,0.50262051820755
gu,0.45873671770095825
nr,0.4220900535583496
mn,0.3633274734020233
cw,0.36261463165283203
sa,0.35073789954185486
cx,0.3464370369911194
tm,0.3182350993156433
ly,0.30647778511047363
ao,0.3014829456806183
sx,0.29496145248413086
sb,0.29024991393089294
vu,0.2726759910583496
bm,0.2661855220794678
pk,0.26257696747779846
pg,0.24856802821159363
cc,0.2345394641160965
io,0.22785912454128265
fj,0.22174419462680817
tz,0.21739307045936584
np,0.21653680503368378
qa,0.20922577381134033
xk,0.2007538080215454
is,0.19211536645889282
ss,0.1845903843641281
mh,0.1828002631664276
ke,0.18041850626468658
gm,0.1749788373708725
mv,0.17063406109809875
zm,0.16101834177970886
li,0.15766219794750214
mo,0.15619038045406342
bd,0.15501771867275238
bf,0.14974015951156616
kh,0.13673251867294312
to,0.10699785500764847
bz,0.1068614199757576
et,0.10661070793867111
by,0.10407211631536484
cd,0.10355827212333679
cv,0.10203305631875992
ht,0.1015583872795105
mw,0.0999048501253128
mp,0.09950988739728928
so,0.09560299664735794
pa,0.0943085327744484
bs,0.08881529420614243
kz,0.08603687584400177
sy,0.0844772681593895
kn,0.08396239578723907
dm,0.08176855742931366
za,0.07364066690206528
iq,0.07298227399587631
br,0.07285965979099274
jm,0.07045123726129532
ve,0.06423179805278778
ru,0.06379872560501099
gb-wls,0.06000126153230667
ph,0.056481100618839264
sv,0.05472005903720856
se,0.05248572677373886
la,0.052078332751989365
ls,0.04963823780417442
kp,0.04882827401161194
mg,0.03993026167154312
ba,0.036326199769973755
lt,0.03279956057667732
hn,0.03254961967468262
eg,0.029204953461885452
ae,0.0275168064981699
sd,0.02616250514984131
bw,0.0258739423006773
dj,0.023197881877422333
aw,0.022922402247786522
si,0.022334923967719078
om,0.019845783710479736
na,0.018970735371112823
am,0.017974788323044777
ye,0.017884783446788788
al,0.017424840480089188
ax,0.014703838154673576
er,0.014047225005924702
gb-nir,0.01173023134469986
gb,0.01173023134469986
sh,0.01173023134469986
