Image,Similarity
cy,0.6745086312294006
ca,0.6308375597000122
je,0.6294152140617371
jp,0.6174851655960083
sm,0.5524647235870361
nf,0.5446855425834656
gb-eng,0.5388407111167908
gg,0.5298125743865967
gt,0.5264133214950562
va,0.513658881187439
ie,0.5047792792320251
sg,0.4845820367336273
fm,0.4767933487892151
kr,0.47196096181869507
ng,0.4711322784423828
ar,0.45177197456359863
ge,0.4406197667121887
fo,0.43975532054901123
lc,0.4133738577365875
mc,0.4072936177253723
mx,0.40051519870758057
ci,0.3896465301513672
fj,0.3752572536468506
id,0.37268316745758057
um,0.3720821738243103
us,0.3720821738243103
lr,0.35913771390914917
uy,0.3506087362766266
gl,0.3430425822734833
pe,0.33077964186668396
mt,0.3287185728549957
it,0.31791526079177856
rs,0.31580373644828796
bt,0.30927717685699463
pl,0.302759051322937
nu,0.2945759892463684
gr,0.28760403394699097
fi,0.2851598262786865
sc,0.27217215299606323
sk,0.2664203643798828
il,0.2539568841457367
bl,0.2494894564151764
fr,0.2494894564151764
gf,0.2494894564151764
gp,0.2494894564151764
mf,0.2494894564151764
mq,0.2494894564151764
nc,0.2494894564151764
pm,0.2494894564151764
re,0.2494894564151764
yt,0.2494894564151764
dz,0.23436835408210754
lu,0.22610250115394592
bn,0.22255931794643402
aw,0.2202991247177124
bg,0.21879428625106812
vc,0.21272039413452148
bw,0.21094226837158203
cz,0.20791584253311157
ru,0.19765475392341614
pw,0.19521529972553253
cr,0.18422694504261017
cl,0.18206441402435303
km,0.18188095092773438
so,0.18061292171478271
pa,0.1805773377418518
mm,0.18031683564186096
si,0.17651817202568054
gb-sct,0.17575423419475555
md,0.17494341731071472
lb,0.1727859228849411
ee,0.16786301136016846
gi,0.1676080971956253
sn,0.1673673689365387
at,0.16698198020458221
dj,0.15699802339076996
ki,0.15667717158794403
io,0.15633365511894226
in,0.13414224982261658
dk,0.1259675920009613
pf,0.12432046979665756
th,0.12387599796056747
ml,0.12305495887994766
gn,0.1185002475976944
om,0.11775919049978256
ec,0.11705802381038666
gd,0.11699410527944565
cd,0.1089598760008812
my,0.10770788043737411
mg,0.10519251227378845
cg,0.10036403685808182
bi,0.09698044508695602
wf,0.09695762395858765
hu,0.09529274702072144
uz,0.09381160885095596
sl,0.09306062757968903
ne,0.07826192677021027
tv,0.07812439650297165
bh,0.06829333305358887
ad,0.0669369325041771
ni,0.0653148666024208
ua,0.05648241937160492
ro,0.05196026712656021
kz,0.049753978848457336
kp,0.04742742329835892
gb-nir,0.04199720174074173
gb,0.04199720174074173
sh,0.04199720174074173
cu,0.0378199927508831
pr,0.03713882714509964
ga,0.033712439239025116
kg,0.03209085762500763
py,0.029714487493038177
co,0.02847142517566681
mk,0.0273541659116745
gq,0.02358226291835308
gw,0.021720856428146362
do,0.020646847784519196
gb-wls,0.01653657853603363
bq,0.01382860541343689
nl,0.01382860541343689
sz,0.01215333677828312
lt,0.008314326405525208
ir,0.006445314735174179
td,0.005403399467468262
er,0.0025992169976234436
cf,0.002299867570400238
ch,0.0007940754294395447
bb,-0.007213931530714035
sr,-0.016097506508231163
se,-0.016794998198747635
ba,-0.01823696866631508
ve,-0.018945522606372833
gy,-0.021145600825548172
hr,-0.025014661252498627
lk,-0.02546083927154541
az,-0.030794568359851837
rw,-0.031069044023752213
