Image,Similarity
bf,0.6607025861740112
ly,0.634433388710022
by,0.6303203701972961
ao,0.5793983936309814
pg,0.5298073291778564
mw,0.466081440448761
sx,0.4543347656726837
gh,0.44475850462913513
bo,0.4239084720611572
gm,0.38927915692329407
gw,0.36184293031692505
cc,0.3418591022491455
mu,0.33544036746025085
ke,0.3272736370563507
qa,0.3249146342277527
ma,0.30222249031066895
ss,0.2958819270133972
me,0.28786391019821167
zm,0.284784734249115
nz,0.28434476256370544
tc,0.27719587087631226
pn,0.27506762742996216
au,0.2736271917819977
hm,0.2736271917819977
vg,0.2726759910583496
gs,0.2655588984489441
ky,0.2596363425254822
mg,0.2591770887374878
al,0.25553470849990845
mv,0.24397006630897522
ai,0.23936057090759277
am,0.23754259943962097
ck,0.23672038316726685
ms,0.23448312282562256
gb-wls,0.23345476388931274
za,0.2327384650707245
nr,0.23093029856681824
zw,0.22810044884681702
fk,0.22481131553649902
tl,0.2218177616596222
tm,0.22168709337711334
pt,0.21986380219459534
tt,0.21896347403526306
tz,0.21299859881401062
af,0.2090909779071808
na,0.19929157197475433
sa,0.19596636295318604
vn,0.18485692143440247
bd,0.17331376671791077
cn,0.17157988250255585
cm,0.16841715574264526
om,0.16560021042823792
lt,0.1651921272277832
gu,0.155661478638649
tg,0.1484198123216629
be,0.14619103074073792
ba,0.14211200177669525
pk,0.1370215117931366
im,0.13566972315311432
de,0.13287398219108582
eu,0.13089916110038757
jm,0.1296839714050293
bs,0.12714770436286926
ne,0.12416180968284607
sy,0.12255840748548508
to,0.12135478854179382
td,0.1210765689611435
sb,0.12061721831560135
lk,0.1179126501083374
dm,0.11493494361639023
bb,0.1145179271697998
ws,0.10198840498924255
iq,0.10006289184093475
cw,0.09904149919748306
tr,0.09832894802093506
es,0.09562735259532928
tf,0.09528912603855133
kg,0.09365479648113251
sz,0.09161985665559769
kh,0.08894670009613037
eg,0.08730281889438629
sc,0.08663105964660645
ug,0.08486045897006989
la,0.08081167936325073
mr,0.08026965707540512
ki,0.07875069230794907
sd,0.07441715896129608
jo,0.07264503836631775
ro,0.06891703605651855
mk,0.06660390645265579
tw,0.06616837531328201
st,0.06140068173408508
tn,0.05941693112254143
bm,0.05894047021865845
br,0.05603813752532005
md,0.05600866675376892
ye,0.054060086607933044
co,0.05404529348015785
ad,0.04484431818127632
ve,0.04466189071536064
cx,0.0445936843752861
ml,0.04435161501169205
er,0.0389789454638958
ax,0.03751228377223015
gn,0.035260654985904694
rs,0.032336533069610596
id,0.028938427567481995
mh,0.02789245918393135
mn,0.018381118774414062
vc,0.017357654869556427
sr,0.016664154827594757
hk,0.016076024621725082
tj,0.014080606400966644
py,0.010501578450202942
gd,0.00445740669965744
bh,0.001817513257265091
mo,0.000950641930103302
np,-0.003544369712471962
kp,-0.005182456225156784
kn,-0.005375847220420837
in,-0.006230905652046204
wf,-0.006328802555799484
sn,-0.006810858845710754
eh,-0.010199792683124542
bj,-0.010609857738018036
bz,-0.011509962379932404
gb-nir,-0.012023309245705605
gb,-0.012023309245705605
sh,-0.012023309245705605
ec,-0.013141775503754616
cd,-0.013277679681777954
lu,-0.020919740200042725
hr,-0.021145202219486237
bv,-0.026233308017253876
no,-0.026233308017253876
sj,-0.026233308017253876
mz,-0.028671786189079285
tk,-0.029128558933734894
ps,-0.03442607820034027
se,-0.03487113118171692
nu,-0.04048221558332443
tv,-0.04491971433162689
gy,-0.04640289396047592
th,-0.04686246067285538
bn,-0.05576673895120621
io,-0.05601779371500015
pa,-0.06064576283097267
mc,-0.06705178320407867
bq,-0.06836006045341492
nl,-0.06836006045341492
xk,-0.0687045305967331
ch,-0.07116756588220596
km,-0.07392183691263199
ag,-0.08107218891382217
hu,-0.08220504224300385
my,-0.08245477080345154
is,-0.08899007737636566
ee,-0.0914272591471672
li,-0.10880091041326523
sg,-0.11756932735443115
cf,-0.11839591711759567
lv,-0.12267446517944336
dk,-0.12280692160129547
bw,-0.12462672591209412
fi,-0.12566159665584564
dz,-0.12610763311386108
do,-0.12722545862197876
pr,-0.13461606204509735
ls,-0.13703212141990662
cr,-0.13935619592666626
ge,-0.14021362364292145
kz,-0.14093872904777527
mp,-0.1459541618824005
pe,-0.15388134121894836
aq,-0.1558823138475418
az,-0.15946759283542633
pw,-0.16730618476867676
ga,-0.16968189179897308
cv,-0.1702733039855957
fj,-0.18058188259601593
lr,-0.18142208456993103
cu,-0.1833837926387787
mm,-0.1834215521812439
bl,-0.183536559343338
fr,-0.183536559343338
gf,-0.183536559343338
gp,-0.183536559343338
mf,-0.183536559343338
mq,-0.183536559343338
nc,-0.183536559343338
pm,-0.183536559343338
re,-0.183536559343338
yt,-0.183536559343338
gi,-0.1867276132106781
dj,-0.19099777936935425
as,-0.19383499026298523
et,-0.195262610912323
bi,-0.20174196362495422
ru,-0.20470963418483734
fo,-0.20598556101322174
gg,-0.20744040608406067
bg,-0.21229811012744904
ht,-0.21452628076076508
cg,-0.21665272116661072
gb-eng,-0.2169383317232132
pf,-0.22292394936084747
mx,-0.22374266386032104
ae,-0.22701677680015564
va,-0.23671141266822815
it,-0.23787976801395416
uy,-0.23839713633060455
kr,-0.2415824979543686
mt,-0.2482907772064209
sk,-0.2520744502544403
lb,-0.25274261832237244
sm,-0.2580994963645935
sv,-0.2646782100200653
at,-0.2660829424858093
jp,-0.26904672384262085
ua,-0.2746303975582123
hn,-0.2748170495033264
bt,-0.2756810784339905
rw,-0.27720847725868225
ca,-0.2813343107700348
ci,-0.2832638919353485
gl,-0.28602343797683716
vi,-0.28635403513908386
je,-0.2900558114051819
cl,-0.295214980840683
um,-0.3029515743255615
us,-0.3029515743255615
cz,-0.30542299151420593
nf,-0.30958378314971924
gb-sct,-0.31138867139816284
si,-0.3138028383255005
ni,-0.3283383250236511
sl,-0.3288443088531494
so,-0.33488720655441284
uz,-0.3416298031806946
ph,-0.35047799348831177
il,-0.35792654752731323
gr,-0.36397677659988403
ie,-0.36490800976753235
ng,-0.3658241331577301
aw,-0.3715515434741974
cy,-0.3762851655483246
pl,-0.39418572187423706
gt,-0.3957545757293701
lc,-0.4062422513961792
gq,-0.4436641335487366
fm,-0.4710100293159485
ar,-0.4748390316963196
kw,-0.5112321376800537
ir,-0.5189775824546814
