Image,Similarity
cn,0.7641233205795288
kg,0.6944353580474854
tl,0.6944041848182678
tr,0.6396719217300415
vn,0.6333288550376892
ma,0.6021062135696411
me,0.5962371230125427
mk,0.5956454277038574
bh,0.595475435256958
im,0.5952228903770447
hk,0.5914215445518494
tn,0.5804172158241272
tw,0.5778731107711792
to,0.5729275941848755
es,0.5694898962974548
bm,0.561578631401062
at,0.5386658906936646
lk,0.536847710609436
al,0.5308964848518372
qa,0.49203458428382874
gi,0.4782927930355072
ch,0.4634682238101959
ws,0.4400154650211334
dk,0.4313162565231323
bt,0.4257778227329254
cm,0.41835570335388184
pf,0.4167858064174652
lv,0.4161902666091919
pt,0.4152418076992035
pl,0.40099096298217773
ge,0.36374056339263916
lb,0.3491894006729126
sc,0.3482702970504761
bn,0.3442932963371277
nu,0.3341083526611328
gl,0.32597216963768005
kp,0.32425299286842346
id,0.3201141953468323
eg,0.30597764253616333
tt,0.30570489168167114
gq,0.3009031116962433
md,0.3007616102695465
gg,0.29403865337371826
cl,0.29013922810554504
sg,0.28959891200065613
ec,0.28830018639564514
lr,0.28779536485671997
sd,0.2838823199272156
td,0.28360506892204285
bi,0.28260552883148193
ir,0.2821754813194275
gb-eng,0.28181421756744385
ye,0.2815173864364624
gb-nir,0.27717193961143494
gb,0.27717193961143494
sh,0.27717193961143494
cz,0.27632075548171997
mt,0.27423956990242004
mm,0.2726340889930725
co,0.27172309160232544
de,0.27027103304862976
gb-wls,0.26702171564102173
hu,0.266981840133667
ro,0.26517122983932495
jp,0.2596507966518402
gd,0.2594533860683441
iq,0.2548598051071167
cf,0.25209516286849976
ml,0.2512982189655304
ca,0.25033682584762573
by,0.24966418743133545
sy,0.2485969215631485
mc,0.24857358634471893
ve,0.24618367850780487
ad,0.24119386076927185
ao,0.23948414623737335
gn,0.2388889491558075
gh,0.23591680824756622
je,0.2348601520061493
bj,0.23212182521820068
be,0.2285892516374588
my,0.22736616432666779
bv,0.2240135818719864
no,0.2240135818719864
sj,0.2240135818719864
bo,0.22379067540168762
va,0.22242344915866852
ne,0.21993164718151093
tj,0.21740947663784027
am,0.21626603603363037
zw,0.21269077062606812
pg,0.21215006709098816
ug,0.20968757569789886
af,0.20853863656520844
kw,0.20764552056789398
hr,0.20241032540798187
sk,0.19990934431552887
pr,0.19677475094795227
cg,0.1939873993396759
pe,0.19127535820007324
in,0.18767711520195007
bq,0.18432800471782684
nl,0.18432800471782684
cy,0.180974543094635
py,0.17923660576343536
ki,0.17330968379974365
um,0.17009887099266052
us,0.17009887099266052
vc,0.16962361335754395
er,0.1664605438709259
lt,0.1661963164806366
li,0.16328471899032593
mg,0.15721870958805084
sn,0.15385812520980835
km,0.14977917075157166
sx,0.13551755249500275
la,0.1351017951965332
si,0.12497442960739136
do,0.12228020280599594
om,0.11897381395101547
ht,0.11864285171031952
gm,0.11337505280971527
mw,0.11290854215621948
tk,0.11160855740308762
pa,0.11024130880832672
sz,0.10981874912977219
ph,0.10475419461727142
vi,0.09695762395858765
fo,0.09617054462432861
rs,0.09284380078315735
ru,0.08951613306999207
bd,0.07888122648000717
tg,0.07347892969846725
lu,0.07003424316644669
as,0.06767808645963669
kh,0.06743961572647095
sr,0.06647168844938278
ax,0.06632546335458755
ba,0.06416478753089905
mu,0.05848882347345352
bg,0.05666567385196686
bf,0.048789817839860916
cr,0.04797697812318802
np,0.04757513850927353
bl,0.046435050666332245
fr,0.046435050666332245
gf,0.046435050666332245
gp,0.046435050666332245
mf,0.046435050666332245
mq,0.046435050666332245
nc,0.046435050666332245
pm,0.046435050666332245
re,0.046435050666332245
yt,0.046435050666332245
kr,0.04330507665872574
ke,0.03347291797399521
kn,0.03126021474599838
ie,0.02658722549676895
bb,0.025196870788931847
th,0.017043307423591614
jo,0.015956228598952293
mx,0.013654842972755432
mv,0.006269438192248344
ag,-0.00035071931779384613
dz,-0.004017103463411331
ci,-0.0050661563873291016
vu,-0.006328802555799484
it,-0.010984815657138824
ae,-0.01101897656917572
eh,-0.01943160966038704
gy,-0.022305956110358238
et,-0.026061326265335083
za,-0.027108898386359215
na,-0.029360439628362656
gw,-0.03026263229548931
ar,-0.034374989569187164
ua,-0.03677622973918915
ps,-0.041462402790784836
io,-0.04210083931684494
st,-0.04406769573688507
sm,-0.04531748965382576
nf,-0.04912946745753288
is,-0.04983954876661301
il,-0.05094431713223457
ss,-0.05817500874400139
ly,-0.05950640141963959
ng,-0.07572993636131287
dm,-0.08171582221984863
cu,-0.08690248429775238
mz,-0.09090085327625275
gt,-0.09330133348703384
bz,-0.09410455822944641
ls,-0.09531091898679733
tf,-0.10415870696306229
jm,-0.10570289194583893
aq,-0.10730930417776108
lc,-0.10913696885108948
mr,-0.11448677629232407
hn,-0.11917456984519958
gb-sct,-0.14061535894870758
az,-0.14188353717327118
gr,-0.1423926055431366
uy,-0.1484580785036087
ai,-0.1503424048423767
se,-0.1534632295370102
uz,-0.15582863986492157
sv,-0.156188502907753
fk,-0.16010062396526337
fi,-0.16163872182369232
tc,-0.17046217620372772
ga,-0.172753244638443
gs,-0.1795511692762375
ck,-0.18170206248760223
pn,-0.18246369063854218
ky,-0.18597915768623352
ms,-0.19588693976402283
sl,-0.19649258255958557
vg,-0.1972070336341858
au,-0.1999598741531372
hm,-0.1999598741531372
pk,-0.20566010475158691
fj,-0.2082553654909134
ni,-0.21066828072071075
mh,-0.21105891466140747
br,-0.21778596937656403
nz,-0.21833257377147675
cd,-0.22183841466903687
cv,-0.24125660955905914
mp,-0.24275293946266174
pw,-0.24985633790493011
bs,-0.2542324960231781
dj,-0.2567720413208008
rw,-0.2573429048061371
zm,-0.26646384596824646
bw,-0.2687877118587494
tz,-0.2705141603946686
fm,-0.28157031536102295
cw,-0.2936580777168274
ee,-0.3135678768157959
xk,-0.31866228580474854
aw,-0.33633479475975037
nr,-0.36346733570098877
sb,-0.3714904189109802
mn,-0.4002108573913574
cx,-0.4052763283252716
cc,-0.4084392189979553
so,-0.419159471988678
gu,-0.428609699010849
eu,-0.4553256928920746
tv,-0.46300995349884033
sa,-0.48500707745552063
tm,-0.5075560808181763
mo,-0.5215885043144226
kz,-0.5853814482688904
