Image,Similarity
gu,0.5803866386413574
so,0.5580325126647949
kz,0.4946734607219696
cx,0.4815984070301056
mo,0.4670552611351013
nr,0.45562344789505005
eu,0.44943732023239136
cv,0.44639256596565247
bz,0.42693522572517395
mh,0.42274266481399536
ni,0.39521461725234985
pw,0.39355748891830444
cw,0.3845168352127075
sb,0.382781058549881
mp,0.3701482117176056
hn,0.3695589303970337
sv,0.3637152910232544
bs,0.34882697463035583
rw,0.3470463156700134
cd,0.3464928865432739
aw,0.32768481969833374
aq,0.32108384370803833
tv,0.3089369833469391
gb-sct,0.3072754442691803
tf,0.2899799346923828
ht,0.27230530977249146
nz,0.2721923887729645
fm,0.2676360309123993
mn,0.2585980296134949
ck,0.2583858370780945
kh,0.2572380006313324
ms,0.2541356682777405
au,0.253865122795105
hm,0.253865122795105
gs,0.2319893091917038
as,0.22520793974399567
fk,0.22496463358402252
bw,0.2225523293018341
is,0.22212357819080353
az,0.2164643257856369
ai,0.21294750273227692
ky,0.2120174616575241
sl,0.21138134598731995
bd,0.2106233537197113
tc,0.20189978182315826
gr,0.20105516910552979
vg,0.2007538080215454
uz,0.2005462944507599
pn,0.19682103395462036
cu,0.1957990974187851
ar,0.19372591376304626
sa,0.19345170259475708
ph,0.18430112302303314
gt,0.1799784004688263
ls,0.16707743704319
lc,0.16244827210903168
dj,0.16017161309719086
fj,0.15992434322834015
il,0.15744610130786896
li,0.1527268886566162
ae,0.15226617455482483
ga,0.15078282356262207
pk,0.14692901074886322
hr,0.146070197224617
na,0.144531711935997
ee,0.14142242074012756
ps,0.13072052597999573
uy,0.12611106038093567
jo,0.12510669231414795
cr,0.12231716513633728
la,0.12042232602834702
eh,0.11917085945606232
dm,0.11447007954120636
fi,0.11079058796167374
ss,0.10935207456350327
io,0.10805301368236542
se,0.10552167892456055
sr,0.09554387629032135
tm,0.09519398957490921
bb,0.09137093275785446
tz,0.08364889025688171
ax,0.0726785734295845
ng,0.07173942029476166
lu,0.06589721143245697
bq,0.06497472524642944
nl,0.06497472524642944
do,0.06227033585309982
sm,0.0601738840341568
np,0.05462648719549179
ua,0.052831850945949554
jm,0.05151337385177612
bl,0.050357408821582794
fr,0.050357408821582794
gf,0.050357408821582794
gp,0.050357408821582794
mf,0.050357408821582794
mq,0.050357408821582794
nc,0.050357408821582794
pm,0.050357408821582794
re,0.050357408821582794
yt,0.050357408821582794
za,0.04380515590310097
mr,0.04328148812055588
py,0.04316162317991257
it,0.04150761663913727
dz,0.03762844577431679
mu,0.036749400198459625
cc,0.03322064131498337
af,0.03083495795726776
gy,0.0255499929189682
gb-nir,0.021547239273786545
gb,0.021547239273786545
sh,0.021547239273786545
sd,0.010473798960447311
kp,0.006775463931262493
sy,0.0009062960743904114
kw,0.0004672070499509573
ke,-0.0007063001394271851
th,-0.004255708307027817
pa,-0.005112051963806152
ye,-0.006445920094847679
er,-0.013704728335142136
eg,-0.013813741505146027
ly,-0.014831490814685822
mx,-0.020889919251203537
fo,-0.02146323025226593
ao,-0.023389674723148346
iq,-0.03409956395626068
tk,-0.034196652472019196
si,-0.034199099987745285
ci,-0.03651551157236099
ru,-0.03908061236143112
om,-0.04288081079721451
cz,-0.049711376428604126
mw,-0.05029274523258209
cl,-0.051932986825704575
ie,-0.05346802994608879
sz,-0.05356043577194214
ag,-0.05530153214931488
hu,-0.05666770040988922
bv,-0.05907490849494934
no,-0.05907490849494934
sj,-0.05907490849494934
tj,-0.059194304049015045
sx,-0.06041206419467926
et,-0.06157102435827255
ws,-0.0647168755531311
um,-0.06627195328474045
us,-0.06627195328474045
vu,-0.0687045305967331
my,-0.07016148418188095
pr,-0.07056448608636856
mv,-0.07350233197212219
km,-0.07816252112388611
nf,-0.0798824280500412
bi,-0.08002575486898422
bg,-0.0820782333612442
ir,-0.0825730413198471
gm,-0.08578485250473022
be,-0.08922869712114334
cy,-0.09093505144119263
kn,-0.09188461303710938
lv,-0.09853330254554749
gb-wls,-0.09864933788776398
ba,-0.10431841015815735
qa,-0.1052694097161293
pg,-0.11157548427581787
pl,-0.11177165806293488
ro,-0.11404135823249817
gl,-0.11812111735343933
zm,-0.119791179895401
vi,-0.12122607231140137
bf,-0.13043053448200226
ad,-0.13055656850337982
mt,-0.1322561502456665
sk,-0.132310152053833
cf,-0.13359296321868896
by,-0.13736070692539215
td,-0.14174723625183105
pe,-0.14618714153766632
rs,-0.14640891551971436
ca,-0.14717243611812592
lr,-0.14734292030334473
jp,-0.14903493225574493
kr,-0.1504952311515808
bm,-0.15053290128707886
gb-eng,-0.1530420184135437
dk,-0.15447892248630524
gg,-0.15770365297794342
tw,-0.15829069912433624
je,-0.1598810851573944
ki,-0.16272760927677155
ne,-0.16407428681850433
mc,-0.16675999760627747
bj,-0.1764066517353058
gq,-0.1772119700908661
cg,-0.17922343313694
ge,-0.18303488194942474
gn,-0.18442709743976593
tg,-0.1853109896183014
sg,-0.18600568175315857
tt,-0.18625527620315552
st,-0.19820860028266907
mz,-0.19906213879585266
br,-0.20137082040309906
pf,-0.20961232483386993
mg,-0.21259237825870514
at,-0.2131357192993164
gi,-0.2147386372089386
in,-0.21628117561340332
cm,-0.2271578013896942
gh,-0.22785094380378723
sc,-0.22786420583724976
ch,-0.23294728994369507
sn,-0.2339993268251419
id,-0.2390243113040924
pt,-0.24053716659545898
ml,-0.24348856508731842
to,-0.2465139925479889
bo,-0.2506657838821411
im,-0.25259578227996826
de,-0.2546651065349579
bh,-0.25529712438583374
tn,-0.25917622447013855
lb,-0.2617923319339752
ug,-0.2620159983634949
gd,-0.2876529395580292
am,-0.2956312298774719
hk,-0.29633820056915283
tr,-0.29814308881759644
mm,-0.29855889081954956
vn,-0.30419397354125977
zw,-0.3068999946117401
va,-0.30884501338005066
ve,-0.3144218325614929
me,-0.3186505436897278
wf,-0.31866228580474854
gw,-0.32842403650283813
kg,-0.3376407325267792
es,-0.3562449812889099
mk,-0.36577314138412476
lt,-0.3780207931995392
lk,-0.38509997725486755
cn,-0.38528817892074585
ma,-0.385530948638916
bn,-0.39313095808029175
al,-0.3992123603820801
tl,-0.4019860029220581
bt,-0.4096871614456177
nu,-0.41349679231643677
ec,-0.4170461893081665
md,-0.421503484249115
co,-0.4305642545223236
vc,-0.45445355772972107
