Image,Similarity
sd,0.982715904712677
eg,0.9771243929862976
iq,0.9391276836395264
sy,0.9215099215507507
hu,0.9020493626594543
bq,0.8942164778709412
nl,0.8942164778709412
py,0.8410265445709229
ae,0.7878499627113342
in,0.7655980587005615
tj,0.7614530324935913
at,0.7519357204437256
ps,0.746735692024231
ne,0.7331364154815674
hr,0.7243487238883972
eh,0.7019219398498535
lu,0.6859262585639954
bo,0.6553501486778259
lv,0.6478761434555054
hn,0.6422158479690552
as,0.6081651449203491
kw,0.6057745218276978
gq,0.5901837348937988
jo,0.5849814414978027
sv,0.5475984215736389
sl,0.5473573207855225
ir,0.5225260257720947
uz,0.5172857046127319
gh,0.5095401406288147
ni,0.4846951961517334
ls,0.4379696547985077
pf,0.42781320214271545
gm,0.4258427619934082
ch,0.4032016694545746
dk,0.38941866159439087
sx,0.3794581890106201
lb,0.3781898617744446
do,0.34688395261764526
hk,0.34234628081321716
aq,0.3416445255279541
tn,0.32988888025283813
la,0.32525014877319336
bi,0.3095659911632538
es,0.2929731607437134
wf,0.2815173864364624
by,0.27917155623435974
ar,0.278532475233078
bf,0.2752567529678345
il,0.24850571155548096
im,0.2383567839860916
me,0.2378697544336319
vn,0.23695260286331177
ao,0.23293320834636688
dj,0.22965827584266663
tl,0.22698181867599487
bz,0.22227618098258972
gb-sct,0.22221708297729492
mm,0.2193748950958252
tr,0.21937252581119537
kg,0.21674691140651703
mk,0.2121780514717102
pg,0.20973189175128937
bt,0.2096303254365921
bv,0.20760634541511536
no,0.20760634541511536
sj,0.20760634541511536
pt,0.20542319118976593
mg,0.2041431963443756
gw,0.1978560835123062
kh,0.19485609233379364
za,0.1854543685913086
bm,0.17805665731430054
lk,0.1748967170715332
pl,0.1730717271566391
af,0.17243145406246185
ba,0.1656419336795807
co,0.16521435976028442
is,0.16497792303562164
cn,0.15688467025756836
gi,0.15304875373840332
km,0.1498936414718628
ec,0.14722703397274017
pa,0.14049972593784332
to,0.13954585790634155
gl,0.1330530345439911
ai,0.1311245709657669
cf,0.11936909705400467
cl,0.11394794285297394
mu,0.11300225555896759
mo,0.11036506295204163
jm,0.1042676642537117
st,0.10038045048713684
gr,0.09744210541248322
ma,0.09390325099229813
kp,0.0936407819390297
mt,0.09353017807006836
tc,0.09346020966768265
fk,0.09319771826267242
cm,0.09211423993110657
gb-wls,0.09054815024137497
qa,0.08370485156774521
bh,0.08323587477207184
tt,0.08242200314998627
ki,0.08191346377134323
pr,0.08120609819889069
ss,0.07290298491716385
mr,0.07137930393218994
ms,0.0703316405415535
mh,0.06942842900753021
bs,0.06927450001239777
mp,0.06832720339298248
so,0.06518696248531342
