Image,Similarity
ug,0.5025588274002075
ma,0.481262743473053
tg,0.4690035581588745
de,0.44916197657585144
gd,0.44385358691215515
al,0.43737277388572693
cn,0.4372214078903198
me,0.3915802836418152
qa,0.3887055814266205
sr,0.3836698532104492
lt,0.3776901364326477
tl,0.36606138944625854
mw,0.36122870445251465
tw,0.35499584674835205
to,0.3497084379196167
md,0.3478700518608093
vn,0.3477781414985657
mz,0.3464282751083374
ve,0.3434043228626251
by,0.33377566933631897
pt,0.3307005763053894
tr,0.32880133390426636
am,0.3179408609867096
ao,0.31789305806159973
mk,0.31001150608062744
ws,0.30494511127471924
zm,0.3048975467681885
kg,0.3017595708370209
sc,0.29287275671958923
pg,0.29141026735305786
kp,0.28826695680618286
td,0.2827712893486023
er,0.2795553505420685
cm,0.27739956974983215
sz,0.2769812345504761
ly,0.2704519033432007
ml,0.26682329177856445
bd,0.26383769512176514
bh,0.25657686591148376
im,0.25545361638069153
ke,0.25517597794532776
vc,0.25140976905822754
lk,0.2508544623851776
es,0.2455284595489502
nu,0.2451288402080536
kn,0.2434363216161728
gn,0.235502690076828
cr,0.2307681292295456
ro,0.22899892926216125
vu,0.22810044884681702
bj,0.22793583571910858
be,0.22346213459968567
ad,0.21623586118221283
wf,0.21269077062606812
tk,0.20595994591712952
sn,0.20337072014808655
cc,0.2016114890575409
st,0.19836516678333282
th,0.1973559558391571
om,0.19404257833957672
gb-wls,0.19368577003479004
tt,0.18346625566482544
bm,0.18343612551689148
li,0.18192091584205627
bn,0.1811155080795288
br,0.17969238758087158
tn,0.1739743947982788
af,0.16969969868659973
ec,0.16850721836090088
gw,0.16587921977043152
hk,0.16214996576309204
bf,0.1614382117986679
co,0.1580815613269806
gy,0.1580277532339096
cg,0.15481898188591003
bb,0.15058115124702454
mu,0.14698408544063568
gm,0.13713499903678894
jm,0.12482184171676636
ss,0.11989153921604156
gh,0.11807359755039215
ag,0.11791899055242538
dm,0.11111772060394287
bv,0.10647847503423691
no,0.10647847503423691
sj,0.10647847503423691
my,0.10050050914287567
bt,0.09360969066619873
pk,0.09325096011161804
gi,0.0912349671125412
tz,0.07888644188642502
mg,0.07600004225969315
bo,0.07520131021738052
na,0.07368583977222443
ch,0.06482385098934174
tm,0.06472351402044296
ru,0.056729912757873535
gb-nir,0.05035863071680069
gb,0.05035863071680069
sh,0.05035863071680069
ba,0.0458112433552742
ge,0.04327547922730446
ee,0.04137830063700676
id,0.031719669699668884
mm,0.0292787104845047
sx,0.02243155613541603
km,0.02073662355542183
rs,0.01678144931793213
ax,0.016321644186973572
sk,0.014326473698019981
ua,0.013115912675857544
