Image,Similarity
ro,0.923287034034729
td,0.9036716818809509
ml,0.7847744226455688
sn,0.7847025394439697
be,0.6409230828285217
bb,0.6341581344604492
md,0.6243331432342529
bl,0.4885484576225281
fr,0.4885484576225281
gf,0.4885484576225281
gp,0.4885484576225281
mf,0.4885484576225281
mq,0.4885484576225281
nc,0.4885484576225281
pm,0.4885484576225281
re,0.4885484576225281
yt,0.4885484576225281
bj,0.47330716252326965
gn,0.46257099509239197
kg,0.42423015832901
it,0.4222602844238281
pt,0.39798009395599365
nu,0.3809923827648163
vc,0.3791031241416931
vn,0.3700711727142334
mx,0.36960411071777344
cg,0.36302345991134644
gd,0.359815388917923
me,0.3323453962802887
mk,0.3259913921356201
cn,0.32162415981292725
pe,0.3214351534843445
cm,0.31775256991386414
hk,0.31579524278640747
es,0.3155306279659271
tn,0.30361831188201904
cl,0.3002277910709381
af,0.2939421534538269
tl,0.2936145067214966
ch,0.286006897687912
mm,0.2829703390598297
im,0.26741600036621094
bt,0.26432353258132935
tr,0.25859153270721436
ba,0.2562834918498993
ug,0.25089403986930847
bn,0.24320164322853088
wf,0.24119386076927185
ma,0.24110454320907593
pr,0.23893333971500397
ie,0.23376969993114471
tk,0.22965353727340698
gt,0.22173020243644714
cz,0.22032806277275085
zw,0.21623586118221283
ws,0.2148732841014862
tw,0.2141207754611969
dk,0.21403047442436218
de,0.20329073071479797
to,0.20246079564094543
ec,0.1986279934644699
lt,0.19607806205749512
ve,0.1917169988155365
ki,0.18843203783035278
co,0.1881452351808548
at,0.17648418247699738
id,0.1753685623407364
mt,0.16605496406555176
am,0.16444817185401917
ng,0.16443613171577454
bh,0.16198068857192993
sc,0.16020560264587402
um,0.159186452627182
us,0.159186452627182
ag,0.1541963815689087
al,0.15350234508514404
km,0.15305835008621216
sg,0.1475728452205658
ge,0.14706945419311523
gw,0.14310860633850098
gq,0.13406698405742645
by,0.13315826654434204
mc,0.13315531611442566
pl,0.13197959959506989
la,0.12957289814949036
va,0.129542738199234
gl,0.12762361764907837
pa,0.12645167112350464
gg,0.12609931826591492
bi,0.12603715062141418
pg,0.1256617158651352
bm,0.12389510124921799
ao,0.12354003638029099
je,0.12225949019193649
lr,0.11929459869861603
ne,0.11316351592540741
tt,0.11285819858312607
mw,0.10961039364337921
zm,0.1091846376657486
lv,0.10400542616844177
kn,0.1016131192445755
do,0.10086335241794586
pf,0.09801755100488663
kp,0.09582686424255371
om,0.09524187445640564
bf,0.09481534361839294
qa,0.08873145282268524
sr,0.08790791034698486
gb-wls,0.08693459630012512
in,0.08378148078918457
ir,0.08228087425231934
st,0.07835958153009415
mu,0.07803386449813843
lb,0.07644840329885483
dz,0.07628974318504333
tj,0.0735783725976944
lk,0.07322314381599426
bo,0.07306379824876785
ax,0.07182956486940384
cy,0.07084168493747711
vi,0.0669369325041771
tg,0.06662768125534058
bz,0.0643233209848404
gb-nir,0.0635899230837822
gb,0.0635899230837822
sh,0.0635899230837822
ss,0.062271468341350555
hu,0.06079899147152901
gb-eng,0.06071930378675461
gh,0.05778879672288895
fo,0.05734008550643921
sz,0.05733408033847809
ca,0.054893024265766144
my,0.05369020253419876
bg,0.047055747359991074
si,0.046483419835567474
vu,0.04484431818127632
rs,0.04414808750152588
cf,0.04276047274470329
ua,0.041802212595939636
ru,0.03797885403037071
th,0.03679591044783592
eg,0.03676851838827133
sk,0.03665325045585632
kr,0.03661006689071655
sd,0.036290571093559265
ye,0.030856329947710037
kw,0.0289011150598526
cr,0.027918070554733276
aq,0.027003318071365356
gm,0.026744889095425606
ke,0.026051118969917297
mv,0.025164226070046425
mz,0.023673012852668762
sy,0.02072257548570633
ci,0.018602266907691956
dm,0.01850699819624424
gy,0.017013875767588615
ly,0.014295324683189392
mr,0.012045085430145264
lc,0.009834857657551765
gi,0.009252391755580902
iq,0.00740010105073452
nf,-0.011722255498170853
bd,-0.01654614880681038
bv,-0.020284930244088173
no,-0.020284930244088173
sj,-0.020284930244088173
se,-0.02224225550889969
bq,-0.026058079674839973
nl,-0.026058079674839973
cc,-0.028971217572689056
jp,-0.029811523854732513
ht,-0.03467869013547897
lu,-0.03681280463933945
fi,-0.040675289928913116
jm,-0.04106687009334564
py,-0.04528900235891342
bs,-0.04775858670473099
az,-0.04879186302423477
mp,-0.05368668586015701
as,-0.0551222488284111
mg,-0.05865589529275894
kh,-0.06236749142408371
er,-0.06534546613693237
br,-0.0662621408700943
jo,-0.06791474670171738
ps,-0.07731077075004578
sm,-0.07763969898223877
ae,-0.07877795398235321
hr,-0.07929666340351105
eh,-0.08275226503610611
io,-0.08359748125076294
sx,-0.08502881228923798
ga,-0.08982086926698685
za,-0.0923224687576294
li,-0.09235703945159912
pw,-0.09409581124782562
ar,-0.09705354273319244
na,-0.1023135781288147
gr,-0.10554023087024689
uz,-0.11320291459560394
ee,-0.11643590778112411
mo,-0.11919692158699036
ph,-0.1298108696937561
xk,-0.13055656850337982
rw,-0.13402694463729858
is,-0.13735046982765198
sl,-0.13769705593585968
tz,-0.1430250108242035
cu,-0.15059933066368103
fj,-0.15129950642585754
uy,-0.15168270468711853
bw,-0.15554918348789215
sa,-0.15934035181999207
pk,-0.16187168657779694
il,-0.1671835035085678
cx,-0.16857069730758667
fm,-0.17746904492378235
ls,-0.18144237995147705
dj,-0.19081595540046692
hn,-0.2053278386592865
kz,-0.21041995286941528
mh,-0.2145804464817047
aw,-0.21537014842033386
gb-sct,-0.2178482711315155
sb,-0.22000382840633392
et,-0.22101527452468872
cv,-0.22398507595062256
ck,-0.2338738888502121
ni,-0.24450749158859253
pn,-0.25043484568595886
sv,-0.2557276785373688
gs,-0.2579963505268097
tc,-0.25886261463165283
cw,-0.26254016160964966
so,-0.2635385990142822
np,-0.2637048065662384
gu,-0.26405254006385803
nz,-0.26413044333457947
au,-0.2651708424091339
hm,-0.2651708424091339
ky,-0.26806026697158813
vg,-0.27037692070007324
ai,-0.27342790365219116
cd,-0.29123419523239136
fk,-0.29464879631996155
ms,-0.29910382628440857
nr,-0.31998443603515625
tv,-0.3258245587348938
eu,-0.3454109728336334
tm,-0.3557518422603607
tf,-0.3718945384025574
mn,-0.4227266013622284
