Image,Similarity
bb,0.46129611134529114
gn,0.4508804678916931
bd,0.43137165904045105
cm,0.41020113229751587
td,0.40010878443717957
pt,0.3840844929218292
me,0.3799987733364105
be,0.3620006740093231
mw,0.3562762439250946
ro,0.34917494654655457
vn,0.3408123850822449
ao,0.3219326138496399
tl,0.32181334495544434
cn,0.3212119936943054
ma,0.30722689628601074
la,0.3023146390914917
qa,0.2969178557395935
es,0.2968616187572479
ad,0.2939421534538269
kg,0.2782214283943176
im,0.27725642919540405
de,0.2727065980434418
ml,0.27231693267822266
tn,0.2691723108291626
hk,0.2660931348800659
mk,0.2560276985168457
pg,0.24894770979881287
tr,0.24284330010414124
by,0.24050791561603546
dm,0.23907971382141113
ch,0.23777155578136444
ke,0.23672205209732056
ug,0.23447659611701965
lv,0.23243536055088043
ws,0.22727707028388977
gd,0.22565540671348572
ag,0.2244662046432495
bj,0.22237741947174072
ly,0.21933965384960175
ss,0.21628431975841522
tt,0.21271342039108276
jo,0.2120298147201538
vu,0.2090909779071808
wf,0.20853863656520844
bm,0.20138448476791382
sn,0.2005196064710617
bz,0.18824928998947144
al,0.18754643201828003
sd,0.18733063340187073
bo,0.1845587193965912
md,0.18258997797966003
gh,0.18028554320335388
eg,0.17680421471595764
dk,0.17671597003936768
cc,0.17335885763168335
ye,0.17243145406246185
am,0.1723465621471405
zw,0.16969969868659973
mv,0.16699282824993134
sy,0.16456042230129242
mm,0.16394364833831787
bf,0.16336993873119354
tw,0.16253022849559784
ax,0.15874317288398743
tk,0.15198656916618347
to,0.1496097594499588
iq,0.14905813336372375
eh,0.14899568259716034
aq,0.14452722668647766
ps,0.1437399834394455
ht,0.143056720495224
li,0.13998878002166748
vc,0.13894781470298767
gm,0.13479933142662048
mr,0.1304015815258026
lk,0.12964636087417603
at,0.12787789106369019
er,0.12325993925333023
bi,0.12189424782991409
kh,0.12004660069942474
mu,0.11746448278427124
gq,0.11241340637207031
cf,0.11035627126693726
as,0.10640780627727509
ve,0.1056409701704979
bl,0.10541412234306335
fr,0.10541412234306335
gf,0.10541412234306335
gp,0.10541412234306335
mf,0.10541412234306335
mq,0.10541412234306335
nc,0.10541412234306335
pm,0.10541412234306335
re,0.10541412234306335
yt,0.10541412234306335
do,0.1042468249797821
tj,0.10157372057437897
gu,0.09963630139827728
mo,0.09949953109025955
gb-nir,0.09700536727905273
gb,0.09700536727905273
sh,0.09700536727905273
sx,0.09570412337779999
ki,0.09447963535785675
ec,0.08397039771080017
kn,0.08187156170606613
bq,0.07958850264549255
nl,0.07958850264549255
ba,0.07754924893379211
tg,0.0772416740655899
hu,0.07723551988601685
ci,0.07710158824920654
kw,0.07687927782535553
co,0.07490091025829315
cg,0.07401396334171295
ae,0.0737147331237793
id,0.07332032918930054
lt,0.07303747534751892
sa,0.07166698575019836
ne,0.07109921425580978
bs,0.06990588456392288
st,0.0697392076253891
is,0.06837029755115509
mp,0.06817454844713211
nu,0.06629344075918198
cx,0.06355471163988113
cl,0.06292296946048737
kp,0.06066958233714104
np,0.052954066544771194
sr,0.052841782569885254
gy,0.05204564705491066
it,0.051123201847076416
hr,0.04813114553689957
gb-wls,0.047432009130716324
py,0.04628975689411163
ir,0.044593822211027145
gw,0.044144682586193085
pr,0.04254255071282387
na,0.038946621119976044
zm,0.038290105760097504
jm,0.036993756890296936
br,0.03186064958572388
xk,0.03083495795726776
se,0.028170399367809296
bt,0.026307716965675354
sc,0.025831906124949455
ng,0.025350235402584076
mc,0.024365723133087158
my,0.021022407338023186
bv,0.020554877817630768
no,0.020554877817630768
sj,0.020554877817630768
sz,0.019196614623069763
pf,0.015545660629868507
