Image,Similarity
am,0.32110199332237244
ch,0.2867400646209717
be,0.2726002037525177
tn,0.26791322231292725
et,0.25151553750038147
me,0.2503129243850708
ht,0.24714747071266174
li,0.2459518015384674
hk,0.242885559797287
do,0.2396087944507599
de,0.23715679347515106
la,0.23626138269901276
bz,0.2322075068950653
bl,0.22852957248687744
fr,0.22852957248687744
gf,0.22852957248687744
gp,0.22852957248687744
mf,0.22852957248687744
mq,0.22852957248687744
nc,0.22852957248687744
pm,0.22852957248687744
re,0.22852957248687744
yt,0.22852957248687744
af,0.2244662046432495
ug,0.22146320343017578
gq,0.21444237232208252
tg,0.2062080055475235
cw,0.19518718123435974
kw,0.19508014619350433
gd,0.18935677409172058
sn,0.18559153378009796
pe,0.1855083405971527
mv,0.18382112681865692
pr,0.18208806216716766
ws,0.1803569793701172
gm,0.18014764785766602
mm,0.17842397093772888
mc,0.1744486540555954
bv,0.1734883189201355
no,0.1734883189201355
sj,0.1734883189201355
mp,0.17260104417800903
im,0.17207209765911102
it,0.1720689833164215
td,0.16982945799827576
mz,0.16948619484901428
bb,0.16549409925937653
ro,0.1653461456298828
rs,0.16099612414836884
ma,0.15928319096565247
kh,0.15857651829719543
aq,0.1557382494211197
ad,0.1541963815689087
id,0.15051686763763428
ph,0.1495249718427658
ir,0.14834719896316528
bi,0.1479780077934265
tt,0.1469958871603012
ve,0.13958726823329926
at,0.13884174823760986
jo,0.13868442177772522
cu,0.1383732557296753
ua,0.1365983933210373
kn,0.13460874557495117
dk,0.1339985877275467
kg,0.13283981382846832
gu,0.1293066442012787
qa,0.12782037258148193
ps,0.12518209218978882
al,0.12417694926261902
lv,0.12280459702014923
cv,0.12238716334104538
pt,0.12206403911113739
zw,0.11791899055242538
tk,0.11564527451992035
vn,0.11473646759986877
mo,0.11408963799476624
es,0.11338083446025848
eh,0.11284826695919037
gn,0.11006736010313034
mn,0.10894540697336197
ci,0.10820314288139343
ss,0.10614435374736786
ke,0.1058611273765564
mx,0.10383284837007523
pk,0.10305365175008774
ml,0.1012597605586052
mw,0.10122793912887573
as,0.09934084862470627
lb,0.09829093515872955
sg,0.09795922785997391
my,0.09439942985773087
mr,0.0936310812830925
cn,0.09149426221847534
zm,0.08918556571006775
ee,0.08909746259450912
sz,0.0760386735200882
th,0.07465942203998566
lt,0.0741841048002243
tw,0.07334721088409424
eu,0.07233688235282898
cg,0.07082659006118774
ki,0.06929367035627365
pf,0.06811055541038513
tl,0.06594762206077576
cc,0.0643736943602562
tr,0.060540735721588135
mk,0.059551939368247986
np,0.050875477492809296
mh,0.048687711358070374
sa,0.03649524599313736
tz,0.02906224876642227
cx,0.024687297642230988
md,0.022421255707740784
tm,0.021275732666254044
bd,0.018950115889310837
bq,0.018465563654899597
nl,0.018465563654899597
io,0.008040830492973328
tj,0.0038502439856529236
ae,0.003255583345890045
ie,0.0020547285676002502
sy,0.0008862204849720001
ng,0.0007522404193878174
za,1.8488150089979172e-05
wf,-0.00035071931779384613
iq,-0.0007516965270042419
hu,-0.001757688820362091
ly,-0.0026828013360500336
um,-0.003043016418814659
us,-0.003043016418814659
fi,-0.005112282931804657
br,-0.008315024897456169
bj,-0.011033188551664352
aw,-0.011526711285114288
dm,-0.011648986488580704
gt,-0.01302296668291092
vc,-0.014927469193935394
hn,-0.0184432715177536
ye,-0.018518507480621338
bt,-0.019373737275600433
py,-0.028320781886577606
gy,-0.02937406860291958
sd,-0.029563888907432556
si,-0.030986007302999496
nr,-0.0323532335460186
er,-0.03493514284491539
il,-0.03749974071979523
ao,-0.03908398002386093
eg,-0.03993888571858406
lk,-0.040650948882102966
mu,-0.04104364663362503
pa,-0.04288506507873535
mt,-0.043318528681993484
tf,-0.04356236010789871
sl,-0.04451730102300644
na,-0.045369572937488556
bm,-0.04705321416258812
to,-0.04776335135102272
gb-nir,-0.04849604517221451
gb,-0.04849604517221451
sh,-0.04849604517221451
sr,-0.05086536705493927
ec,-0.05126425623893738
nu,-0.05379166081547737
xk,-0.05530153214931488
nz,-0.05571133270859718
au,-0.05651857703924179
hm,-0.05651857703924179
hr,-0.05813518911600113
gs,-0.06202252581715584
gr,-0.06312169134616852
lr,-0.06333665549755096
sc,-0.06359873712062836
cr,-0.06430815905332565
sv,-0.06508756428956985
cf,-0.06665050983428955
ms,-0.06760740280151367
vg,-0.06813216954469681
ls,-0.06831507384777069
co,-0.06956367194652557
kp,-0.07024627923965454
ck,-0.07031287997961044
fj,-0.07084498554468155
pg,-0.0726214125752449
ky,-0.0745285302400589
rw,-0.07531943917274475
cm,-0.08091303706169128
vu,-0.08107218891382217
ba,-0.08155184239149094
st,-0.08321254700422287
is,-0.08530151844024658
tv,-0.0865543931722641
sx,-0.0878431499004364
je,-0.08888903260231018
tc,-0.08903055638074875
bh,-0.08951212465763092
lu,-0.0904291421175003
gl,-0.09132006019353867
so,-0.09147290885448456
pn,-0.0920984223484993
kr,-0.09235669672489166
dz,-0.10013371706008911
ni,-0.10895876586437225
fk,-0.11043895781040192
va,-0.1113944947719574
ai,-0.11278016865253448
uy,-0.11414126306772232
ne,-0.11444050073623657
fm,-0.1147095263004303
uz,-0.11778854578733444
ru,-0.12107951194047928
cl,-0.12311933189630508
bw,-0.12459948658943176
bo,-0.12862969934940338
ax,-0.12982091307640076
sb,-0.13532288372516632
ga,-0.13727109134197235
gh,-0.14027193188667297
kz,-0.14344382286071777
gb-sct,-0.14823681116104126
pw,-0.15056055784225464
cd,-0.1527184396982193
fo,-0.1555863469839096
bn,-0.15817822515964508
bs,-0.16013690829277039
sk,-0.16026508808135986
bg,-0.16042457520961761
