Image,Similarity
tc,0.953908383846283
fk,0.9017667770385742
ms,0.8823994398117065
ky,0.8705284595489502
gs,0.8669889569282532
nz,0.8527570366859436
vg,0.8472920656204224
pn,0.8434069752693176
au,0.8299429416656494
hm,0.8299429416656494
ck,0.7408424019813538
tv,0.530185878276825
tf,0.490805059671402
eu,0.4741124212741852
gu,0.4192489683628082
nr,0.41441524028778076
mn,0.34847697615623474
bm,0.3369762897491455
cx,0.32899925112724304
sa,0.31095466017723083
sx,0.29644617438316345
ao,0.28220272064208984
cw,0.27293267846107483
fj,0.26709187030792236
sb,0.264700710773468
tm,0.2600650489330292
pg,0.2540879547595978
mh,0.2537347078323364
vu,0.23936057090759277
is,0.2388058751821518
pk,0.2259901612997055
io,0.22458326816558838
ly,0.2180224508047104
xk,0.21294750273227692
np,0.20304442942142487
tz,0.19892463088035583
sy,0.19595979154109955
ss,0.19122695922851562
iq,0.18817906081676483
gm,0.17536699771881104
sv,0.17529752850532532
ke,0.1730668544769287
qa,0.16744600236415863
cc,0.16408658027648926
ls,0.16111591458320618
hn,0.15742124617099762
bf,0.14971226453781128
bs,0.14650851488113403
eg,0.14566102623939514
sd,0.1415015459060669
hr,0.14106573164463043
ae,0.13758942484855652
so,0.13503482937812805
ye,0.1311245709657669
cd,0.1295226663351059
mo,0.12272944301366806
et,0.12267203629016876
kh,0.12137189507484436
gb-wls,0.1192644014954567
za,0.11733853816986084
bd,0.11145197600126266
by,0.11060307919979095
ni,0.10996660590171814
kz,0.10856905579566956
mv,0.10769477486610413
py,0.10414297878742218
pa,0.09906236827373505
li,0.09825897961854935
bz,0.09690769761800766
dm,0.09664204716682434
eh,0.0916234701871872
jo,0.09141478687524796
se,0.09118857234716415
mp,0.08744558691978455
zm,0.0864119753241539
br,0.08639739453792572
ps,0.0779166966676712
cv,0.07750999927520752
to,0.06776351481676102
mw,0.06725449115037918
gh,0.06154325604438782
bo,0.05890367552638054
ht,0.055997561663389206
kn,0.05556575581431389
dj,0.051396116614341736
mg,0.05101246386766434
bq,0.04760117083787918
nl,0.04760117083787918
ax,0.04586309939622879
ru,0.0441724918782711
om,0.04161079600453377
aw,0.037449538707733154
kp,0.030561693012714386
co,0.02920282445847988
si,0.027471497654914856
na,0.026861989870667458
ba,0.025992121547460556
as,0.024174179881811142
gw,0.02331674098968506
bw,0.02197723463177681
gi,0.021890537813305855
sl,0.021864041686058044
uy,0.02160703018307686
bv,0.018093537539243698
no,0.018093537539243698
sj,0.018093537539243698
tj,0.017450952902436256
ph,0.017439668998122215
ve,0.0139261893928051
er,0.013170166872441769
jm,0.010877134278416634
la,0.009580902755260468
gb-nir,0.009176457300782204
gb,0.009176457300782204
sh,0.009176457300782204
il,0.0062094926834106445
aq,2.3905187845230103e-05
in,-0.0026906952261924744
gb-sct,-0.005897954106330872
al,-0.007113508880138397
tt,-0.007263418287038803
lu,-0.013006800785660744
cu,-0.014202108606696129
bg,-0.01672206073999405
az,-0.01740667223930359
cf,-0.01822681911289692
pw,-0.029552150517702103
sm,-0.030224649235606194
sk,-0.030546793714165688
rw,-0.03270752355456352
lt,-0.03273354470729828
lv,-0.03692130744457245
uz,-0.039229635149240494
ne,-0.03970980644226074
ma,-0.041850507259368896
mr,-0.04876741021871567
sz,-0.049153272062540054
am,-0.05037883669137955
af,-0.051222749054431915
hu,-0.05584283545613289
km,-0.05861198157072067
fm,-0.07671438157558441
gr,-0.08153782784938812
cz,-0.0817122682929039
gy,-0.08200377970933914
ec,-0.0824328064918518
th,-0.08397097885608673
tg,-0.09448343515396118
ws,-0.09489621967077255
cr,-0.09534217417240143
pl,-0.09638047218322754
dk,-0.09652405977249146
cm,-0.09888724982738495
me,-0.09936343878507614
ga,-0.10090433061122894
ee,-0.10542529076337814
im,-0.10570068657398224
zw,-0.10968749970197678
bb,-0.11277589946985245
ag,-0.11278016865253448
bh,-0.11500316858291626
kw,-0.11971540749073029
lc,-0.12080401182174683
bn,-0.12156857550144196
tw,-0.12362749129533768
pf,-0.12642888724803925
lb,-0.12978076934814453
tr,-0.13052500784397125
pt,-0.1326439082622528
mu,-0.13727934658527374
ir,-0.14035701751708984
do,-0.14377877116203308
kr,-0.14403262734413147
ug,-0.1473560482263565
ar,-0.14856424927711487
lk,-0.15012715756893158
wf,-0.1503424048423767
fi,-0.15066486597061157
st,-0.1532171070575714
mt,-0.1589372605085373
cl,-0.16003361344337463
mz,-0.16010302305221558
sr,-0.16120097041130066
sc,-0.1619914025068283
cn,-0.16304586827754974
tl,-0.16507059335708618
jp,-0.17763687670230865
tn,-0.17852173745632172
lr,-0.1840466558933258
gq,-0.18922850489616394
bj,-0.19080416858196259
pr,-0.1946239173412323
at,-0.2006382793188095
nf,-0.2032504379749298
dz,-0.20703934133052826
ki,-0.21167078614234924
rs,-0.21240822970867157
vn,-0.21684867143630981
hk,-0.22664301097393036
es,-0.2277378886938095
bi,-0.23254282772541046
my,-0.23291827738285065
de,-0.23956741392612457
gl,-0.24023841321468353
ge,-0.2521345615386963
gb-eng,-0.2522426247596741
tk,-0.2572966516017914
fo,-0.2597675621509552
ca,-0.2652811110019684
be,-0.26569610834121704
gt,-0.2684813141822815
ch,-0.2720862925052643
ad,-0.27342790365219116
nu,-0.27879026532173157
bl,-0.27941879630088806
fr,-0.27941879630088806
gf,-0.27941879630088806
gp,-0.27941879630088806
mf,-0.27941879630088806
mq,-0.27941879630088806
nc,-0.27941879630088806
pm,-0.27941879630088806
re,-0.27941879630088806
yt,-0.27941879630088806
kg,-0.28780823945999146
mk,-0.29059839248657227
mx,-0.2933834195137024
je,-0.2956791818141937
mm,-0.298724889755249
vi,-0.30417701601982117
pe,-0.3057217299938202
ua,-0.3078625798225403
um,-0.3110232651233673
us,-0.3110232651233673
it,-0.31328922510147095
td,-0.31475862860679626
cy,-0.32228410243988037
ci,-0.3226272761821747
gg,-0.325684130191803
ro,-0.3257439136505127
md,-0.3279777467250824
gn,-0.3359450101852417
gd,-0.3361154794692993
ng,-0.3481581509113312
vc,-0.3530586361885071
ie,-0.37331488728523254
id,-0.37506303191185
sn,-0.38195404410362244
mc,-0.393807590007782
bt,-0.3963180482387543
sg,-0.40132299065589905
ml,-0.40200451016426086
va,-0.43701276183128357
cg,-0.4964575469493866
