Image,Similarity
ma,0.8602814674377441
cn,0.7839752435684204
me,0.772555410861969
qa,0.7585578560829163
tl,0.7311341166496277
vn,0.6623656749725342
tw,0.6559098958969116
ws,0.6424805521965027
tr,0.6376611590385437
im,0.6305288076400757
kg,0.618036687374115
to,0.5992414951324463
lk,0.5337263345718384
wf,0.5308964848518372
tn,0.525444507598877
mk,0.5237746238708496
pt,0.5143470764160156
de,0.5117608308792114
bh,0.5008370876312256
hk,0.49361005425453186
es,0.4853768050670624
tt,0.48531293869018555
ao,0.4755949378013611
li,0.47200971841812134
pg,0.4611605107784271
am,0.45810574293136597
bm,0.44348272681236267
zw,0.43737277388572693
lt,0.4044559895992279
ly,0.39830008149147034
ve,0.3954590857028961
cm,0.37333792448043823
mw,0.35279691219329834
by,0.35190245509147644
mv,0.35164833068847656
ug,0.31504106521606445
kn,0.3026955723762512
ch,0.30008625984191895
md,0.29933851957321167
gi,0.2796960473060608
ph,0.268449604511261
vu,0.25553470849990845
bv,0.2536172866821289
no,0.2536172866821289
sj,0.2536172866821289
ht,0.25105002522468567
dk,0.25070735812187195
gh,0.24670857191085815
ke,0.24450144171714783
lv,0.24109706282615662
ec,0.24050216376781464
mz,0.23789550364017487
be,0.2263549268245697
zm,0.22282914817333221
td,0.22278223931789398
co,0.212294802069664
sx,0.20005615055561066
gb-wls,0.19957932829856873
mu,0.19797196984291077
af,0.18754643201828003
my,0.18600407242774963
bo,0.18163816630840302
kp,0.17378593981266022
bj,0.17344270646572113
gd,0.16959041357040405
gm,0.1643742024898529
tk,0.16238728165626526
la,0.15898564457893372
ro,0.1587257981300354
er,0.15679936110973358
ad,0.15350234508514404
nu,0.14644011855125427
sz,0.1450851857662201
vc,0.14458733797073364
et,0.14344348013401031
ag,0.12417694926261902
tg,0.12285356223583221
id,0.11880436539649963
bf,0.1177932545542717
ml,0.11631623655557632
bt,0.11579103022813797
at,0.11464940756559372
sc,0.11281271278858185
gn,0.09754630923271179
ki,0.09151745587587357
mr,0.08943064510822296
lb,0.08902199566364288
rs,0.08886702358722687
sk,0.08680706471204758
bn,0.08555424213409424
gb-nir,0.08001092076301575
gb,0.08001092076301575
sh,0.08001092076301575
np,0.07912717014551163
ge,0.07335600256919861
ss,0.07070101797580719
mm,0.06623193621635437
cg,0.06581881642341614
pf,0.05662217736244202
pr,0.05306149274110794
iq,0.04726665839552879
sn,0.046899646520614624
pe,0.041980281472206116
ru,0.04178684949874878
eg,0.03915955871343613
kh,0.03492451459169388
th,0.03440636396408081
sy,0.03420434147119522
bb,0.026988808065652847
gs,0.02668113261461258
mc,0.025782793760299683
tc,0.021365374326705933
bd,0.021014228463172913
si,0.01769382506608963
vg,0.017424840480089188
mg,0.016927149146795273
gl,0.00968097522854805
ky,0.00954409595578909
ax,0.006166189908981323
mt,0.003981642425060272
pn,0.003205119865015149
cf,0.00046212971210479736
ye,-0.0010483656078577042
om,-0.0012996643781661987
cz,-0.0018146522343158722
nz,-0.004816579632461071
au,-0.0061975810676813126
hm,-0.0061975810676813126
ua,-0.006650060415267944
ai,-0.007113508880138397
sd,-0.007827332243323326
gq,-0.01115383580327034
cl,-0.011763311922550201
ba,-0.01434842124581337
pl,-0.014828585088253021
lr,-0.018998347222805023
bg,-0.019381992518901825
na,-0.01986374333500862
gw,-0.02074873447418213
sr,-0.021190110594034195
cc,-0.021233901381492615
pk,-0.024631217122077942
dm,-0.026070214807987213
fk,-0.026943733915686607
ms,-0.029979338869452477
za,-0.030521759763360023
sg,-0.03441545367240906
cw,-0.04157166928052902
ck,-0.05024970695376396
jm,-0.060157693922519684
gg,-0.06211673468351364
tz,-0.06344622373580933
br,-0.07126092165708542
gb-eng,-0.07344654202461243
do,-0.07817757874727249
st,-0.07858461141586304
jp,-0.08414075523614883
ee,-0.08459590375423431
tf,-0.0849069207906723
is,-0.08624492585659027
nr,-0.09158147871494293
tm,-0.09326785802841187
bi,-0.09617157280445099
hr,-0.10179148614406586
ir,-0.10331594944000244
um,-0.10483487695455551
us,-0.10483487695455551
mn,-0.10501046478748322
jo,-0.10933314263820648
km,-0.11842796206474304
kw,-0.11943135410547256
tj,-0.12056919187307358
ne,-0.12217099964618683
va,-0.1326630711555481
ca,-0.137459859251976
cr,-0.1496828943490982
mh,-0.15103241801261902
pa,-0.15375086665153503
eu,-0.15704503655433655
je,-0.1600591391324997
in,-0.16193655133247375
hu,-0.17302709817886353
py,-0.17634403705596924
gy,-0.18043851852416992
sb,-0.18759863078594208
eh,-0.19830167293548584
bz,-0.19966933131217957
cv,-0.20177501440048218
gu,-0.20517030358314514
bq,-0.20803490281105042
nl,-0.20803490281105042
vi,-0.20958346128463745
bl,-0.21309825778007507
fr,-0.21309825778007507
gf,-0.21309825778007507
gp,-0.21309825778007507
mf,-0.21309825778007507
mq,-0.21309825778007507
nc,-0.21309825778007507
pm,-0.21309825778007507
re,-0.21309825778007507
yt,-0.21309825778007507
se,-0.21535032987594604
io,-0.21863485872745514
fo,-0.22178231179714203
kr,-0.22511708736419678
sa,-0.23459592461585999
ps,-0.23919804394245148
as,-0.24593845009803772
dz,-0.2517016530036926
az,-0.2520899176597595
ae,-0.2574194669723511
mx,-0.2621442973613739
fi,-0.2760920524597168
cx,-0.2970082759857178
cu,-0.3145982623100281
rw,-0.31920838356018066
ga,-0.3322311043739319
it,-0.3335994482040405
cd,-0.33464789390563965
cy,-0.33647239208221436
bs,-0.3504815697669983
nf,-0.3562701940536499
ci,-0.361619770526886
lu,-0.3730308413505554
ls,-0.37447768449783325
mp,-0.3768270015716553
uy,-0.38037529587745667
aq,-0.39380061626434326
xk,-0.3992123603820801
bw,-0.399291455745697
ie,-0.41036176681518555
lc,-0.4429660141468048
il,-0.4480006694793701
hn,-0.46110597252845764
gr,-0.46434858441352844
sm,-0.48097193241119385
sv,-0.4813462495803833
mo,-0.4832385778427124
fj,-0.4910263419151306
dj,-0.5263148546218872
ng,-0.528573215007782
aw,-0.5346619486808777
tv,-0.5441501140594482
gb-sct,-0.5552493333816528
uz,-0.5644956827163696
pw,-0.5763434171676636
sl,-0.5882274508476257
gt,-0.596131443977356
ni,-0.6052555441856384
ar,-0.6157084703445435
fm,-0.7104388475418091
so,-0.7419173121452332
kz,-0.7642437219619751
