Image,Similarity
ve,0.5344683527946472
lt,0.5070526003837585
gm,0.4620640277862549
al,0.45810574293136597
mv,0.4247893691062927
ma,0.4242042303085327
gd,0.41038915514945984
rs,0.4044676423072815
ly,0.3956012725830078
me,0.3614048361778259
qa,0.34462451934814453
ug,0.3355734944343567
mz,0.3231790065765381
ag,0.32110199332237244
cn,0.32009732723236084
zw,0.3179408609867096
la,0.3059201240539551
de,0.305865079164505
tl,0.2879531979560852
tr,0.2867158353328705
si,0.281086266040802
ws,0.2804492712020874
im,0.27598056197166443
tw,0.27449771761894226
tn,0.2674749195575714
ru,0.2563389241695404
hk,0.2550015151500702
bv,0.2467992603778839
no,0.2467992603778839
sj,0.2467992603778839
tt,0.23839952051639557
vu,0.23754259943962097
vn,0.23013080656528473
md,0.22588947415351868
wf,0.21626603603363037
th,0.2117319256067276
li,0.21112704277038574
pt,0.21081934869289398
ao,0.20614314079284668
kg,0.20610523223876953
bh,0.19538399577140808
id,0.19460301101207733
to,0.1945357620716095
pr,0.18882901966571808
mk,0.18510812520980835
ch,0.18333397805690765
bm,0.174615740776062
cm,0.1732378602027893
at,0.17267806828022003
af,0.1723465621471405
bn,0.17130984365940094
mm,0.16750673949718475
pg,0.16735447943210602
mc,0.1646660715341568
ad,0.16444817185401917
mu,0.1628427654504776
lb,0.15012241899967194
bf,0.1495911031961441
bg,0.1436592936515808
my,0.14190316200256348
tk,0.13868054747581482
ua,0.13856276869773865
bb,0.1339217573404312
dk,0.13190177083015442
es,0.13169622421264648
td,0.12631317973136902
sk,0.12577398121356964
lk,0.125714972615242
be,0.1254964917898178
cf,0.11991926282644272
lv,0.11990159749984741
vc,0.11821005493402481
mr,0.11673054099082947
ht,0.11623944342136383
nu,0.1159844920039177
tg,0.11207094043493271
sg,0.10731373727321625
ro,0.09662829339504242
cw,0.09653659164905548
mw,0.09296655654907227
kn,0.08861687034368515
ec,0.0859399139881134
ki,0.0844574123620987
bi,0.07970523834228516
np,0.07890259474515915
sn,0.07614970207214355
ml,0.07015511393547058
ee,0.06929853558540344
co,0.06882135570049286
ph,0.06785175949335098
gn,0.0656844824552536
sx,0.06525291502475739
by,0.06261841207742691
pf,0.06122758984565735
zm,0.05553238093852997
sz,0.0406356044113636
fi,0.03881307691335678
mg,0.03165604919195175
pk,0.02937249280512333
au,0.027562417089939117
hm,0.027562417089939117
gs,0.02737218141555786
vg,0.017974788323044777
ky,0.016155196353793144
nz,0.013107199221849442
gi,0.008801616728305817
sy,0.005314439535140991
ck,0.002685045823454857
pn,0.0009938329458236694
ke,-0.0018186569213867188
iq,-0.0037461519241333008
ms,-0.005988839082419872
pe,-0.006345435976982117
fk,-0.013261482119560242
tj,-0.0147780179977417
tf,-0.016913365572690964
ne,-0.018136650323867798
mt,-0.022762581706047058
cc,-0.02402358502149582
bt,-0.026100177317857742
gb-wls,-0.02787945047020912
eu,-0.029805172234773636
aw,-0.03055379167199135
ss,-0.03085804544389248
in,-0.032333895564079285
um,-0.034204334020614624
us,-0.034204334020614624
tm,-0.03468494862318039
na,-0.03677001968026161
gq,-0.03757292032241821
za,-0.03758830949664116
bj,-0.038543976843357086
sc,-0.03920099511742592
