Image,Similarity
pg,0.6784114837646484
vu,0.5793983936309814
ma,0.5526342988014221
cn,0.4669364392757416
vn,0.455951452255249
to,0.434658944606781
ke,0.4129635691642761
bo,0.4117793142795563
nz,0.3489623665809631
au,0.3352059721946716
ws,0.3327444195747375
es,0.320763885974884
zw,0.3178930580615997
co,0.2859908640384674
ug,0.275379866361618
eg,0.2690611779689789
ve,0.2193977534770965
sa,0.1988000571727752
ec,0.1904453039169311
za,0.1853083074092865
pk,0.1810958832502365
de,0.179463505744934
jm,0.1107491552829742
bz,0.0959943160414695
sb,0.082359030842781
gb,0.0455488413572311
py,0.033168226480484
in,0.0255764219909906
ht,0.0111078843474388
br,-0.0399600267410278
ru,-0.0537018999457359
do,-0.0537406653165817
as,-0.0572711639106273
cl,-0.0611454918980598
se,-0.0829170197248458
th,-0.0977587401866912
pl,-0.1008290871977806
cr,-0.1419708132743835
pe,-0.1461307555437088
id,-0.1747748404741287
fr,-0.1901191920042038
cu,-0.211523026227951
dz,-0.2260322272777557
pw,-0.2526262402534485
tv,-0.2588441967964172
it,-0.2907281517982483
us,-0.291971206665039
mx,-0.3142499029636383
uy,-0.3434033989906311
kz,-0.3576581478118896
kr,-0.381347119808197
jp,-0.3858135342597961
ua,-0.3899759650230407
il,-0.41392982006073
ca,-0.414274662733078
fj,-0.4386468827724457
gr,-0.4654988944530487
ng,-0.4952052235603332
gt,-0.533646821975708
ar,-0.5838559865951538
