Image,Similarity
py,0.5830632448196411
eg,0.5723223686218262
il,0.4898263812065124
ar,0.4512615501880646
in,0.3718459010124206
do,0.3269246220588684
bz,0.324761688709259
dz,0.2760400176048279
cu,0.2608987689018249
bo,0.2529222071170807
pw,0.1963625401258468
ng,0.1697884947061538
uy,0.1669621169567108
fr,0.1648167073726654
jm,0.1637741476297378
kz,0.1614582240581512
fj,0.1570822298526764
es,0.1508380323648452
cl,0.1461036801338195
gt,0.1378922015428543
gr,0.1372764110565185
it,0.1370340287685394
ht,0.1350549757480621
gb,0.1297701299190521
us,0.1253101825714111
pl,0.1172800585627555
se,0.0836499035358429
tv,0.081609696149826
id,0.0656865984201431
sb,0.0655646473169326
sa,0.0568977855145931
ke,0.0479860678315162
cr,0.0418441668152809
pk,0.0388274639844894
za,0.0382792688906192
vn,0.0185648873448371
mx,0.0105145797133445
ua,-0.0179390460252761
br,-0.0225081779062747
pg,-0.0249014720320701
ws,-0.0495770797133445
pe,-0.056991808116436
ao,-0.0572711639106273
kr,-0.0681883171200752
cn,-0.0784199982881546
ug,-0.0848829373717308
nz,-0.0894811302423477
au,-0.0913555771112442
co,-0.1293727606534958
ec,-0.1348767131567001
to,-0.1526479423046112
ca,-0.1585225462913513
ma,-0.1587686538696289
de,-0.1648996621370315
jp,-0.1689551323652267
vu,-0.1938349902629852
th,-0.2551841735839844
ru,-0.2913058400154114
ve,-0.3235313296318054
zw,-0.3259353637695312
