Image,Similarity
fm,0.6612848043441772
so,0.6406264305114746
lc,0.501868724822998
gt,0.4588436484336853
ar,0.45316213369369507
gb-sct,0.4510384798049927
kz,0.4477302134037018
gr,0.44434189796447754
tv,0.4396360516548157
fj,0.42672109603881836
dj,0.4106045663356781
il,0.3960379362106323
uz,0.3956069052219391
ni,0.3931484818458557
rw,0.37634599208831787
ng,0.37154969573020935
uy,0.3622610569000244
fi,0.3616979718208313
bw,0.3566741645336151
sm,0.35484182834625244
si,0.351327121257782
mp,0.3447950482368469
nf,0.331168532371521
xk,0.32768481969833374
cu,0.3186190724372864
sv,0.3147698938846588
ie,0.30230841040611267
hn,0.30081579089164734
ls,0.2977212369441986
ru,0.2971872091293335
eu,0.2838425040245056
cv,0.2757098376750946
mn,0.27186456322669983
cw,0.2715560495853424
cy,0.2690238058567047
pw,0.26842960715293884
cd,0.2582973837852478
fo,0.2533954083919525
ua,0.25268685817718506
bg,0.251697301864624
aq,0.2506038248538971
ee,0.24813640117645264
sl,0.23262819647789001
kr,0.2301701307296753
mo,0.22778257727622986
io,0.2264896184206009
ci,0.22302192449569702
sb,0.22161853313446045
vi,0.2202991247177124
it,0.21267041563987732
tf,0.210343599319458
mx,0.20399904251098633
gu,0.181648850440979
dz,0.17565575242042542
je,0.169271320104599
sk,0.16746249794960022
as,0.16663308441638947
kw,0.1645907610654831
um,0.1639658361673355
us,0.1639658361673355
mh,0.16134870052337646
jp,0.15671399235725403
bl,0.15201956033706665
fr,0.15201956033706665
gf,0.15201956033706665
gp,0.15201956033706665
mf,0.15201956033706665
mq,0.15201956033706665
nc,0.15201956033706665
pm,0.15201956033706665
re,0.15201956033706665
yt,0.15201956033706665
az,0.15035925805568695
ca,0.14922334253787994
ph,0.12750253081321716
ir,0.12316098809242249
cr,0.12064782530069351
pl,0.116493359208107
cz,0.11409244686365128
bz,0.10590694099664688
gb-eng,0.10296452790498734
cl,0.10126524418592453
pa,0.10116006433963776
ht,0.0989828035235405
lu,0.09470699727535248
ae,0.0927639752626419
th,0.08912688493728638
nr,0.08463748544454575
fk,0.0807199776172638
do,0.06973594427108765
rs,0.06964817643165588
bi,0.06703560054302216
ck,0.06614933907985687
lr,0.0647280216217041
ms,0.06404633820056915
gl,0.061402175575494766
is,0.059983111917972565
lb,0.057358622550964355
ps,0.05466721951961517
mt,0.05294357240200043
hu,0.047733575105667114
ky,0.04624529927968979
gq,0.044972799718379974
pr,0.043007660657167435
sa,0.04190482944250107
gg,0.03939216956496239
ai,0.037449538707733154
gs,0.035988129675388336
au,0.030851265415549278
hm,0.030851265415549278
nz,0.028755441308021545
pn,0.025231432169675827
pe,0.02423667348921299
va,0.023737801238894463
vg,0.022922402247786522
sg,0.02291618287563324
bq,0.021208956837654114
nl,0.021208956837654114
eh,0.020900771021842957
np,0.017220882698893547
cf,0.0165390744805336
in,0.00618976354598999
at,0.0032465457916259766
mz,-0.0025664567947387695
tc,-0.003274570219218731
cx,-0.0047528184950351715
pf,-0.005803018808364868
tm,-0.007001444697380066
ag,-0.011526711285114288
mc,-0.01593068242073059
tj,-0.022810757160186768
hr,-0.0247592031955719
na,-0.025608135387301445
sz,-0.027700001373887062
am,-0.03055379167199135
se,-0.03250574320554733
pk,-0.03251686319708824
ge,-0.03753674030303955
tk,-0.037962161004543304
py,-0.040750592947006226
km,-0.04638764262199402
gb-nir,-0.050614286214113235
gb,-0.050614286214113235
sh,-0.050614286214113235
et,-0.05270231515169144
kh,-0.0585683137178421
bs,-0.058634109795093536
br,-0.05903429538011551
jo,-0.06206823140382767
li,-0.06343932449817657
bv,-0.06517550349235535
no,-0.06517550349235535
sj,-0.06517550349235535
gi,-0.07096924632787704
my,-0.07188595831394196
