Image,Similarity
se,0.5184715986251831
ga,0.4216316342353821
is,0.38792720437049866
bs,0.37695345282554626
bd,0.3610152304172516
gy,0.3374226689338684
er,0.3209770619869232
st,0.31500113010406494
dm,0.3007189631462097
pw,0.30039435625076294
mw,0.2964114844799042
az,0.28735557198524475
gh,0.2601301074028015
by,0.2354777604341507
jm,0.22869271039962769
ke,0.2219693958759308
ss,0.19661128520965576
bo,0.19367161393165588
de,0.18763467669487
om,0.18750205636024475
gn,0.18615782260894775
sr,0.18497741222381592
kp,0.17262321710586548
np,0.17073199152946472
kh,0.16866430640220642
br,0.16188448667526245
af,0.15874317288398743
sc,0.15610024333000183
jo,0.15266597270965576
va,0.144932359457016
gb-nir,0.14358080923557281
gb,0.14358080923557281
sh,0.14358080923557281
sv,0.14095312356948853
ni,0.13952726125717163
es,0.13458797335624695
td,0.132816880941391
ml,0.13169771432876587
vn,0.12885448336601257
bb,0.12673500180244446
cr,0.12446637451648712
eh,0.1230030506849289
kg,0.1180761307477951
tl,0.11518584191799164
md,0.11406423151493073
ro,0.1138584166765213
cn,0.10974515974521637
tz,0.10688582807779312
ao,0.10455802828073502
mh,0.10396155714988708
lk,0.10135655105113983
mk,0.10001224279403687
ge,0.0979779064655304
hn,0.0979270190000534
bw,0.09673342108726501
ps,0.09524771571159363
sl,0.0944356769323349
gb-wls,0.09433665126562119
cc,0.08780958503484726
cm,0.0876854956150055
qa,0.08562417328357697
cx,0.08559700101613998
uz,0.08349955081939697
gg,0.08173981308937073
ae,0.08149844408035278
to,0.08074133843183517
bh,0.08060232549905777
me,0.07951226830482483
mp,0.07480941712856293
mu,0.07428298890590668
xk,0.0726785734295845
ad,0.07182956486940384
ls,0.07101446390151978
pg,0.0692315474152565
ca,0.06858736276626587
vc,0.06841953098773956
wf,0.06632546335458755
hr,0.06566224247217178
tk,0.06529717892408371
ar,0.06434513628482819
tc,0.06088951975107193
bf,0.06088263541460037
rw,0.06078029423952103
gb-eng,0.05821148306131363
ma,0.05757195129990578
tr,0.057314544916152954
pt,0.04833552986383438
tt,0.04768206924200058
ai,0.04586309939622879
sn,0.04419206827878952
jp,0.040498729795217514
ne,0.03884907066822052
tg,0.0383690744638443
zm,0.03781422972679138
vu,0.03751228377223015
ki,0.03501797094941139
mg,0.034686896950006485
nz,0.03411274030804634
cv,0.03039935976266861
au,0.030039101839065552
hm,0.030039101839065552
im,0.027455328032374382
gi,0.026628434658050537
gw,0.02592325210571289
eg,0.023570910096168518
tn,0.020385097712278366
py,0.020233675837516785
sz,0.01939745806157589
bq,0.0184289813041687
nl,0.0184289813041687
id,0.01818346418440342
na,0.017802109941840172
ms,0.016854511573910713
hk,0.01683485507965088
zw,0.016321644186973572
pn,0.015328682959079742
ky,0.014940404333174229
vg,0.014703838154673576
sx,0.014072556048631668
cy,0.013956090435385704
cf,0.013490638695657253
as,0.01269165426492691
lu,0.01214224100112915
km,0.00979536585509777
sa,0.00782769639045
ua,0.007154122926294804
mo,0.006604287773370743
al,0.006166189908981323
gs,0.005993379279971123
sb,0.005583424121141434
ph,0.005081320181488991
fk,0.005017615854740143
ck,0.0042198048904538155
cu,0.004075551405549049
bt,0.003979850560426712
kn,0.003947153687477112
sd,0.003906622529029846
ht,0.0030244840309023857
do,0.0030022189021110535
kw,0.002988368272781372
iq,0.0021968409419059753
tj,0.00208282470703125
gr,0.0018540173768997192
za,0.0015747565776109695
ye,0.0012419074773788452
cl,0.0008089300245046616
bm,-0.0011227666400372982
sy,-0.0011794120073318481
pk,-0.0014407671988010406
mc,-0.001669473946094513
nr,-0.003577151335775852
be,-0.0038340799510478973
kz,-0.003890475258231163
