Image,Similarity
bs,0.5260801911354065
om,0.5177950263023376
uz,0.46392005681991577
ga,0.4290826916694641
rw,0.41309854388237
dj,0.3538142144680023
st,0.3521965444087982
ni,0.35008877515792847
jm,0.34192734956741333
sr,0.32478201389312744
sb,0.318365216255188
gy,0.3178972899913788
ls,0.28988826274871826
ax,0.28735557198524475
sv,0.2798576354980469
ua,0.2792101502418518
se,0.26564639806747437
pw,0.2609754800796509
ar,0.26059362292289734
kz,0.25850650668144226
kh,0.25057095289230347
hn,0.25050830841064453
bd,0.2484939992427826
ae,0.2433815896511078
cr,0.23777689039707184
cl,0.22904106974601746
ht,0.22871313989162445
er,0.22795572876930237
mw,0.2186231166124344
xk,0.2164643257856369
ke,0.21043546497821808
de,0.20179937779903412
cv,0.19752299785614014
gb-sct,0.19656914472579956
ph,0.19635920226573944
ss,0.1941831260919571
sl,0.19220829010009766
pl,0.19197115302085876
so,0.19040228426456451
mo,0.18783649802207947
dm,0.18758031725883484
cd,0.18411123752593994
is,0.18154166638851166
gb-wls,0.1799350082874298
na,0.171684131026268
mz,0.17160961031913757
br,0.17023631930351257
kp,0.1681855022907257
lc,0.16662141680717468
mh,0.16368797421455383
tk,0.1524917483329773
jo,0.1505008041858673
aw,0.15035925805568695
bw,0.14818429946899414
aq,0.1464616060256958
nr,0.1418955773115158
cz,0.13179729878902435
fm,0.12559275329113007
li,0.12466281652450562
il,0.11819709092378616
ee,0.11168761551380157
gr,0.10932303965091705
ir,0.10892775654792786
kw,0.10755481570959091
cg,0.10464701056480408
eh,0.1038978323340416
by,0.10235078632831573
as,0.10036046802997589
gu,0.09990373253822327
cu,0.09797759354114532
ps,0.09609082341194153
mp,0.09414264559745789
gg,0.0938708484172821
gb-nir,0.08996760100126266
gb,0.08996760100126266
sh,0.08996760100126266
ng,0.08892227709293365
sa,0.08639703691005707
it,0.0837659239768982
ci,0.08189224451780319
ca,0.07787055522203445
gl,0.0762486532330513
cc,0.07515095919370651
cw,0.07459220290184021
ie,0.07344981282949448
bl,0.07222901284694672
fr,0.07222901284694672
gf,0.07222901284694672
gp,0.07222901284694672
mf,0.07222901284694672
mq,0.07222901284694672
nc,0.07222901284694672
pm,0.07222901284694672
re,0.07222901284694672
yt,0.07222901284694672
mn,0.07063104957342148
gb-eng,0.06967005133628845
et,0.06803616136312485
gt,0.06637147068977356
cy,0.06506431102752686
cx,0.06063210964202881
cf,0.05663838982582092
mx,0.05213584750890732
jp,0.05207379162311554
fo,0.047921471297740936
ge,0.047734133899211884
eu,0.0466916449368
tm,0.0434035025537014
bz,0.042569320648908615
zm,0.04160264879465103
dz,0.039269305765628815
nf,0.027369722723960876
sz,0.02635710872709751
do,0.02330666594207287
sm,0.022417530417442322
lr,0.018335949629545212
uy,0.01690710335969925
va,0.009776740334928036
je,0.007390104234218597
um,0.006093211472034454
us,0.006093211472034454
tv,0.003647744655609131
mt,0.002566080540418625
gi,0.0014587491750717163
nu,0.00017417222261428833
pe,-0.0007361564785242081
ws,-0.0015021413564682007
np,-0.004367055371403694
pk,-0.004691356793045998
tw,-0.0047366321086883545
kn,-0.004769604653120041
be,-0.010709434747695923
kr,-0.012224510312080383
tc,-0.012381661683321
fj,-0.015798263251781464
ai,-0.01740667223930359
ck,-0.020003192126750946
gs,-0.02237073704600334
tg,-0.023596879094839096
ky,-0.02480001002550125
pa,-0.025735102593898773
ug,-0.02577563375234604
nz,-0.026373162865638733
io,-0.02752048522233963
fk,-0.030459564179182053
gn,-0.030470188707113266
tz,-0.03059609979391098
vi,-0.030794568359851837
pn,-0.032725997269153595
vg,-0.0329480916261673
ml,-0.03386067599058151
ro,-0.034019701182842255
ms,-0.0374886691570282
sn,-0.03784910589456558
bt,-0.04165710508823395
sc,-0.04347487539052963
