Image,Similarity
td,0.6636416912078857
ro,0.6475219130516052
ad,0.6341581344604492
gn,0.5882449150085449
ml,0.5345535278320312
sn,0.5318988561630249
af,0.46129611134529114
be,0.3872872292995453
md,0.3492498993873596
gd,0.25434479117393494
gt,0.2539970278739929
vc,0.24489498138427734
bl,0.24160337448120117
fr,0.24160337448120117
gf,0.24160337448120117
gp,0.24160337448120117
mf,0.24160337448120117
mq,0.24160337448120117
nc,0.24160337448120117
pm,0.24160337448120117
re,0.24160337448120117
yt,0.24160337448120117
it,0.21649403870105743
bd,0.21620306372642517
mx,0.2134825587272644
bj,0.2049883008003235
lt,0.18829113245010376
bz,0.1777883768081665
ag,0.16549409925937653
dm,0.16162706911563873
ve,0.1596061885356903
kg,0.15863412618637085
pt,0.15571439266204834
zw,0.15058115124702454
cc,0.1461530327796936
me,0.13865134119987488
ao,0.13641053438186646
pe,0.13613291084766388
am,0.1339217573404312
ly,0.12831167876720428
ax,0.12673500180244446
mw,0.12586456537246704
ci,0.12265148013830185
vn,0.12249010801315308
ng,0.11839227378368378
cl,0.11694003641605377
pw,0.11617046594619751
vu,0.1145179271697998
mr,0.10563744604587555
kn,0.10438588261604309
de,0.10392732918262482
mz,0.10026603937149048
bn,0.09834808856248856
ma,0.09813462197780609
tz,0.0973319560289383
cn,0.0967378169298172
tt,0.09569372981786728
mv,0.09476912021636963
xk,0.09137093275785446
ec,0.09057841449975967
ug,0.08869051933288574
tl,0.0871349573135376
nu,0.08651585131883621
lc,0.08623117208480835
zm,0.08165193349123001
gw,0.07555579394102097
se,0.07443784177303314
co,0.07165682315826416
mm,0.07074427604675293
pg,0.06889325380325317
cg,0.06500095129013062
la,0.06343615055084229
qa,0.06261169910430908
es,0.06220132112503052
cm,0.0621180385351181
to,0.0597357451915741
th,0.059505216777324677
ru,0.059500351548194885
by,0.05756326764822006
bg,0.05725390091538429
gb-nir,0.05635135620832443
gb,0.05635135620832443
sh,0.05635135620832443
bf,0.05541444569826126
ws,0.05481965094804764
tn,0.0548095703125
tr,0.054708391427993774
mk,0.05328388512134552
tg,0.051564138382673264
mu,0.05052139610052109
im,0.04947219043970108
ee,0.049263276159763336
sc,0.0490938276052475
cz,0.048754699528217316
mo,0.04676659777760506
rs,0.044926658272743225
dk,0.042949095368385315
gb-wls,0.04012370854616165
mp,0.03980722278356552
om,0.03970390930771828
ss,0.039645105600357056
ki,0.03821128234267235
pr,0.037345804274082184
ke,0.03466130048036575
tk,0.034292072057724
sk,0.03382175788283348
si,0.032603152096271515
gy,0.02830619364976883
al,0.026988808065652847
hk,0.02666620910167694
wf,0.025196870788931847
sa,0.02514874003827572
aq,0.024323396384716034
gm,0.023893479257822037
sr,0.021622193977236748
do,0.020516175776720047
ua,0.01855137199163437
ba,0.017782896757125854
kr,0.01691480353474617
st,0.01635989546775818
bm,0.01578555256128311
ge,0.00791141390800476
tw,0.006374891847372055
km,0.005971913225948811
ch,0.0044093504548072815
va,0.003232543356716633
gh,0.002557162195444107
bt,0.002171549014747143
ie,0.0021049603819847107
um,-0.004227675497531891
us,-0.004227675497531891
li,-0.00600862130522728
sz,-0.006160001736134291
vi,-0.007213931530714035
np,-0.007434658240526915
kz,-0.0076711177825927734
id,-0.007698465138673782
dz,-0.007942117750644684
pa,-0.008558008819818497
cf,-0.00918339192867279
je,-0.01070437766611576
cx,-0.011273986659944057
nz,-0.01690048724412918
bi,-0.01730361208319664
bh,-0.01964017003774643
au,-0.02053496241569519
hm,-0.02053496241569519
cr,-0.0211709663271904
ht,-0.021493449807167053
kp,-0.022272396832704544
ne,-0.024562865495681763
fi,-0.025825921446084976
er,-0.02806279808282852
gu,-0.028208889067173004
cw,-0.028347095474600792
fo,-0.02859313413500786
mc,-0.028840776532888412
lr,-0.029491007328033447
bo,-0.030371956527233124
ck,-0.03099539689719677
bs,-0.03386710584163666
za,-0.03610043227672577
br,-0.03626988083124161
mt,-0.03645163029432297
gg,-0.03894267976284027
sg,-0.043757952749729156
is,-0.043760426342487335
