Image,Similarity
td,0.7729331254959106
ro,0.7496469616889954
ml,0.6736164093017578
sn,0.6716217398643494
ad,0.6409230828285217
bj,0.564047634601593
bl,0.5310260057449341
fr,0.5310260057449341
gf,0.5310260057449341
gp,0.5310260057449341
mf,0.5310260057449341
mq,0.5310260057449341
nc,0.5310260057449341
pm,0.5310260057449341
re,0.5310260057449341
yt,0.5310260057449341
pt,0.5134677886962891
vn,0.5009992122650146
kg,0.4760616719722748
me,0.44125717878341675
it,0.435189813375473
es,0.41977477073669434
hk,0.41295838356018066
mk,0.4052136540412903
tn,0.40390151739120483
cg,0.3925436735153198
bb,0.3872872292995453
ch,0.3861750066280365
gn,0.3859291076660156
md,0.3822435140609741
cn,0.3782983422279358
im,0.3760783076286316
af,0.3620006740093231
pe,0.35199928283691406
cm,0.35165220499038696
ug,0.3371007740497589
tl,0.3354335427284241
ma,0.32457754015922546
gd,0.32450273633003235
mm,0.31697094440460205
nu,0.30671530961990356
cl,0.30548954010009766
la,0.29819709062576294
ws,0.2932589054107666
tk,0.2888202369213104
mx,0.2853988707065582
ag,0.2726002037525177
ao,0.26695874333381653
de,0.261637806892395
bt,0.2513201832771301
ba,0.24640992283821106
tr,0.2410014569759369
pg,0.2385742962360382
tw,0.23835089802742004
dz,0.23171816766262054
wf,0.2285892516374588
al,0.2263549268245697
vc,0.2239084243774414
zw,0.22346213459968567
ki,0.21991540491580963
zm,0.21746739745140076
cz,0.21687446534633636
dk,0.20950019359588623
mw,0.2082938253879547
by,0.20266401767730713
ec,0.19081908464431763
pr,0.19019493460655212
va,0.18898068368434906
do,0.18742331862449646
lt,0.1846950352191925
km,0.18207670748233795
ie,0.1766706258058548
co,0.1762787252664566
qa,0.1720479279756546
um,0.16819843649864197
us,0.16819843649864197
tt,0.16809165477752686
gw,0.16080841422080994
gb-wls,0.15651904046535492
sz,0.15460194647312164
bf,0.15317082405090332
vu,0.14619103074073792
ve,0.14446978271007538
my,0.14100703597068787
lk,0.14087741076946259
at,0.13736842572689056
id,0.13640688359737396
bn,0.13560280203819275
bm,0.13388270139694214
lv,0.13251091539859772
sr,0.1266610324382782
am,0.1254964917898178
ke,0.11806502938270569
ly,0.11729680746793747
st,0.11569055914878845
gh,0.11338363587856293
bo,0.11300249397754669
mu,0.1115134134888649
sc,0.10539250820875168
kn,0.10389185696840286
mv,0.10264206677675247
tg,0.10002197325229645
pa,0.09996151924133301
bi,0.0967249646782875
bz,0.09401915967464447
bs,0.09356580674648285
ss,0.09330733120441437
cc,0.08954286575317383
sy,0.08622677624225616
gq,0.08595147728919983
ci,0.08545851707458496
om,0.08530755341053009
aq,0.08373050391674042
mc,0.081075020134449
ng,0.08042620122432709
gy,0.08011038601398468
ht,0.07806225121021271
bv,0.0762321949005127
no,0.0762321949005127
sj,0.0762321949005127
gb-nir,0.07598710805177689
gb,0.07598710805177689
sh,0.07598710805177689
dm,0.07553349435329437
jo,0.07540817558765411
pl,0.07250889390707016
gl,0.07237958908081055
to,0.0712679922580719
sd,0.06542064994573593
sg,0.06166356801986694
mr,0.06135004758834839
kh,0.06028956174850464
lr,0.05813520401716232
ye,0.048754025250673294
kp,0.04624057933688164
gt,0.04195547103881836
jm,0.04036165401339531
tj,0.039981964975595474
eg,0.039913587272167206
as,0.0360117107629776
hu,0.02460644394159317
iq,0.024563029408454895
fi,0.02397819608449936
gm,0.022703111171722412
ua,0.02248469740152359
ir,0.016182363033294678
ne,0.011792311444878578
kw,0.010333731770515442
bd,0.00911521166563034
li,0.004391759634017944
ge,0.0016512274742126465
je,0.0009321048855781555
ax,-0.0038340799510478973
er,-0.010084821842610836
az,-0.010709434747695923
fo,-0.01423238217830658
bg,-0.01547442376613617
th,-0.017520593479275703
mz,-0.01804611086845398
ga,-0.022485937923192978
in,-0.02540889009833336
pf,-0.033138126134872437
bq,-0.03557424992322922
nl,-0.03557424992322922
bh,-0.03642170876264572
mo,-0.03744906932115555
si,-0.041504815220832825
gg,-0.04521071910858154
sk,-0.04580847546458244
ru,-0.047302842140197754
ps,-0.048126380890607834
za,-0.05022737756371498
lb,-0.05032363533973694
na,-0.05368402600288391
tz,-0.05494377017021179
cr,-0.05618186667561531
et,-0.057196859270334244
rs,-0.06083564832806587
cf,-0.06285277754068375
cx,-0.06481051445007324
ae,-0.06572677195072174
cy,-0.06717579066753387
mp,-0.07107849419116974
eh,-0.07174377888441086
mt,-0.0747448056936264
py,-0.07513771206140518
lu,-0.08371205627918243
vi,-0.0846140906214714
xk,-0.08922869712114334
hr,-0.09117639064788818
gu,-0.1011071503162384
gi,-0.10193710029125214
pk,-0.10286764800548553
kr,-0.1098230853676796
sa,-0.11091937869787216
br,-0.11189576983451843
pw,-0.11527219414710999
ca,-0.1166367158293724
se,-0.12591516971588135
rw,-0.1284286379814148
gb-eng,-0.12996403872966766
ee,-0.13252851366996765
sx,-0.14014819264411926
mh,-0.1479911208152771
io,-0.1509093940258026
gr,-0.1540200114250183
ph,-0.1615021824836731
uz,-0.162811279296875
cu,-0.17306746542453766
is,-0.1765410602092743
sl,-0.17940813302993774
hn,-0.19709107279777527
jp,-0.20154142379760742
sb,-0.20541644096374512
nf,-0.20680385828018188
cv,-0.21058602631092072
cw,-0.2134101688861847
bw,-0.21390452980995178
ar,-0.21858859062194824
lc,-0.22338935732841492
fj,-0.2289215326309204
sm,-0.2339116334915161
cd,-0.2398499846458435
ck,-0.24992388486862183
kz,-0.24997550249099731
nr,-0.2501051127910614
ls,-0.255919873714447
tc,-0.25701236724853516
gs,-0.25993016362190247
ai,-0.26569610834121704
ky,-0.2679809331893921
uy,-0.2680293321609497
pn,-0.27017509937286377
il,-0.2702534794807434
vg,-0.2715395390987396
ni,-0.27652469277381897
tm,-0.2781485915184021
gb-sct,-0.2827085852622986
sv,-0.2831505835056305
fk,-0.284001886844635
nz,-0.2840743064880371
so,-0.2896655201911926
mn,-0.289739727973938
au,-0.2968567907810211
hm,-0.2968567907810211
fm,-0.3020169734954834
ms,-0.30202916264533997
eu,-0.30254122614860535
mg,-0.3035537600517273
aw,-0.30714547634124756
dj,-0.342602401971817
np,-0.3671247065067291
tf,-0.37204986810684204
tv,-0.38918107748031616
