Image,Similarity
by,0.694200336933136
vu,0.6607025861740112
gw,0.6196702122688293
ao,0.6075063347816467
bo,0.5768751502037048
sx,0.5661684274673462
gh,0.5269051790237427
mg,0.5243496894836426
ly,0.44905030727386475
pg,0.42754092812538147
ne,0.3816761374473572
mw,0.3813498616218567
gm,0.35700085759162903
sy,0.31474554538726807
ki,0.30512377619743347
iq,0.300287663936615
eg,0.29394933581352234
co,0.2807876467704773
lu,0.2805878520011902
sd,0.27980664372444153
ye,0.2752567529678345
in,0.2636369466781616
gb-wls,0.26101070642471313
py,0.2574199140071869
tj,0.2568088471889496
id,0.24199345707893372
vn,0.2410815954208374
me,0.2381940335035324
om,0.23499611020088196
ke,0.2323368489742279
mu,0.22954176366329193
ba,0.22281083464622498
za,0.21474796533584595
hu,0.21238771080970764
es,0.21210028231143951
ma,0.21005144715309143
pt,0.20798802375793457
ss,0.20746885240077972
cc,0.20408198237419128
tl,0.2013033777475357
bq,0.19578403234481812
nl,0.19578403234481812
qa,0.19095376133918762
mk,0.18415194749832153
ec,0.18173155188560486
sc,0.17834024131298065
cn,0.17470970749855042
tc,0.17344674468040466
cm,0.17254459857940674
td,0.17035460472106934
au,0.1699124127626419
hm,0.1699124127626419
ug,0.16814333200454712
kg,0.1677776724100113
nz,0.1674773246049881
pn,0.1643226444721222
af,0.16336993873119354
hr,0.161824569106102
zw,0.1614382117986679
jo,0.1595006287097931
jm,0.1545247733592987
lk,0.15399278700351715
be,0.15317082405090332
tg,0.15242211520671844
vg,0.14974015951156616
ai,0.14971226453781128
am,0.1495911031961441
ml,0.14652934670448303
tr,0.14556826651096344
gs,0.1397216022014618
vc,0.1391596794128418
ky,0.138579323887825
ro,0.1369924545288086
sa,0.1368410885334015
zm,0.13655665516853333
gn,0.13593029975891113
im,0.1294390857219696
ck,0.12883839011192322
mv,0.12837746739387512
bd,0.12622658908367157
na,0.12382321059703827
al,0.1177932545542717
tn,0.11742718517780304
fk,0.11730746179819107
gd,0.11605846881866455
ms,0.11571957916021347
lt,0.11369085311889648
mc,0.11318714171648026
sg,0.11048111319541931
eh,0.1071775034070015
ps,0.10557641088962555
md,0.10474134981632233
kh,0.09604203701019287
tm,0.0956069603562355
ad,0.09481534361839294
tt,0.09299744665622711
