Image,Similarity
tr,0.7005966305732727
to,0.6656566858291626
cn,0.6551172137260437
tl,0.6342632174491882
wf,0.595475435256958
tw,0.5633350610733032
ma,0.5411372184753418
kg,0.5342476963996887
qa,0.5320132970809937
vn,0.5033615827560425
al,0.5008370876312256
mt,0.4941105246543884
mk,0.49250537157058716
me,0.46952319145202637
lk,0.4668828547000885
im,0.46612340211868286
mg,0.4645259976387024
gi,0.4380313754081726
ws,0.4338761568069458
es,0.4275124669075012
pt,0.4199746549129486
hk,0.4067123830318451
bm,0.3996548056602478
tn,0.3802562355995178
kp,0.37867802381515503
cm,0.3755180835723877
ge,0.3262585401535034
de,0.3088843822479248
gg,0.3077142536640167
dk,0.30067962408065796
pf,0.29951897263526917
jp,0.297433078289032
sx,0.2816542685031891
id,0.27941668033599854
lv,0.2793690860271454
by,0.2783718705177307
lr,0.27776774764060974
at,0.27628111839294434
gb-eng,0.2650952935218811
ca,0.26472726464271545
bt,0.2641698718070984
sc,0.2603111267089844
md,0.25880083441734314
zw,0.25657686591148376
ch,0.2547931373119354
tt,0.2458302229642868
sg,0.24505725502967834
lb,0.22837738692760468
ao,0.22744421660900116
ph,0.22471454739570618
ml,0.22469758987426758
pl,0.22297461330890656
gl,0.21853016316890717
mc,0.2152576595544815
er,0.2095034271478653
nu,0.20807459950447083
bj,0.20576559007167816
gb-wls,0.2024221271276474
gb-nir,0.19901694357395172
gb,0.19901694357395172
sh,0.19901694357395172
ec,0.19875451922416687
am,0.19538399577140808
cf,0.19125118851661682
ve,0.18755698204040527
bn,0.18730507791042328
bv,0.18707172572612762
no,0.18707172572612762
sj,0.18707172572612762
li,0.18638277053833008
mw,0.18530848622322083
co,0.1850704848766327
gh,0.1829226166009903
ug,0.17565596103668213
cg,0.1745089441537857
ki,0.17321829497814178
ro,0.1723480075597763
pg,0.1705191433429718
rs,0.16933947801589966
gd,0.16681410372257233
td,0.16380232572555542
ad,0.16198068857192993
bo,0.14734333753585815
bi,0.1440495401620865
lt,0.14378628134727478
je,0.14006662368774414
cr,0.1365967094898224
kn,0.13085855543613434
pr,0.12962877750396729
np,0.12536516785621643
ke,0.12289942800998688
om,0.12190165370702744
sk,0.12076070159673691
my,0.11387401074171066
eg,0.11070788651704788
cz,0.1072477474808693
bd,0.0982346311211586
ss,0.09491592645645142
iq,0.09207021445035934
tj,0.09068957716226578
ir,0.09045227617025375
sr,0.09024491906166077
um,0.08913359045982361
us,0.08913359045982361
vc,0.088385209441185
ht,0.08787181973457336
mm,0.0864567756652832
ye,0.08323587477207184
ax,0.08060232549905777
bf,0.07839453220367432
mu,0.0775681883096695
cy,0.0732654333114624
gq,0.07301274687051773
ne,0.06994950771331787
vi,0.06829333305358887
hr,0.06607744097709656
sy,0.06366001069545746
hu,0.06147664040327072
sn,0.06032361090183258
sd,0.05741136893630028
gm,0.051164254546165466
ru,0.04677943140268326
mz,0.04659854993224144
th,0.04320951923727989
cl,0.04078260064125061
la,0.03689074143767357
tk,0.03502725064754486
km,0.03319422900676727
fo,0.030327610671520233
kh,0.02925894409418106
py,0.028132576495409012
si,0.02518325299024582
mv,0.02228071540594101
tg,0.01992286741733551
ly,0.01700419746339321
sz,0.016672968864440918
in,0.015384482219815254
bq,0.012524079531431198
nl,0.012524079531431198
kw,0.009017696604132652
pa,0.007974304258823395
na,0.007483799010515213
af,0.005634455010294914
gn,0.005101928487420082
vu,0.001817513257265091
kr,-0.0014919303357601166
va,-0.012068182229995728
ba,-0.013116780668497086
bg,-0.014273397624492645
bb,-0.01964017003774643
do,-0.02026498317718506
is,-0.027866071090102196
pe,-0.028609782457351685
io,-0.03437567129731178
be,-0.03642170876264572
st,-0.04039769619703293
pk,-0.04274311661720276
lu,-0.04805590957403183
ua,-0.048474349081516266
et,-0.058076366782188416
sm,-0.06576904654502869
za,-0.06788638234138489
dm,-0.07312967628240585
au,-0.07689817249774933
hm,-0.07689817249774933
uy,-0.08218196779489517
il,-0.0850127786397934
gs,-0.08928389102220535
ag,-0.08951212465763092
tc,-0.09182004630565643
vg,-0.09909400343894958
nz,-0.10179906338453293
nf,-0.10191906988620758
pn,-0.10258569568395615
jm,-0.10279860347509384
ky,-0.10339991748332977
az,-0.11053857207298279
lc,-0.11220575869083405
ai,-0.11500316858291626
mr,-0.11548419296741486
ee,-0.11712635308504105
zm,-0.12420805543661118
mx,-0.12567251920700073
ck,-0.12574191391468048
tf,-0.13274213671684265
se,-0.13327273726463318
ms,-0.13366714119911194
gw,-0.13389992713928223
fk,-0.13530497252941132
cv,-0.13662856817245483
ie,-0.13756322860717773
ar,-0.14187777042388916
as,-0.14273333549499512
cu,-0.14303237199783325
ls,-0.14380742609500885
eh,-0.14594292640686035
gy,-0.15056754648685455
ga,-0.1509310007095337
ae,-0.153753399848938
it,-0.1655672788619995
cw,-0.1671927571296692
br,-0.17067047953605652
bz,-0.1732115000486374
ps,-0.17469961941242218
mh,-0.18155084550380707
cd,-0.18493345379829407
bl,-0.1917165219783783
fr,-0.1917165219783783
gf,-0.1917165219783783
gp,-0.1917165219783783
mf,-0.1917165219783783
mq,-0.1917165219783783
nc,-0.1917165219783783
pm,-0.1917165219783783
re,-0.1917165219783783
yt,-0.1917165219783783
nr,-0.19597718119621277
dj,-0.19604988396167755
hn,-0.1980125457048416
gb-sct,-0.2004586011171341
sb,-0.2127927988767624
jo,-0.21316751837730408
fi,-0.21606019139289856
gt,-0.21698561310768127
gr,-0.2210354208946228
sv,-0.2257847636938095
ng,-0.22860297560691833
tz,-0.2297711819410324
ci,-0.23997144401073456
pw,-0.24845844507217407
fj,-0.25160035490989685
bw,-0.2538136839866638
mp,-0.2548569142818451
xk,-0.25529712438583374
rw,-0.257043719291687
uz,-0.26245081424713135
ni,-0.2747499942779541
sl,-0.27737805247306824
aq,-0.2912346124649048
cc,-0.29556962847709656
fm,-0.30160239338874817
dz,-0.3048405647277832
cx,-0.305107057094574
eu,-0.3106675148010254
gu,-0.31549209356307983
bs,-0.3176656663417816
aw,-0.32474440336227417
mn,-0.34327590465545654
tm,-0.37173154950141907
sa,-0.38136953115463257
so,-0.40136387944221497
tv,-0.42335575819015503
kz,-0.47707295417785645
mo,-0.48099201917648315
