Image,Similarity
pf,0.6269646883010864
lb,0.6138921976089478
at,0.5574411153793335
pr,0.5006862282752991
tj,0.48279279470443726
mm,0.4668238162994385
bt,0.46571221947669983
ch,0.46245789527893066
ir,0.43831104040145874
hu,0.4362448751926422
gb-sct,0.419426292181015
ie,0.39949092268943787
hk,0.39695942401885986
tn,0.39081233739852905
ng,0.38327455520629883
as,0.37571981549263
bq,0.36533206701278687
nl,0.36533206701278687
gq,0.3639615774154663
es,0.3637164831161499
il,0.3624477982521057
cu,0.3486488461494446
lu,0.34709876775741577
gt,0.34527039527893066
ci,0.3429073691368103
kw,0.3314688205718994
sg,0.3277464807033539
sd,0.32595014572143555
pl,0.3211561441421509
aq,0.32028836011886597
it,0.3200497031211853
va,0.3143838346004486
lr,0.31089580059051514
ye,0.3095659911632538
ar,0.3088630735874176
py,0.3070445656776428
mk,0.30680012702941895
gd,0.29349806904792786
bl,0.2901250720024109
fr,0.2901250720024109
gf,0.2901250720024109
gp,0.2901250720024109
mf,0.2901250720024109
mq,0.2901250720024109
nc,0.2901250720024109
pm,0.2901250720024109
re,0.2901250720024109
yt,0.2901250720024109
kg,0.28823795914649963
wf,0.28260552883148193
gl,0.28151923418045044
mt,0.2806892991065979
in,0.2787366807460785
eg,0.27305638790130615
mc,0.2688714563846588
th,0.2663331925868988
cl,0.26601144671440125
dk,0.26489830017089844
la,0.2628682255744934
id,0.262675017118454
cy,0.2595280408859253
lv,0.2590859532356262
um,0.2520522177219391
us,0.2520522177219391
hr,0.25172945857048035
mx,0.24991345405578613
cg,0.24719685316085815
gg,0.24619600176811218
nu,0.24599482119083405
iq,0.24471300840377808
sy,0.2439495325088501
uy,0.2418973445892334
fm,0.22685375809669495
im,0.22522051632404327
ne,0.2232164442539215
cf,0.22102253139019012
fo,0.21925538778305054
cz,0.21907132863998413
bz,0.2170349359512329
pe,0.2135247141122818
gb-eng,0.2100893259048462
ec,0.2096252292394638
cr,0.20905615389347076
gb-nir,0.2088058590888977
gb,0.2088058590888977
sh,0.2088058590888977
km,0.20131118595600128
vn,0.19518166780471802
