Image,Similarity
pt,0.5850850343704224
cm,0.5746687054634094
ml,0.5675563812255859
be,0.564047634601593
cg,0.5538074374198914
td,0.5508315563201904
ro,0.542456328868866
sn,0.4883788228034973
ad,0.47330716252326965
ba,0.42888498306274414
co,0.4226173758506775
cz,0.4124634265899658
cl,0.3943326473236084
md,0.3918885886669159
es,0.3866844177246094
km,0.3853107690811157
ec,0.3807161748409271
pg,0.3502873480319977
vn,0.3402092158794403
tl,0.3301510810852051
ws,0.327147901058197
kg,0.320247620344162
gd,0.31891387701034546
cn,0.31662607192993164
mm,0.31545305252075195
lt,0.31532996892929077
mk,0.31352269649505615
tw,0.3089313805103302
bt,0.30451807379722595
nu,0.30166691541671753
ve,0.2883490324020386
bn,0.28640419244766235
pl,0.2745557129383087
me,0.2697426676750183
kn,0.2642984688282013
tr,0.26305824518203735
zm,0.2623409926891327
ma,0.24471843242645264
im,0.23563429713249207
vc,0.23555444180965424
to,0.23434169590473175
wf,0.23212182521820068
ug,0.2285023182630539
zw,0.22793583571910858
af,0.22237741947174072
lk,0.21974152326583862
bm,0.21895606815814972
hk,0.2121468335390091
bl,0.20719920098781586
fr,0.20719920098781586
gf,0.20719920098781586
gp,0.20719920098781586
mf,0.20719920098781586
mq,0.20719920098781586
nc,0.20719920098781586
pm,0.20719920098781586
re,0.20719920098781586
yt,0.20719920098781586
bh,0.20576559007167816
bb,0.2049883008003235
it,0.20376542210578918
tn,0.20113688707351685
dz,0.19417089223861694
gw,0.19270694255828857
pr,0.19037550687789917
ao,0.18992707133293152
tk,0.1761193573474884
gi,0.1745038628578186
al,0.17344270646572113
gq,0.17110033333301544
ch,0.16679592430591583
om,0.1649220883846283
st,0.16459029912948608
qa,0.15128186345100403
gb-wls,0.14656934142112732
dm,0.1440032720565796
bv,0.13694484531879425
no,0.13694484531879425
sj,0.13694484531879425
gl,0.13562004268169403
bg,0.1326790153980255
mx,0.13180989027023315
cf,0.13150516152381897
ir,0.13116003572940826
ge,0.11976272612810135
bo,0.11974313855171204
my,0.1141248568892479
um,0.11217570304870605
us,0.11217570304870605
dk,0.1120821163058281
kp,0.10944938659667969
gn,0.106560617685318
at,0.10451126843690872
tt,0.10189369320869446
gh,0.09930793941020966
lv,0.09863103181123734
cc,0.09808620065450668
ie,0.09692326188087463
gg,0.09653670340776443
la,0.08776430785655975
by,0.08497980237007141
gb-nir,0.08247333765029907
gb,0.08247333765029907
sh,0.08247333765029907
si,0.08117333799600601
ru,0.08028395473957062
de,0.07720313966274261
mv,0.07598766684532166
sy,0.07420526444911957
bi,0.07313581556081772
eg,0.07182519137859344
va,0.06999385356903076
sr,0.06829090416431427
sz,0.06821444630622864
kw,0.06662842631340027
mr,0.06376802921295166
pf,0.06310968101024628
mt,0.06102481111884117
sd,0.06008540838956833
in,0.05987408012151718
ye,0.05585012584924698
iq,0.05433828383684158
sk,0.05018191039562225
bs,0.04952681064605713
ne,0.04924098402261734
ss,0.04618387296795845
ga,0.04617968201637268
mw,0.04567200690507889
za,0.04451468586921692
pe,0.04423955827951431
ki,0.043795276433229446
jm,0.043268438428640366
ke,0.04252805560827255
cx,0.04128408804535866
gb-eng,0.037333887070417404
lr,0.03571236878633499
ae,0.030230671167373657
ca,0.023882370442152023
tg,0.021999649703502655
sc,0.019971229135990143
br,0.01987506076693535
do,0.019340671598911285
tj,0.010713575407862663
