Image,Similarity
eg,0.6779506206512451
py,0.6054706573486328
in,0.5855617523193359
es,0.4430666267871856
vu,0.4239084720611572
ao,0.4117793142795563
pg,0.4049139618873596
vn,0.3344818949699402
jm,0.2971978783607483
ma,0.2813563942909241
cn,0.2737307846546173
ke,0.254048228263855
as,0.2529222071170807
za,0.240408793091774
br,0.2078538239002227
to,0.2040397673845291
co,0.1816193610429763
ec,0.1793505847454071
id,0.1684315502643585
se,0.1490964442491531
do,0.1138160675764083
zw,0.0752013102173805
gb,0.0719659999012947
sa,0.055982518941164
de,0.0279691964387893
pk,0.0029253773391246
il,-0.0023843050003051
au,-0.0117128742858767
ar,-0.017549991607666
nz,-0.0199814345687627
bz,-0.0351590700447559
ws,-0.0359898433089256
dz,-0.0530241951346397
pw,-0.0539466254413127
ug,-0.0625873953104019
pe,-0.0848688185214996
pl,-0.101182535290718
sb,-0.1032399088144302
fr,-0.1165769174695015
it,-0.1219517216086387
kr,-0.1221988499164581
cl,-0.1246596127748489
us,-0.1476187407970428
gr,-0.1568488031625747
mx,-0.1569614559412002
fj,-0.1697371900081634
ca,-0.1712188571691513
ng,-0.1712319254875183
cu,-0.1782915741205215
jp,-0.1819580048322677
ve,-0.1825385987758636
cr,-0.1833088994026184
tv,-0.1883616149425506
kz,-0.2156582176685333
gt,-0.2569433450698852
ua,-0.2588172852993011
uy,-0.2710580229759216
ht,-0.3424762487411499
th,-0.3995211720466614
ru,-0.5045875310897827
