Image,Similarity
sa,0.3150141835212707
ke,0.2182957082986831
bo,0.2078538239002227
jm,0.2045388966798782
se,0.1889600157737732
zw,0.1796923875808715
pk,0.1259642243385315
in,0.1253017038106918
de,0.1060388162732124
sb,0.1006573140621185
pg,0.0613704845309257
vu,0.05603813752532
kr,0.0539128556847572
ua,0.0457122176885604
kz,0.0456393435597419
ug,0.040705382823944
nz,0.0404804497957229
au,0.0230034999549388
tv,0.0058609396219253
eg,0.0047845505177974
za,-0.0074586924165487
gb,-0.018155813217163
pw,-0.0185313895344734
cu,-0.0194717347621917
as,-0.0225081779062747
il,-0.0314559936523437
cr,-0.0332173928618431
dz,-0.03491947427392
ao,-0.0399600267410278
co,-0.0405237227678298
py,-0.0415788292884826
do,-0.0481211990118026
ec,-0.0553684532642364
es,-0.0824288949370384
ma,-0.0824759528040885
to,-0.0962793081998825
ar,-0.0995219573378562
fj,-0.1092085093259811
uy,-0.1097416952252388
ng,-0.1146906316280365
gr,-0.1172955930233001
ve,-0.1197100281715393
mx,-0.1262809634208679
ws,-0.1286632716655731
it,-0.1431771218776703
ht,-0.1469383686780929
jp,-0.1554513275623321
cl,-0.1668714135885238
th,-0.1734506040811538
ca,-0.1748009920120239
us,-0.1818822920322418
fr,-0.191324308514595
pe,-0.1921496987342834
gt,-0.1931802332401275
id,-0.1944361478090286
pl,-0.1982585936784744
cn,-0.198664516210556
vn,-0.2156902998685836
bz,-0.2159683108329773
ru,-0.2266683727502823
