Image,Similarity
mw,0.7341288924217224
bf,0.694200336933136
gh,0.6827817559242249
bo,0.6553454995155334
ao,0.636563777923584
vu,0.6303203701972961
pg,0.5506391525268555
sx,0.5035485625267029
ly,0.4847901165485382
ke,0.4746798872947693
gb-wls,0.46938350796699524
qa,0.46106332540512085
cn,0.4577431082725525
om,0.45183897018432617
ma,0.44138115644454956
me,0.43841326236724854
ss,0.4332696199417114
tl,0.4203947186470032
ne,0.416293203830719
mu,0.4136894941329956
vn,0.3912792205810547
pt,0.37898069620132446
gw,0.37435245513916016
gm,0.360143780708313
tr,0.35934221744537354
mg,0.35450267791748047
al,0.35190245509147644
bd,0.35100698471069336
kg,0.34372955560684204
zw,0.33377566933631897
im,0.327367901802063
to,0.3237479627132416
er,0.3199118673801422
lk,0.3188810646533966
de,0.3146260976791382
eg,0.31241539120674133
sc,0.3085346817970276
mk,0.30279508233070374
sy,0.2895188629627228
iq,0.2881416380405426
es,0.2835206985473633
ye,0.27917155623435974
bh,0.2783718705177307
sd,0.27810144424438477
cm,0.27567625045776367
tn,0.272483229637146
jo,0.2711137533187866
st,0.26704686880111694
in,0.25755012035369873
jm,0.25281015038490295
kp,0.25166061520576477
wf,0.24966418743133545
tj,0.24916984140872955
hk,0.24646732211112976
af,0.24050791561603546
kh,0.23929846286773682
tt,0.23691421747207642
ax,0.2354777604341507
py,0.2305682748556137
sr,0.23007875680923462
na,0.22391273081302643
dm,0.22220894694328308
tw,0.21849524974822998
td,0.21847212314605713
ki,0.2176705151796341
lu,0.21215568482875824
hr,0.20692765712738037
be,0.20266401767730713
tg,0.20131830871105194
id,0.2010287046432495
ws,0.18092499673366547
eh,0.18091626465320587
ba,0.18020494282245636
hu,0.17570799589157104
ro,0.17123138904571533
gy,0.1697998195886612
bq,0.16333109140396118
nl,0.16333109140396118
bm,0.16012869775295258
md,0.15518715977668762
ml,0.15421004593372345
bs,0.1540939211845398
zm,0.1497044861316681
cc,0.1478530317544937
ps,0.14485788345336914
gb-nir,0.1423031985759735
gb,0.1423031985759735
sh,0.1423031985759735
gn,0.14120271801948547
tc,0.1393718719482422
ch,0.13489371538162231
ad,0.13315826654434204
lv,0.11924432218074799
au,0.11879105865955353
hm,0.11879105865955353
nz,0.11870580911636353
ug,0.11828432232141495
za,0.11676661670207977
pn,0.11362552642822266
ai,0.11060307919979095
gs,0.10902217775583267
sz,0.10855679959058762
vg,0.10407211631536484
az,0.10235078632831573
ky,0.09801430255174637
br,0.09415525197982788
dk,0.09357612580060959
km,0.0851118266582489
bj,0.08497980237007141
tz,0.08122970163822174
ck,0.07907096296548843
mc,0.0779510885477066
ms,0.07675474882125854
is,0.0758415162563324
nu,0.07357099652290344
fk,0.07148504257202148
vc,0.0705423578619957
am,0.06261841207742691
co,0.06151951476931572
bb,0.05756326764822006
sg,0.05337733030319214
ge,0.050039924681186676
sn,0.046440303325653076
se,0.04026319831609726
cr,0.03164997696876526
bn,0.028985675424337387
nr,0.027881842106580734
bv,0.02244018204510212
no,0.02244018204510212
sj,0.02244018204510212
pk,0.020095858722925186
ec,0.017619963735342026
np,0.016216624528169632
ga,-9.151292033493519e-06
gd,-8.545070886611938e-05
la,-0.0014203991740942001
pa,-0.003678619861602783
sa,-0.008741002529859543
ls,-0.013546187430620193
tm,-0.0167391300201416
rs,-0.018603011965751648
tf,-0.025257490575313568
tk,-0.02668030560016632
mh,-0.027006614953279495
gu,-0.03688499331474304
gi,-0.037449609488248825
do,-0.040080826729536057
my,-0.04039856791496277
mt,-0.043910104781389236
gg,-0.04554499313235283
as,-0.04586588218808174
ae,-0.048092249780893326
bt,-0.05026782304048538
lr,-0.05352228879928589
pe,-0.053584981709718704
cf,-0.05570738762617111
mv,-0.058303385972976685
cx,-0.06153620406985283
pf,-0.06228138878941536
bz,-0.06622250378131866
gb-eng,-0.0677822083234787
kn,-0.06831090897321701
cd,-0.07429850101470947
sb,-0.07762196660041809
at,-0.07826346904039383
mr,-0.08296043425798416
cw,-0.0926114171743393
gl,-0.09570134431123734
lt,-0.09773728996515274
jp,-0.10098464041948318
pr,-0.10434097796678543
ve,-0.10468605905771255
ca,-0.10600953549146652
va,-0.10650871694087982
eu,-0.10676686465740204
mz,-0.11185021698474884
aq,-0.12004256248474121
hn,-0.12193886190652847
io,-0.12229321897029877
cv,-0.12245555222034454
li,-0.12336612492799759
je,-0.12370308488607407
dz,-0.12560930848121643
bl,-0.1265760064125061
fr,-0.1265760064125061
gf,-0.1265760064125061
gp,-0.1265760064125061
mf,-0.1265760064125061
mq,-0.1265760064125061
nc,-0.1265760064125061
pm,-0.1265760064125061
re,-0.1265760064125061
yt,-0.1265760064125061
sv,-0.1300201416015625
dj,-0.1344650834798813
uz,-0.1346708983182907
um,-0.13670159876346588
us,-0.13670159876346588
sl,-0.13679911196231842
xk,-0.13736070692539215
mn,-0.13808411359786987
mo,-0.1391090452671051
cg,-0.1567295491695404
th,-0.1584678590297699
cl,-0.166012704372406
bi,-0.16859924793243408
pw,-0.17389839887619019
lb,-0.17616432905197144
cu,-0.17963501811027527
mp,-0.18278497457504272
pl,-0.18314534425735474
kr,-0.1832907497882843
ni,-0.18393686413764954
it,-0.1897621601819992
mx,-0.1900368332862854
ag,-0.19042551517486572
fo,-0.1972663700580597
mm,-0.20400290191173553
cz,-0.20413623750209808
sm,-0.2057676762342453
vi,-0.20877060294151306
ci,-0.21304911375045776
ht,-0.23230628669261932
tv,-0.23463717103004456
cy,-0.24289622902870178
fj,-0.24807237088680267
bw,-0.2540458142757416
il,-0.2565420866012573
ph,-0.25659412145614624
gb-sct,-0.268279492855072
ie,-0.27530568838119507
et,-0.28201353549957275
nf,-0.28230583667755127
uy,-0.28654614090919495
sk,-0.29188889265060425
rw,-0.2978891432285309
ar,-0.3026060461997986
gr,-0.3035331964492798
ua,-0.3074348568916321
kz,-0.3094332218170166
fi,-0.31036823987960815
gq,-0.31355026364326477
ng,-0.32067203521728516
ee,-0.332510381937027
ir,-0.3535178005695343
kw,-0.3744961619377136
ru,-0.37721413373947144
gt,-0.379827082157135
so,-0.4237403869628906
lc,-0.44013458490371704
bg,-0.460768461227417
si,-0.4837842583656311
fm,-0.49609264731407166
aw,-0.539110541343689
