Image,Similarity
as,0.324761688709259
il,0.2528363764286041
ht,0.2353305667638778
kz,0.2246063202619552
fr,0.2207955420017242
py,0.2125492990016937
do,0.2009694278240203
pw,0.2006488591432571
eg,0.2006466388702392
nz,0.1987491995096206
au,0.1968656331300735
uy,0.1792042404413223
it,0.1759009957313537
sb,0.1719620078802108
gt,0.1716034412384033
tv,0.1605523377656936
sa,0.1434332579374313
mx,0.1280916184186935
ng,0.1190833672881126
cu,0.1165917068719863
ar,0.1158928275108337
ao,0.0959943160414695
fj,0.0805363208055496
se,0.078306995332241
ke,0.0689166113734245
za,0.0604863055050373
pk,0.0534665398299694
pe,0.0373147651553154
gb,0.0370279178023338
ws,0.0117333307862281
jm,0.0046561881899833
pg,0.0030641928315162
cl,0.0027429796755313
us,-0.0049807280302047
vu,-0.0115099623799324
in,-0.0286212563514709
th,-0.0311405137181282
bo,-0.0351590700447559
gr,-0.039462611079216
cr,-0.0397837534546852
vn,-0.0476649552583694
dz,-0.0485235825181007
id,-0.0673398151993751
ua,-0.0685086399316787
es,-0.0720256268978118
pl,-0.0768282487988472
ru,-0.0997312813997268
to,-0.1183815225958824
ma,-0.1216908022761344
cn,-0.1229779794812202
ug,-0.1245761215686798
co,-0.1471976041793823
de,-0.1503147780895233
ve,-0.1611017286777496
kr,-0.1660872846841812
ec,-0.1829973012208938
br,-0.2159683108329773
ca,-0.3360656201839447
zw,-0.3780459463596344
jp,-0.4584205150604248
