Image,Similarity
jp,0.868070662021637
kr,0.5159013867378235
gt,0.4715151488780975
ar,0.4709523320198059
pl,0.4187102615833282
cr,0.3922507762908935
id,0.3842768371105194
ng,0.3758030235767364
us,0.3614198565483093
gr,0.322834312915802
fj,0.3139473795890808
mx,0.3133602738380432
uy,0.2778414785861969
cl,0.2614405453205108
th,0.2592673301696777
dz,0.2590478658676147
pe,0.2578926682472229
il,0.2509272396564483
gb,0.2395437359809875
ru,0.2124807834625244
pw,0.2117571830749511
it,0.1908944696187973
cu,0.178995281457901
fr,0.1254927515983581
cn,0.0859950110316276
ec,0.0643950402736663
in,0.0543436333537101
ua,0.0488819107413291
to,0.0377053916454315
kz,0.033738873898983
co,0.0270977728068828
es,0.0111895054578781
tv,0.0058647990226745
se,-0.0099964365363121
zw,-0.0152261480689048
py,-0.0255860760807991
vn,-0.0346671789884567
ve,-0.0817192122340202
de,-0.0921248123049736
ug,-0.112337052822113
do,-0.1193705424666404
ma,-0.1371077597141266
za,-0.1444458663463592
as,-0.1585225462913513
ws,-0.1679563224315643
bo,-0.1712188571691513
br,-0.1748009920120239
jm,-0.1919227540493011
eg,-0.2354248762130737
ht,-0.2715247273445129
vu,-0.2813343107700348
ke,-0.2966703474521637
bz,-0.3360656201839447
sb,-0.3361796140670776
pg,-0.3430529534816742
au,-0.3554024398326874
pk,-0.3615682721138
nz,-0.3782839477062225
ao,-0.414274662733078
sa,-0.5301657319068909
