Image,Similarity
zm,0.7414438128471375
tm,0.6414070725440979
sa,0.610636830329895
st,0.4621422588825226
tz,0.42115166783332825
cx,0.41104376316070557
jm,0.4055640697479248
mo,0.40204036235809326
pk,0.40197867155075073
ly,0.3976207971572876
gu,0.3465186357498169
mr,0.3428967595100403
vu,0.3418591022491455
ke,0.3401777744293213
ss,0.3389050364494324
sb,0.3358370065689087
mw,0.3324801027774811
br,0.32853251695632935
dm,0.32665014266967773
bs,0.3188154697418213
nr,0.3172343373298645
ao,0.2926994562149048
cw,0.28897157311439514
kn,0.2787669003009796
pg,0.26977241039276123
bd,0.2637523114681244
nz,0.25752100348472595
au,0.24069365859031677
hm,0.24069365859031677
gw,0.23875224590301514
vg,0.2345394641160965
pn,0.23227296769618988
eu,0.22915339469909668
mv,0.22633782029151917
gh,0.22577489912509918
ms,0.2203662246465683
gy,0.22018665075302124
tg,0.21789240837097168
gs,0.2164602279663086
mz,0.21553310751914978
bo,0.21272362768650055
jo,0.20952606201171875
tc,0.20612213015556335
bf,0.20408198237419128
zw,0.2016114890575409
de,0.19989126920700073
ky,0.1945379674434662
ga,0.1801144778728485
af,0.17335885763168335
se,0.16585390269756317
ai,0.16408658027648926
eh,0.1621648371219635
et,0.1601916253566742
ck,0.1586492955684662
rw,0.15099450945854187
na,0.15016338229179382
fk,0.15015918016433716
tk,0.1487995833158493
mu,0.14833971858024597
by,0.1478530317544937
bb,0.1461530327796936
mh,0.13927848637104034
ps,0.1384250968694687
kz,0.1353393942117691
ae,0.12894241511821747
lt,0.12796799838542938
ug,0.11797966808080673
td,0.10815487802028656
bj,0.09808620065450668
ml,0.09622436761856079
li,0.09159859269857407
be,0.08954286575317383
ax,0.08780958503484726
pt,0.08757814764976501
gn,0.07728927582502365
az,0.07515095919370651
ag,0.0643736943602562
za,0.053059764206409454
tt,0.05242403596639633
mn,0.05191343277692795
ua,0.042756587266922
ro,0.04223845154047012
sn,0.0414026603102684
gm,0.04119691252708435
pw,0.03824494034051895
cg,0.036198437213897705
xk,0.03322064131498337
gd,0.032425493001937866
la,0.03240027278661728
me,0.0297602117061615
qa,0.028099283576011658
cm,0.02521902322769165
ba,0.01234200969338417
cv,0.009029000997543335
bz,0.008137635886669159
vc,0.007521376013755798
sx,-0.003942012786865234
md,-0.004617854952812195
tf,-0.011550292372703552
ec,-0.011908210813999176
ht,-0.020735256373882294
al,-0.021233901381492615
co,-0.021919339895248413
es,-0.022765368223190308
sy,-0.02290891297161579
am,-0.02402358502149582
ls,-0.02429625391960144
ve,-0.025201939046382904
