Image,Similarity
pf,0.35372525453567505
bn,0.35270997881889343
ir,0.32036131620407104
lb,0.31238386034965515
pl,0.28421708941459656
to,0.25730258226394653
cl,0.25541216135025024
wf,0.25209516286849976
at,0.25056707859039307
kw,0.23885370790958405
gq,0.23781296610832214
bm,0.2357335239648819
ls,0.23378407955169678
ge,0.22868940234184265
nu,0.22487464547157288
tk,0.2243911772966385
lc,0.2212778776884079
bi,0.22102253139019012
es,0.21905046701431274
gi,0.21262463927268982
ua,0.2102113962173462
cm,0.2030365765094757
gb-eng,0.1993781179189682
gg,0.19551147520542145
bh,0.19125118851661682
gb-nir,0.19049832224845886
gb,0.19049832224845886
sh,0.19049832224845886
ne,0.18926367163658142
tj,0.18736904859542847
bt,0.18584251403808594
de,0.18273739516735077
tl,0.18139271438121796
tr,0.18089260160923004
cz,0.17988452315330505
lv,0.1694912314414978
gd,0.16879931092262268
ph,0.16451621055603027
ca,0.1582217961549759
uz,0.1564154028892517
ug,0.15580907464027405
lk,0.1556185632944107
hu,0.15508528053760529
mz,0.15266403555870056
dk,0.15125802159309387
dj,0.15008214116096497
eg,0.14345848560333252
pt,0.14289014041423798
tw,0.14202998578548431
cn,0.1369803547859192
in,0.1360035389661789
as,0.1345202624797821
eh,0.1331712007522583
jp,0.13190560042858124
bj,0.13150516152381897
kg,0.13092100620269775
co,0.13041497766971588
pr,0.1260373443365097
il,0.12540382146835327
iq,0.12465261667966843
ec,0.12267348915338516
ar,0.12008261680603027
am,0.11991926282644272
ye,0.11936909705400467
sd,0.11619038879871368
mk,0.11561059951782227
cg,0.11479884386062622
mg,0.11423338949680328
lr,0.11291488260030746
af,0.11035627126693726
nf,0.10979877412319183
np,0.10978122800588608
va,0.10953221470117569
ae,0.10820864140987396
ps,0.10244971513748169
mt,0.10076534748077393
hk,0.10073528438806534
vc,0.09986705332994461
ml,0.09824217855930328
md,0.09488978981971741
sm,0.0944269597530365
cy,0.09299193322658539
sy,0.08860164880752563
gn,0.08659479022026062
kp,0.08473482728004456
kr,0.0830666720867157
vn,0.08228429406881332
st,0.08096034824848175
si,0.08053846657276154
et,0.0782613605260849
je,0.07792346179485321
tn,0.07722070813179016
im,0.07433254271745682
um,0.07184216380119324
us,0.07184216380119324
ss,0.07117664813995361
cr,0.06581921130418777
ws,0.06456618010997772
me,0.06365320086479187
bd,0.06215638667345047
sv,0.061392176896333694
bq,0.06139091029763222
nl,0.06139091029763222
bg,0.06131136789917946
ie,0.05866853892803192
ke,0.05812384933233261
az,0.05663838982582092
gb-sct,0.055697232484817505
gl,0.055677853524684906
hn,0.0544118694961071
bo,0.05356680974364281
sa,0.05038547143340111
sk,0.04950417950749397
ng,0.047794170677661896
dz,0.04746124893426895
ht,0.04557865858078003
td,0.04478756710886955
ad,0.04276047274470329
ma,0.04196064919233322
hr,0.041856542229652405
my,0.041015543043613434
li,0.04030143469572067
gh,0.039939045906066895
ro,0.03960798308253288
gb-wls,0.03856513276696205
km,0.03821668028831482
mm,0.03729262202978134
ni,0.03716755658388138
bv,0.034548819065093994
no,0.034548819065093994
sj,0.034548819065093994
gt,0.03405044227838516
sn,0.030774541199207306
kn,0.03005880117416382
mw,0.02709747478365898
mr,0.027031205594539642
ch,0.026675578206777573
ao,0.02548576146364212
ru,0.023489098995923996
jo,0.02234664000570774
br,0.02156258001923561
aq,0.021542958915233612
qa,0.021229401230812073
aw,0.0165390744805336
sb,0.015303373336791992
pa,0.014523722231388092
tt,0.01400812342762947
mx,0.013742536306381226
ax,0.013490638695657253
cu,0.011750854551792145
ci,0.011554531753063202
gm,0.0076697953045368195
py,0.005770470947027206
zw,0.005727618932723999
vi,0.002299867570400238
uy,0.0021829158067703247
na,0.0013276487588882446
rs,0.0011331886053085327
al,0.00046212971210479736
dm,0.00012915721163153648
th,-5.8222562074661255e-05
gr,-0.0008844137191772461
bf,-0.002630367875099182
pw,-0.003337875008583069
rw,-0.0072463154792785645
bb,-0.00918339192867279
fm,-0.009600326418876648
mv,-0.013639230281114578
om,-0.013824991881847382
lu,-0.014936596155166626
do,-0.015363011509180069
tg,-0.015414051711559296
ai,-0.01822681911289692
jm,-0.019443705677986145
