Image,Similarity
hk,0.7198410034179688
tn,0.6786792278289795
lv,0.6227691173553467
at,0.613275408744812
kg,0.60526442527771
im,0.5930564403533936
vn,0.5879332423210144
me,0.5857289433479309
mk,0.5368553996086121
mm,0.5343608856201172
tl,0.5215770602226257
cn,0.5201136469841003
es,0.5102069973945618
do,0.5046684741973877
dk,0.4867720901966095
wf,0.4634682238101959
bi,0.46245789527893066
bt,0.4579993784427643
hu,0.43454980850219727
tr,0.4235321283340454
la,0.4162091016769409
sd,0.40727049112319946
gq,0.404501736164093
ye,0.4032016694545746
ma,0.40116849541664124
be,0.3861750066280365
pt,0.384391188621521
bl,0.38388973474502563
fr,0.38388973474502563
gf,0.38388973474502563
gp,0.38388973474502563
mf,0.38388973474502563
mq,0.38388973474502563
nc,0.38388973474502563
pm,0.38388973474502563
re,0.38388973474502563
yt,0.38388973474502563
pe,0.3673873543739319
ug,0.35645753145217896
bq,0.35392314195632935
nl,0.35392314195632935
kw,0.3537580370903015
eg,0.3535434603691101
tj,0.3503098785877228
ro,0.34126806259155273
td,0.338539183139801
ir,0.33560067415237427
pf,0.3289358913898468
lk,0.3274083137512207
ml,0.3271022439002991
it,0.32630452513694763
id,0.32575032114982605
ki,0.31486690044403076
cg,0.3108580708503723
gn,0.30724287033081055
nu,0.30696871876716614
iq,0.30591803789138794
lb,0.30438870191574097
sy,0.3043060302734375
ci,0.3038114607334137
al,0.30008625984191895
sg,0.2999320328235626
sn,0.2967754006385803
pl,0.29512864351272583
ie,0.2912455201148987
tw,0.29116901755332947
ag,0.2867400646209717
ad,0.286006897687912
cl,0.2834371030330658
gl,0.2829819619655609
mc,0.2796236574649811
mt,0.27004531025886536
py,0.2656363844871521
as,0.26327699422836304
va,0.26212450861930847
to,0.2594582140445709
bm,0.25740283727645874
tt,0.25549033284187317
bh,0.2547931373119354
pr,0.25453460216522217
ec,0.24853284657001495
in,0.244270920753479
md,0.24084454774856567
lu,0.23910115659236908
af,0.23777155578136444
gd,0.23119939863681793
co,0.22723692655563354
ws,0.22660930454730988
hr,0.22619391977787018
um,0.2256249487400055
us,0.2256249487400055
bo,0.22312431037425995
qa,0.21677161753177643
lr,0.2142390012741089
ng,0.20399852097034454
aq,0.19585548341274261
mx,0.19555631279945374
cz,0.19398856163024902
bv,0.18724557757377625
no,0.18724557757377625
sj,0.18724557757377625
