Image,Similarity
ng,0.7344587445259094
gt,0.7088227272033691
it,0.6835033893585205
pe,0.6723988056182861
ie,0.6477287411689758
bl,0.6336663365364075
fr,0.6336663365364075
gf,0.6336663365364075
gp,0.6336663365364075
mf,0.6336663365364075
mq,0.6336663365364075
nc,0.6336663365364075
pm,0.6336663365364075
re,0.6336663365364075
yt,0.6336663365364075
mx,0.5570229291915894
va,0.5212600231170654
gn,0.4970657229423523
ar,0.4696737229824066
fm,0.4681631326675415
cy,0.4625217020511627
je,0.40919482707977295
bt,0.4042046368122101
mm,0.39262551069259644
vi,0.3896465301513672
nf,0.36712646484375
sg,0.36464202404022217
fj,0.35051995515823364
kr,0.34723201394081116
bi,0.3429073691368103
pl,0.3296612799167633
sm,0.3295140266418457
lu,0.3216015696525574
uy,0.3215178847312927
gr,0.31717145442962646
lr,0.3084667921066284
gl,0.3043198883533478
ch,0.3038114607334137
dj,0.30210283398628235
so,0.3002508878707886
mc,0.2959495186805725
um,0.29325613379478455
us,0.29325613379478455
at,0.2864314317703247
cl,0.2834562063217163
il,0.2746460735797882
uz,0.2712593972682953
hu,0.2664761543273926
fo,0.26513969898223877
do,0.2638797461986542
ca,0.26344752311706543
mt,0.2616201341152191
sl,0.26082152128219604
gg,0.26060789823532104
id,0.2595209777355194
aq,0.25881314277648926
gb-sct,0.2526133060455322
pw,0.2518405318260193
sn,0.24983349442481995
dk,0.23962339758872986
gb-eng,0.23068632185459137
cu,0.229862242937088
nu,0.22720974683761597
aw,0.22302192449569702
ge,0.21712295711040497
sc,0.21263428032398224
rs,0.21157437562942505
km,0.21125955879688263
ni,0.21020865440368652
vc,0.20742514729499817
lc,0.20680072903633118
ir,0.20503275096416473
bn,0.19966141879558563
in,0.19703532755374908
sk,0.19668364524841309
hk,0.19371676445007324
bq,0.18961626291275024
nl,0.18961626291275024
cz,0.18587546050548553
io,0.1854546070098877
bw,0.1796906292438507
gq,0.17385774850845337
pa,0.1723639816045761
kw,0.16850027441978455
lb,0.1679086536169052
ki,0.16561013460159302
bg,0.1623736470937729
ml,0.15688425302505493
mp,0.156756192445755
gy,0.1565396785736084
pf,0.15495194494724274
tj,0.15292192995548248
gd,0.15071135759353638
hn,0.14810729026794434
fi,0.14717288315296173
cr,0.14586836099624634
si,0.1450972557067871
tv,0.14060920476913452
jp,0.13840451836585999
py,0.13729622960090637
tn,0.1367877572774887
bb,0.12265148013830185
pr,0.12170353531837463
gw,0.11982828378677368
ga,0.1154346913099289
ne,0.11115655303001404
th,0.10875056684017181
ag,0.10820314288139343
ru,0.10643245279788971
kz,0.09224331378936768
se,0.08744272589683533
sv,0.08681166917085648
ro,0.08548733592033386
be,0.08545851707458496
dz,0.08427334576845169
bz,0.08350104093551636
cg,0.08330569416284561
az,0.08189224451780319
af,0.07710158824920654
ec,0.07621113955974579
ua,0.07606436312198639
om,0.07482840120792389
as,0.07359956204891205
cd,0.07034562528133392
mk,0.06292986124753952
mo,0.06044661998748779
kg,0.05869090557098389
rw,0.057537905871868134
np,0.054055504500865936
la,0.053815487772226334
sr,0.0515671968460083
td,0.04903914034366608
sd,0.04815186187624931
ls,0.046557724475860596
hr,0.04479313641786575
co,0.042371124029159546
ye,0.04130611568689346
lv,0.027466196566820145
gb-nir,0.021731192246079445
gb,0.021731192246079445
sh,0.021731192246079445
ae,0.02127002365887165
ad,0.018602266907691956
ps,0.018138829618692398
sz,0.01632855460047722
ug,0.015561874955892563
st,0.015494927763938904
es,0.012602679431438446
cf,0.011554531753063202
tg,0.00727437436580658
md,-0.0003765225410461426
wf,-0.0050661563873291016
sy,-0.008350962772965431
my,-0.010718211531639099
eg,-0.011429297737777233
ax,-0.01172468438744545
er,-0.01607792265713215
kh,-0.020016886293888092
im,-0.02177349478006363
ee,-0.022108381614089012
kp,-0.022531909868121147
jo,-0.030622348189353943
iq,-0.033534176647663116
vn,-0.03523319214582443
xk,-0.03651551157236099
eh,-0.04077116400003433
bs,-0.042719289660453796
gb-wls,-0.04701891168951988
bd,-0.05305641517043114
lk,-0.06371723115444183
is,-0.06811239570379257
cv,-0.06872320920228958
za,-0.06899485737085342
mu,-0.0778651311993599
bo,-0.09216399490833282
ve,-0.09251605719327927
lt,-0.09397672861814499
mz,-0.09514391422271729
br,-0.09539691358804703
ba,-0.09760341048240662
jm,-0.10633508116006851
na,-0.1092829704284668
mr,-0.11094239354133606
cn,-0.1117028221487999
bv,-0.11869537085294724
no,-0.11869537085294724
sj,-0.11869537085294724
bf,-0.12006732821464539
tl,-0.1213168278336525
et,-0.12715573608875275
tk,-0.13281339406967163
gh,-0.1425003707408905
mn,-0.1444767564535141
tr,-0.1445068120956421
bm,-0.14540337026119232
gm,-0.14657339453697205
dm,-0.14691917598247528
am,-0.15526413917541504
me,-0.1574128270149231
mg,-0.16573764383792877
ht,-0.17501616477966309
bj,-0.17874349653720856
tz,-0.18860004842281342
zw,-0.1905393749475479
tt,-0.19125854969024658
gi,-0.19154036045074463
tm,-0.20604699850082397
mh,-0.21168392896652222
by,-0.21304911375045776
de,-0.21722713112831116
ck,-0.22818662226200104
cx,-0.23176270723342896
sx,-0.23405267298221588
mv,-0.23584887385368347
bh,-0.23997144401073456
sa,-0.24101179838180542
ph,-0.24157929420471191
pt,-0.25027453899383545
tf,-0.2590363621711731
to,-0.2613346576690674
au,-0.2697335183620453
hm,-0.2697335183620453
sb,-0.27114617824554443
pk,-0.2754822373390198
gu,-0.27804750204086304
vu,-0.2832638919353485
ma,-0.2889429032802582
nz,-0.29161378741264343
ke,-0.30056649446487427
ms,-0.3016993999481201
pn,-0.31040158867836
mw,-0.31166452169418335
ss,-0.3134341835975647
tw,-0.31343874335289
cw,-0.31524232029914856
vg,-0.3194217085838318
tc,-0.3217339515686035
ai,-0.3226272761821747
ky,-0.3288748264312744
li,-0.32966408133506775
gs,-0.33098912239074707
fk,-0.33243539929389954
cc,-0.33602023124694824
eu,-0.3512924611568451
ao,-0.3605358302593231
al,-0.361619770526886
nr,-0.38017693161964417
kn,-0.3835679888725281
cm,-0.3937549591064453
ly,-0.3977357745170593
ws,-0.40529710054397583
qa,-0.4533150792121887
pg,-0.4778766334056854
zm,-0.4876694679260254
